Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0.05127	1.11947	0.05127	1.81692	0.05127	5.34304
0.051758	1.12347	0.051758	1.817	0.051758	5.34316
0.052246	1.12433	0.052246	1.81697	0.052246	5.34312
0.052734	1.12544	0.052734	1.8171	0.052734	5.34257
0.053223	1.12463	0.053223	1.81708	0.053223	5.34316
0.053711	1.12364	0.053711	1.81723	0.053711	5.34414
0.054199	1.1254	0.054199	1.81719	0.054199	5.34261
0.054687	1.12354	0.054687	1.81728	0.054687	5.34282
0.055176	1.11896	0.055176	1.81733	0.055176	5.34294
0.055664	1.11999	0.055664	1.81727	0.055664	5.34177
0.056152	1.12568	0.056152	1.8173	0.056152	5.34284
0.056641	1.1195	0.056641	1.81727	0.056641	5.34271
0.057129	1.11808	0.057129	1.81714	0.057129	5.34251
0.057617	1.1206	0.057617	1.81719	0.057617	5.3424
0.058105	1.11899	0.058105	1.81706	0.058105	5.34198
0.058594	1.11919	0.058594	1.81708	0.058594	5.34276
0.059082	1.12335	0.059082	1.81736	0.059082	5.34277
0.05957	1.11976	0.05957	1.81734	0.05957	5.34195
0.060059	1.12015	0.060059	1.81731	0.060059	5.34326
0.060547	1.1247	0.060547	1.81733	0.060547	5.34238
0.061035	1.1245	0.061035	1.81727	0.061035	5.34286
0.061523	1.12229	0.061523	1.81754	0.061523	5.34173
0.062012	1.12202	0.062012	1.81754	0.062012	5.34268
0.0625	1.12347	0.0625	1.81773	0.0625	5.34208
0.062988	1.12307	0.062988	1.81759	0.062988	5.3419
0.063477	1.12152	0.063477	1.81767	0.063477	5.34259
0.063965	1.12284	0.063965	1.81781	0.063965	5.34163
0.064453	1.12378	0.064453	1.81767	0.064453	5.34235
0.064941	1.12061	0.064941	1.8177	0.064941	5.34288
0.06543	1.1201	0.06543	1.81784	0.06543	5.34235
0.065918	1.12509	0.065918	1.81781	0.065918	5.34274
0.066406	1.12235	0.066406	1.81789	0.066406	5.34215
0.066895	1.12164	0.066895	1.81804	0.066895	5.34139
0.067383	1.12291	0.067383	1.81782	0.067383	5.34269
0.067871	1.12094	0.067871	1.81794	0.067871	5.3423
0.068359	1.12225	0.068359	1.81795	0.068359	5.34239
0.068848	1.12115	0.068848	1.81786	0.068848	5.34182
0.069336	1.12399	0.069336	1.81763	0.069336	5.34235
0.069824	1.11918	0.069824	1.81795	0.069824	5.34235
0.070312	1.12179	0.070312	1.81816	0.070312	5.3423
0.070801	1.12223	0.070801	1.81815	0.070801	5.34222
0.071289	1.12298	0.071289	1.81789	0.071289	5.34151
0.071777	1.1208	0.071777	1.8176	0.071777	5.34255
0.072266	1.1215	0.072266	1.8171	0.072266	5.34223
0.072754	1.12637	0.072754	1.81629	0.072754	5.34241
0.073242	1.12397	0.073242	1.81579	0.073242	5.34267
0.07373	1.1247	0.07373	1.81534	0.07373	5.34279
0.074219	1.12493	0.074219	1.81522	0.074219	5.34143
0.074707	1.12357	0.074707	1.81483	0.074707	5.34264
0.075195	1.1259	0.075195	1.81481	0.075195	5.34245
0.075684	1.12537	0.075684	1.81511	0.075684	5.34164
