Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0.05127	1.12266	0.05127	2.28496	0.05127	0.275699
0.051758	1.12164	0.051758	2.28491	0.051758	0.275001
0.052246	1.12381	0.052246	2.28497	0.052246	0.274644
0.052734	1.12105	0.052734	2.28494	0.052734	0.275434
0.053223	1.12215	0.053223	2.28491	0.053223	0.275438
0.053711	1.12089	0.053711	2.2849	0.053711	0.275466
0.054199	1.12103	0.054199	2.28492	0.054199	0.274318
0.054687	1.12174	0.054687	2.28491	0.054687	0.275502
0.055176	1.12336	0.055176	2.28492	0.055176	0.275802
0.055664	1.1239	0.055664	2.28491	0.055664	0.275023
0.056152	1.1224	0.056152	2.28484	0.056152	0.275359
0.056641	1.12222	0.056641	2.28494	0.056641	0.275277
0.057129	1.1181	0.057129	2.28488	0.057129	0.275806
0.057617	1.12271	0.057617	2.28495	0.057617	0.275077
0.058105	1.1209	0.058105	2.28492	0.058105	0.274612
0.058594	1.12252	0.058594	2.28499	0.058594	0.275241
0.059082	1.12398	0.059082	2.28489	0.059082	0.275445
0.05957	1.12298	0.05957	2.2849	0.05957	0.274479
0.060059	1.12373	0.060059	2.28494	0.060059	0.276117
0.060547	1.11984	0.060547	2.28497	0.060547	0.275009
0.061035	1.12282	0.061035	2.28492	0.061035	0.276185
0.061523	1.12119	0.061523	2.2849	0.061523	0.275745
0.062012	1.1205	0.062012	2.28492	0.062012	0.273986
0.0625	1.12187	0.0625	2.28495	0.0625	0.274783
0.062988	1.11943	0.062988	2.28497	0.062988	0.275073
0.063477	1.12135	0.063477	2.28491	0.063477	0.275477
0.063965	1.12125	0.063965	2.28493	0.063965	0.275559
0.064453	1.12261	0.064453	2.28488	0.064453	0.275245
0.064941	1.12179	0.064941	2.28492	0.064941	0.27513
0.06543	1.12226	0.06543	2.28496	0.06543	0.275098
0.065918	1.12205	0.065918	2.28491	0.065918	0.274748
0.066406	1.1225	0.066406	2.28495	0.066406	0.276486
0.066895	1.12283	0.066895	2.28491	0.066895	0.275921
0.067383	1.12164	0.067383	2.28493	0.067383	0.275552
0.067871	1.12308	0.067871	2.28497	0.067871	0.276789
0.068359	1.12246	0.068359	2.28494	0.068359	0.275445
0.068848	1.12407	0.068848	2.28485	0.068848	0.27522
0.069336	1.12505	0.069336	2.28492	0.069336	0.276478
0.069824	1.12316	0.069824	2.28496	0.069824	0.274361
0.070312	1.1217	0.070312	2.28491	0.070312	0.275867
0.070801	1.12416	0.070801	2.28494	0.070801	0.275967
0.071289	1.12235	0.071289	2.28492	0.071289	0.276042
0.071777	1.12431	0.071777	2.28496	0.071777	0.275266
0.072266	1.11879	0.072266	2.28492	0.072266	0.276539
0.072754	1.12077	0.072754	2.285	0.072754	0.276503
0.073242	1.12442	0.073242	2.2849	0.073242	0.275845
0.07373	1.12718	0.07373	2.28484	0.07373	0.275073
0.074219	1.12354	0.074219	2.28496	0.074219	0.275355
0.074707	1.12091	0.074707	2.2849	0.074707	0.276078
0.075195	1.1227	0.075195	2.28494	0.075195	0.275581
0.075684	1.12071	0.075684	2.28486	0.075684	0.276042
0.076172	1.11994	0.076172	2.28488	0.076172	0.275699
0.07666	1.12379	0.07666	2.2849	0.07666	0.275187
0.077148	1.1218	0.077148	2.28496	0.077148	0.274172
0.077637	1.12119	0.077637	2.28494	0.077637	0.275127
0.078125	1.11889	0.078125	2.28489	0.078125	0.276464
0.078613	1.11811	0.078613	2.28492	0.078613	0.276117
0.079102	1.1203	0.079102	2.28494	0.079102	0.275288
0.07959	1.11823	0.07959	2.28495	0.07959	0.275602
0.080078	1.11598	0.080078	2.28495	0.080078	0.275334
0.080566	1.11823	0.080566	2.28493	0.080566	0.275924
0.081055	1.1183	0.081055	2.28495	0.081055	0.275159
0.081543	1.12005	0.081543	2.28497	0.081543	0.275041
0.082031	1.12446	0.082031	2.28496	0.082031	0.275874
0.08252	1.12414	0.08252	2.28489	0.08252	0.27709
0.083008	1.12232	0.083008	2.28491	0.083008	0.275681
0.083496	1.12254	0.083496	2.28487	0.083496	0.276496
0.083984	1.12158	0.083984	2.28488	0.083984	0.275634
0.084473	1.12013	0.084473	2.28492	0.084473	0.276099
0.084961	1.12111	0.084961	2.28488	0.084961	0.274583
0.085449	1.12113	0.085449	2.2849	0.085449	0.276228
0.085937	1.12352	0.085937	2.28497	0.085937	0.275763
0.086426	1.12348	0.086426	2.28491	0.086426	0.276024
0.086914	1.12477	0.086914	2.28492	0.086914	0.274562
0.087402	1.12201	0.087402	2.28488	0.087402	0.275123
0.087891	1.12474	0.087891	2.28487	0.087891	0.275924
0.088379	1.12242	0.088379	2.28491	0.088379	0.276099
0.088867	1.11903	0.088867	2.2849	0.088867	0.276217
0.089355	1.12118	0.089355	2.28492	0.089355	0.274369
0.089844	1.12322	0.089844	2.2849	0.089844	0.276217
0.090332	1.12102	0.090332	2.28493	0.090332	0.275398
0.09082	1.12197	0.09082	2.28491	0.09082	0.277844
0.091309	1.12529	0.091309	2.28493	0.091309	0.274433
0.091797	1.12326	0.091797	2.28491	0.091797	0.274469
0.092285	1.12443	0.092285	2.28494	0.092285	0.275338
0.092773	1.12352	0.092773	2.28494	0.092773	0.275037
0.093262	1.12325	0.093262	2.28489	0.093262	0.27523
0.09375	1.12277	0.09375	2.28488	0.09375	0.275592
0.094238	1.12343	0.094238	2.28494	0.094238	0.275441
0.094727	1.12466	0.094727	2.28492	0.094727	0.276067
0.095215	1.12197	0.095215	2.28491	0.095215	0.276907
0.095703	1.12574	0.095703	2.28494	0.095703	0.274029
0.096191	1.12382	0.096191	2.28492	0.096191	0.274619
0.09668	1.12349	0.09668	2.28495	0.09668	0.27616
0.097168	1.12192	0.097168	2.28492	0.097168	0.275817
0.097656	1.12086	0.097656	2.28494	0.097656	0.274014
0.098145	1.12157	0.098145	2.28487	0.098145	0.276267
0.098633	1.12298	0.098633	2.28488	0.098633	0.275506
0.099121	1.12314	0.099121	2.28489	0.099121	0.274998
0.099609	1.12415	0.099609	2.28491	0.099609	0.275302
0.100098	1.12336	0.100098	2.2849	0.100098	0.274057
0.100586	1.12409	0.100586	2.28493	0.100586	0.274787
0.101074	1.1266	0.101074	2.28495	0.101074	0.274876
0.101562	1.12574	0.101562	2.28501	0.101562	0.275563
0.102051	1.12259	0.102051	2.28493	0.102051	0.275313
0.102539	1.12024	0.102539	2.28495	0.102539	0.27468
0.103027	1.11906	0.103027	2.28493	0.103027	0.274043
0.103516	1.11972	0.103516	2.28494	0.103516	0.274801
0.104004	1.12101	0.104004	2.28492	0.104004	0.275731
0.104492	1.12303	0.104492	2.28494	0.104492	0.2741
0.10498	1.12181	0.10498	2.28498	0.10498	0.27385
0.105469	1.12551	0.105469	2.28492	0.105469	0.276024
0.105957	1.12481	0.105957	2.28491	0.105957	0.275363
0.106445	1.12199	0.106445	2.28488	0.106445	0.276611
0.106934	1.12353	0.106934	2.28493	0.106934	0.275241
0.107422	1.12158	0.107422	2.28488	0.107422	0.27479
0.10791	1.11872	0.10791	2.28496	0.10791	0.274694
0.108398	1.11766	0.108398	2.28493	0.108398	0.274411
0.108887	1.12169	0.108887	2.28487	0.108887	0.275785
0.109375	1.1243	0.109375	2.28491	0.109375	0.276096
0.109863	1.1239	0.109863	2.28499	0.109863	0.27596
0.110352	1.12553	0.110352	2.28489	0.110352	0.275899
0.11084	1.12506	0.11084	2.28489	0.11084	0.275291
0.111328	1.12172	0.111328	2.28494	0.111328	0.274215
0.111816	1.12047	0.111816	2.28494	0.111816	0.275402
0.112305	1.12312	0.112305	2.28492	0.112305	0.274315
0.112793	1.12215	0.112793	2.28491	0.112793	0.274644
0.113281	1.12356	0.113281	2.28494	0.113281	0.27577
0.11377	1.12603	0.11377	2.28492	0.11377	0.274354
0.114258	1.12467	0.114258	2.28495	0.114258	0.275935
0.114746	1.12249	0.114746	2.28491	0.114746	0.274619
0.115234	1.11992	0.115234	2.28485	0.115234	0.274476
0.115723	1.12146	0.115723	2.28493	0.115723	0.275509
0.116211	1.12337	0.116211	2.28493	0.116211	0.275445
0.116699	1.12274	0.116699	2.2849	0.116699	0.275148
0.117187	1.12259	0.117187	2.28494	0.117187	0.275073
0.117676	1.12064	0.117676	2.28501	0.117676	0.274608
0.118164	1.12312	0.118164	2.28492	0.118164	0.274644
0.118652	1.12049	0.118652	2.28497	0.118652	0.274951
0.119141	1.12025	0.119141	2.28495	0.119141	0.276342
0.119629	1.12048	0.119629	2.28497	0.119629	0.275581
0.120117	1.12142	0.120117	2.28488	0.120117	0.275212
0.120605	1.12198	0.120605	2.285	0.120605	0.275749
0.121094	1.1241	0.121094	2.28495	0.121094	0.275967
0.121582	1.12542	0.121582	2.2849	0.121582	0.275956
0.12207	1.12255	0.12207	2.28495	0.12207	0.275434
0.122559	1.12026	0.122559	2.28488	0.122559	0.275842
0.123047	1.1212	0.123047	2.28481	0.123047	0.275509
0.123535	1.12227	0.123535	2.28493	0.123535	0.275066
0.124023	1.12501	0.124023	2.28495	0.124023	0.275184
0.124512	1.12311	0.124512	2.28489	0.124512	0.275552
0.125	1.11968	0.125	2.28494	0.125	0.275781
0.125488	1.12151	0.125488	2.28495	0.125488	0.275524
0.125977	1.11934	0.125977	2.28489	0.125977	0.275352
0.126465	1.12042	0.126465	2.28493	0.126465	0.276328
0.126953	1.12295	0.126953	2.28491	0.126953	0.274436
0.127441	1.12208	0.127441	2.28494	0.127441	0.275735
0.12793	1.12217	0.12793	2.28488	0.12793	0.275874
0.128418	1.12166	0.128418	2.28497	0.128418	0.276039
0.128906	1.12048	0.128906	2.28487	0.128906	0.276128
0.129395	1.12336	0.129395	2.28498	0.129395	0.275792
0.129883	1.1203	0.129883	2.28492	0.129883	0.276632
0.130371	1.12041	0.130371	2.28493	0.130371	0.274934
0.130859	1.12405	0.130859	2.28494	0.130859	0.275391
0.131348	1.12398	0.131348	2.2849	0.131348	0.27567
0.131836	1.12363	0.131836	2.28487	0.131836	0.275702
0.132324	1.12168	0.132324	2.28486	0.132324	0.276135
0.132812	1.11771	0.132812	2.28493	0.132812	0.274926
0.133301	1.12001	0.133301	2.28496	0.133301	0.275806
0.133789	1.12063	0.133789	2.28498	0.133789	0.275323
0.134277	1.12232	0.134277	2.28496	0.134277	0.276003
0.134766	1.12336	0.134766	2.28501	0.134766	0.275828
0.135254	1.1187	0.135254	2.28489	0.135254	0.276421
0.135742	1.12004	0.135742	2.2849	0.135742	0.27635
0.13623	1.12333	0.13623	2.28498	0.13623	0.275835
0.136719	1.12123	0.136719	2.28488	0.136719	0.276428
0.137207	1.12596	0.137207	2.28492	0.137207	0.274937
0.137695	1.12289	0.137695	2.28496	0.137695	0.275341
0.138184	1.12292	0.138184	2.28497	0.138184	0.275602
0.138672	1.1246	0.138672	2.28494	0.138672	0.274937
0.13916	1.12202	0.13916	2.28496	0.13916	0.274994
0.139648	1.12384	0.139648	2.28495	0.139648	0.276217
0.140137	1.12367	0.140137	2.28493	0.140137	0.275513
0.140625	1.1215	0.140625	2.28493	0.140625	0.274293
0.141113	1.12024	0.141113	2.28488	0.141113	0.274941
0.141602	1.12073	0.141602	2.28494	0.141602	0.275756
0.14209	1.12045	0.14209	2.28487	0.14209	0.273056
0.142578	1.11922	0.142578	2.28497	0.142578	0.274816
0.143066	1.12174	0.143066	2.28491	0.143066	0.275971
0.143555	1.11783	0.143555	2.28488	0.143555	0.276929
0.144043	1.11859	0.144043	2.28494	0.144043	0.275266
0.144531	1.11983	0.144531	2.2849	0.144531	0.275377
0.14502	1.12268	0.14502	2.28494	0.14502	0.275019
0.145508	1.12209	0.145508	2.28494	0.145508	0.275041
0.145996	1.11912	0.145996	2.28493	0.145996	0.275398
0.146484	1.12333	0.146484	2.28492	0.146484	0.274032
0.146973	1.12448	0.146973	2.28495	0.146973	0.275963
0.147461	1.12302	0.147461	2.28485	0.147461	0.275613
