0.000	-0.108	-0.058
0.000	-0.119	-0.059
0.000	-0.109	-0.052
0.001	-0.110	-0.042
0.001	-0.098	-0.045
0.001	-0.076	-0.051
0.001	-0.109	-0.047
0.001	-0.114	-0.041
0.002	-0.113	-0.027
0.002	-0.101	-0.028
0.002	-0.124	-0.056
0.002	-0.107	-0.039
0.002	-0.145	-0.049
0.003	-0.125	-0.029
0.003	-0.110	-0.059
0.003	-0.108	-0.016
0.003	-0.106	-0.016
0.003	-0.112	-0.040
0.004	-0.123	-0.015
0.004	-0.105	-0.014
0.004	-0.103	-0.043
0.004	-0.127	-0.020
0.004	-0.119	-0.020
0.005	-0.117	-0.031
0.005	-0.105	-0.028
0.005	-0.115	-0.026
0.005	-0.090	-0.005
0.005	-0.107	-0.034
0.006	-0.142	-0.025
0.006	-0.120	-0.015
0.006	-0.131	-0.064
0.006	-0.114	-0.033
0.006	-0.129	-0.050
0.007	-0.116	-0.039
0.007	-0.131	-0.054
0.007	-0.101	-0.028
0.007	-0.118	-0.033
0.007	-0.096	-0.017
0.008	-0.102	-0.045
0.008	-0.105	-0.057
0.008	-0.112	-0.047
0.008	-0.087	-0.033
0.008	-0.112	-0.048
0.009	-0.111	-0.044
0.009	-0.117	-0.041
0.009	-0.118	-0.039
0.009	-0.116	-0.047
0.009	-0.142	-0.037
0.010	-0.126	-0.059
0.010	-0.112	-0.028
0.010	-0.104	-0.045
0.010	-0.104	-0.038
0.010	-0.115	-0.045
0.011	-0.119	-0.032
0.011	-0.121	-0.021
0.011	-0.131	-0.041
0.011	-0.110	-0.021
0.011	-0.123	-0.016
0.012	-0.112	-0.035
0.012	-0.139	-0.047
0.012	-0.105	-0.052
0.012	-0.113	-0.034
0.012	-0.119	-0.037
0.013	-0.127	-0.041
0.013	-0.123	-0.029
0.013	-0.131	-0.034
0.013	-0.139	-0.045
0.013	-0.136	-0.052
0.014	-0.138	-0.042
0.014	-0.124	-0.047
0.014	-0.158	-0.030
0.014	-0.101	-0.033
0.014	-0.113	-0.022
0.015	-0.126	-0.038
0.015	-0.127	-0.023
0.015	-0.129	-0.019
0.015	-0.127	-0.067
0.015	-0.123	-0.030
0.016	-0.135	-0.034
0.016	-0.130	-0.068
0.016	-0.123	-0.031
0.016	-0.115	-0.019
0.016	-0.136	-0.021
0.017	-0.128	-0.041
0.017	-0.133	-0.049
0.017	-0.131	-0.056
0.017	-0.134	-0.026
0.017	-0.152	-0.055
0.018	-0.159	-0.029
0.018	-0.144	-0.035
0.018	-0.129	-0.029
0.018	-0.133	-0.030
0.018	-0.121	-0.040
0.019	-0.116	-0.025
0.019	-0.118	-0.029
0.019	-0.146	-0.027
0.019	-0.130	-0.013
0.019	-0.120	0.009
0.020	-0.155	0.012
0.020	-0.141	-0.007
0.020	-0.146	-0.002
0.020	-0.157	-0.006
0.020	-0.132	-0.002
0.021	-0.147	-0.006
0.021	-0.132	0.001
0.021	-0.134	-0.010
0.021	-0.134	0.000
0.021	-0.138	-0.005
0.022	-0.131	-0.007
0.022	-0.152	0.001
0.022	-0.129	0.003
0.022	-0.134	-0.001
0.022	-0.130	-0.004
0.023	-0.134	0.006
0.023	-0.139	0.007
0.023	-0.139	-0.003
