today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],PITCH_CMD_KP=0.0045KI=0KD=0.000742,PITCH_MEAS,ROLL_CMD_KP0.0045KI=0KD=0.000742,ROLL_MEAS,YAW_CMDKPy=0.231KIy=0KDy=0,YAW_MEAS,
Thu Feb 15 18:54:56 2018,9106817,559.635,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5122,20,1046,0,28,30,-0.129287,-0.349553,-10.3334,-0.00532112,0.0287341,-0.0180918,41.5957,16.6359,46.7771,0.140846,43.2261,0.0704269,52.4435,2.38419e-07,-0.0180918,
Thu Feb 15 18:54:56 2018,9116818,559.635,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5128,20,1044,16,30,28,-0.205901,-0.368707,-10.2855,-0.0117065,0.0138349,-0.0212845,41.5957,16.6359,46.7771,0.140846,43.0519,0.0704269,51.7098,2.38419e-07,-0.0212845,
Thu Feb 15 18:54:56 2018,9126819,559.635,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5128,20,1044,16,30,28,-0.3304,-0.320823,-10.1035,0.0159634,0.0510828,-0.0489543,41.5957,16.6359,46.7771,0.140846,42.8881,0.0704269,50.9819,2.38419e-07,-0.0489543,
Thu Feb 15 18:54:56 2018,9136820,559.296,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5118,16,1028,0,8,30,0.0143652,-0.325611,-10.4339,-0.0276698,0.0351194,-0.0383121,39.7793,15.9047,48.5291,0.140846,42.7191,0.0704269,50.2473,2.38419e-07,-0.0383121,
Thu Feb 15 18:54:56 2018,9146821,559.296,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5118,16,1028,0,8,30,-0.105345,-0.354342,-10.659,0.0042569,-0.0212845,0.0148991,39.7793,15.9047,48.5291,0.140846,42.5388,0.0704269,49.5461,2.38419e-07,0.0148991,
Thu Feb 15 18:54:56 2018,9156822,559.296,1515,1516,1088,1514,1940,1514,0.0704269,0.140846,1,2.38419e-07,0.5,-1.19209e-07,5146,16,1012,24,28,30,-0.047884,-0.675165,-10.5489,-0.00638535,0.0489543,0.0361836,39.7793,15.9047,48.5291,0.140846,42.3217,0.0704269,48.8266,2.38419e-07,0.0361836,
Thu Feb 15 18:54:56 2018,9166823,559.296,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5146,16,1012,24,28,30,-0.363919,-0.0957681,-9.2895,-0.00851379,-0.0266056,0.00106422,39.7793,15.9047,48.5291,0.140846,42.0948,0.0704269,48.17,2.38419e-07,0.00106422,
Thu Feb 15 18:54:56 2018,9176824,558.297,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5124,16,1028,36,28,30,-0.59855,-0.47884,-11.224,-0.00744957,0.0936517,-0.0564039,39.7793,15.9047,48.5291,0.140846,41.9112,0.0704269,47.4006,2.38419e-07,-0.0564039,
Thu Feb 15 18:54:56 2018,9186825,558.297,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5124,16,1028,36,28,30,0.263362,-0.0814029,-9.54808,0.0117065,-0.0266056,-0.042569,39.7793,15.9047,48.5291,0.140846,41.739,0.0704269,46.733,2.38419e-07,-0.042569,
Thu Feb 15 18:54:56 2018,9196826,558.297,1515,1516,1088,1514,1940,1940,0.0704269,0.140846,1,2.38419e-07,0.5,0.5,5116,16,1036,16,28,30,0.215478,-0.282516,-10.7595,-0.0319267,0.0723673,0.0148991,39.7793,15.9047,48.5291,0.140846,41.5449,0.0704269,46.022,2.38419e-07,0.0148991,
