ODB Name,Step,Frame,Part Instance Name, Element Label,         IntPt,X,Y,Z,Section Name,Material Name,Section Point,E-Max. In-Plane Principal,E-Max. In-Plane Principal (Abs),       S-Mises,S-Max. In-Plane Principal
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            33,             2,      -1.39058,       1.64076,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.81507E-03,   1.81507E-03,   53.6401E+03,   55.9221E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            33,             3,      -1.37873,       1.71855,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.71650E-03,   1.71650E-03,   51.4993E+03,   51.4887E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            33,             4,      -1.34106,       1.66481,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.80885E-03,   1.80885E-03,   54.1386E+03,   54.4607E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            34,             1,      -1.25460,       1.80551,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.38187E-03,   1.38187E-03,   41.7567E+03,   41.0322E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            34,             2,      -1.33422,       1.75068,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.34897E-03,   1.34897E-03,   40.8191E+03,   39.9807E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            34,             3,      -1.21364,       1.71651,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.63789E-03,   1.63789E-03,   49.1600E+03,   49.1016E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            34,             4,      -1.29364,       1.68510,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.67386E-03,   1.67386E-03,   50.2108E+03,   50.2233E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            35,             1,      -1.14082,       1.51597,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.73828E-03,   1.73828E-03,   52.6743E+03,   51.4224E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            35,             2,      -1.11838,       1.46482,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.43497E-03,   1.43497E-03,   43.4982E+03,   42.4305E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            35,             3,      -1.06934,       1.52040,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.74474E-03,   1.74474E-03,   54.1620E+03,   50.1628E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            35,             4,      -1.05522,       1.46189,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.48148E-03,   1.48148E-03,   46.4654E+03,   42.1343E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            36,             1,  -874.647E-03,       1.28094,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   794.871E-06,   794.871E-06,   28.1189E+03,   20.3116E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            36,             2,  -843.541E-03,       1.23592,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   770.822E-06,   770.822E-06,   27.8838E+03,   19.3366E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            36,             3,  -801.722E-03,       1.32639,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   848.515E-06,   848.515E-06,   28.8549E+03,   22.4118E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            36,             4,  -767.214E-03,       1.27836,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   829.849E-06,   829.849E-06,   28.7435E+03,   21.5815E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            37,             1,  -899.457E-03,       1.47599,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.35576E-03,   1.35576E-03,   42.6894E+03,   38.4053E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            37,             2,  -984.856E-03,       1.43530,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.34671E-03,   1.34671E-03,   42.3240E+03,   38.2225E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            37,             3,  -892.340E-03,       1.42219,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.21358E-03,   1.21358E-03,   39.3342E+03,   33.4366E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            37,             4,  -959.089E-03,       1.38488,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.21926E-03,   1.21926E-03,   39.2778E+03,   33.7835E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            38,             1,      -1.32435,       1.62243,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   2.08201E-03,   2.08201E-03,   61.8747E+03,   63.4347E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            38,             2,      -1.37670,       1.60545,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   2.05994E-03,   2.05994E-03,   61.0942E+03,   63.0024E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            38,             3,      -1.31637,       1.56039,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   2.23258E-03,   2.23258E-03,   66.3584E+03,   68.0055E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            38,             4,      -1.36889,       1.55381,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   2.23959E-03,   2.23959E-03,   66.4392E+03,   68.4635E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            39,             1,      -1.12589,       1.65585,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.70533E-03,   1.70533E-03,   52.1038E+03,   49.9269E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            39,             2,      -1.14284,       1.56715,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.74793E-03,   1.74793E-03,   53.2954E+03,   51.3029E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            39,             3,      -1.00320,       1.64883,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.70533E-03,   1.70533E-03,   52.4760E+03,   49.5107E+03
C:/temp/newjob.odb,Step-1,Increment      1: Step Time =    1.000,"RIGHTSIDE1-1",            39,             4,      -1.05541,       1.57049,            0.,"ASSEMBLY_RIGHTSIDE1-1_SET-5","A36","",   1.75463E-03,   1.75463E-03,   54.0360E+03,   50.8957E+03
