today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.004, kiei(I)=5e-09, kded(D)=0.0005,signal, mad_pitch
Thu Sep 26 02:07:17 2019,7840485,0,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5394,5540,1234,0,30,30,-1.47962,-0.110133,-9.46188,-0.0404405,-1.044,-0.129835,-12.4688,35.1422,33.5332,-8.88774,0.585564,-0.00838785,0.56013,0.551742,1.00753e+31,6.29705e+22,1.25941e+32,0.140846,0,
Thu Sep 26 02:07:17 2019,7850486,1050.56,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5394,5540,1234,0,30,30,-1.68552,-0.110133,-9.32302,-0.0436332,-1.05677,-0.12345,-12.4688,35.1422,33.5332,-10.2479,0.875702,-0.0424784,0.78795,0.745471,-0.0545079,-6.29705e+22,-1.25941e+32,0.140846,13.7678,
Thu Sep 26 02:07:17 2019,7860489,1050.56,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5396,5536,1234,0,28,30,-1.68073,-0.114922,-9.51456,-0.032991,-1.08657,-0.102166,-12.4688,35.1422,33.5332,-10.0179,1.17072,-0.110697,0.9981,0.887403,-0.0541427,2.28276e-12,0.00456553,0.140846,13.6765,
Thu Sep 26 02:07:17 2019,7870490,1050.56,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5394,5554,1238,0,28,28,-1.75256,-0.023942,-9.44273,-0.0106422,-1.10892,-0.0595966,-12.4688,35.1422,33.5332,-10.5144,1.4636,-0.211203,1.18458,0.973379,-0.0537202,2.64065e-12,0.00528131,0.140846,13.5709,
Thu Sep 26 02:07:17 2019,7880491,1050.56,1513,1511,1088,1512,1088,1514,-0.0469513,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5394,5554,1238,0,28,28,-1.7765,0.0430956,-9.51935,0.00744957,-1.14404,-0.00744957,-12.4688,35.1422,33.5332,-10.5709,1.76014,-0.341647,1.35424,1.0126,-0.0532123,3.17445e-12,0.0063489,0.211266,13.4439,
Thu Sep 26 02:07:17 2019,7890492,1050.56,1513,1511,1088,1512,1088,1514,-0.0469513,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5392,5538,1232,0,28,28,-2.04465,-0.181959,-9.46188,0.0415047,-1.17065,0.0468259,-12.4688,35.1422,33.5332,-12.1937,2.05424,-0.5011,1.50204,1.00094,-0.0522823,5.81262e-12,0.0116252,0.211266,13.2818,
Thu Sep 26 02:07:17 2019,7900493,1053.8,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5392,5538,1232,0,28,28,-2.07338,-0.100556,-9.27993,0.0457616,-1.19087,0.0893948,-12.4688,35.1422,33.5332,-12.5945,2.34651,-0.689989,1.62986,0.939871,-0.051438,5.27682e-12,0.0105536,0.140846,13.0708,
Thu Sep 26 02:07:17 2019,7910494,1053.8,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5392,5538,1232,0,28,28,-2.26013,-0.196325,-9.23683,0.0627892,-1.22279,0.12345,-12.4688,35.1422,33.5332,-13.7494,2.64214,-0.908477,1.74387,0.835393,-0.0507136,4.52719e-12,0.00905437,0.140846,12.8193,
Thu Sep 26 02:07:17 2019,7920495,1053.8,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5370,5532,1232,0,26,30,-2.27928,-0.344765,-9.21289,0.0638535,-1.24727,0.144735,-12.4688,35.1422,33.5332,-13.896,2.93563,-1.15592,1.83957,0.683647,-0.0495765,7.10726e-12,0.0142145,0.140846,12.535,
Thu Sep 26 02:07:17 2019,7930496,1053.8,1513,1512,1088,1512,1088,1514,-0.0469513,0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5396,5540,1234,0,30,28,-2.59053,-0.282516,-9.0836,0.0595966,-1.276,0.135156,-12.4688,35.1422,33.5332,-15.9175,3.23034,-1.4322,1.92135,0.489155,-0.0483161,7.87716e-12,0.0157543,0.140846,12.2199,
