today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:03:24 2019,8173028,1085.76,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1234,0,6,28,1.1971,-0.42138,10.0892,0.0127707,-0.0383121,0.00851379,19.5938,35.1422,-62.918,173.234,4.59464,50.7022,2.06615,52.7684,-0.103493,-0,-0.00532255,
Thu Sep 26 01:03:24 2019,8183029,1085.34,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1234,0,6,28,1.23541,-0.335188,9.99819,0.00744957,-0.0393763,0.00957802,19.5938,35.1422,-62.918,172.956,4.88143,55.626,2.0765,57.7025,-0.103766,-0,-0.00545406,
Thu Sep 26 01:03:24 2019,8193030,1085.34,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5380,5536,1234,0,28,12,1.15879,-0.320823,10.1227,0.00532112,-0.0372479,0.0127707,19.5938,35.1422,-62.918,173.47,5.1673,60.575,2.07727,62.6523,-0.104041,-0,-0.0055024,
Thu Sep 26 01:03:24 2019,8203031,1085.34,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5380,5536,1234,0,28,12,1.23541,-0.263362,10.1227,0.00957802,-0.0351194,0.0127707,19.5938,35.1422,-62.918,173.042,5.45317,65.5287,2.07012,67.5989,-0.104317,-0,-0.00552416,
Thu Sep 26 01:03:24 2019,8213032,1085.34,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,30,1.19231,-0.277727,10.0844,0.00532112,-0.0340552,0.019156,18.3469,35.6801,-62.3994,173.257,5.73934,70.468,2.05606,72.524,-0.104598,-0,-0.0056271,
Thu Sep 26 01:03:24 2019,8223033,1086.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,30,1.13964,-0.363919,10.1227,0.00638535,-0.0319267,0.0159634,18.3469,35.6801,-62.3994,173.577,6.02521,75.3756,2.03514,77.4107,-0.104881,-0,-0.00565687,
Thu Sep 26 01:03:24 2019,8233034,1086.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5540,1238,0,28,28,1.21625,-0.335188,10.1323,0.00319267,-0.0361836,0.00744957,18.3469,35.6801,-62.3994,173.155,6.31291,80.2361,2.01006,82.2462,-0.10517,-0,-0.00577036,
Thu Sep 26 01:03:24 2019,8243035,1086.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5540,1238,0,28,28,1.28808,-0.335188,10.2328,0.00638535,-0.032991,0.0106422,18.3469,35.6801,-62.3994,172.826,6.59847,85.0345,1.97749,87.0119,-0.105459,-0,-0.00579519,
Thu Sep 26 01:03:24 2019,8253038,1086.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1238,0,6,28,1.17316,-0.287304,10.094,0.00319267,-0.0308625,0.00638535,18.3469,35.6801,-62.3994,173.371,6.88434,89.7573,1.94051,91.6978,-0.105751,-0,-0.00582964,
Thu Sep 26 01:03:24 2019,8263039,1086.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1238,0,6,28,1.30245,-0.35913,10.0173,0.00744957,-0.0255414,0.00957802,18.3469,35.6801,-62.3994,172.592,7.1693,94.3931,1.89848,96.2916,-0.106049,-0,-0.00596489,
Thu Sep 26 01:03:24 2019,8273040,1086.13,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5536,1234,0,30,10,1.34554,-0.354342,10.1323,0.00638535,-0.0223487,0.0106422,18.3469,35.6801,-62.3994,172.436,7.45486,98.9307,1.85343,100.784,-0.106357,-0,-0.00615475,
Thu Sep 26 01:03:24 2019,8283041,1086.73,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5536,1234,0,30,10,1.2785,-0.320823,10.1227,0.00744957,-0.0276698,0.00957802,18.3469,35.6801,-62.3994,172.802,7.74286,103.361,1.80755,105.168,-0.106672,-0,-0.00629627,
Thu Sep 26 01:03:24 2019,8293042,1086.73,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1234,0,30,12,1.25935,-0.23942,10.094,0.00957802,-0.0276698,0.019156,18.3469,35.6801,-62.3994,172.889,8.02934,107.676,1.75728,109.433,-0.10698,-0,-0.00616196,
Thu Sep 26 01:03:24 2019,8303043,1086.73,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1234,0,30,12,1.29287,-0.296881,10.0126,0.00744957,-0.0223487,0.0148991,18.3469,35.6801,-62.3994,172.643,8.3143,111.871,1.70319,113.574,-0.107292,-0,-0.00624847,
Thu Sep 26 01:03:24 2019,8313044,1086.73,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5540,1234,0,28,28,1.20668,-0.363919,10.0317,0.0106422,-0.0138349,0.0138349,18.3469,35.6801,-62.3994,173.141,8.59834,115.939,1.6464,117.585,-0.107614,-0,-0.00644394,
Thu Sep 26 01:03:24 2019,8323045,1085.79,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5540,1234,0,28,28,1.26414,-0.306458,10.003,0.0117065,-0.0170276,0.0148991,18.3469,35.6801,-62.3994,172.798,8.88573,119.877,1.59143,121.468,-0.107939,-0,-0.00649467,
Thu Sep 26 01:03:24 2019,8333046,1085.79,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5548,1234,0,8,28,1.23062,-0.354342,10.1706,0.0138349,-0.019156,0.0117065,18.3469,35.6801,-62.3994,173.101,9.17282,123.68,1.53483,125.215,-0.108267,-0,-0.00655876,
Thu Sep 26 01:03:24 2019,8343047,1085.79,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5548,1234,0,8,28,1.2402,-0.316035,10.0173,0.0117065,-0.0159634,0.0148991,20.8406,34.9629,-61.0166,172.943,9.45839,127.346,1.47578,128.822,-0.108598,-0,-0.00662432,
Thu Sep 26 01:03:24 2019,8353048,1085.79,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5550,1234,0,26,12,1.1971,-0.215478,10.228,0.0106422,-0.0138349,0.00638535,20.8406,34.9629,-61.0166,173.325,9.74426,130.874,1.41648,132.29,-0.108937,-0,-0.0067816,
Thu Sep 26 01:03:24 2019,8363049,1085.79,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5550,1234,0,26,12,1.20668,-0.306458,10.1179,0.0117065,-0.0106422,0.0117065,20.8406,34.9629,-61.0166,173.199,10.0298,134.261,1.35657,135.618,-0.109281,-0,-0.00686665,
Thu Sep 26 01:03:24 2019,8373050,1085.79,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5544,1234,0,26,10,1.19231,-0.277727,10.1466,0.00957802,-0.00957802,0.0106422,20.8406,34.9629,-61.0166,173.298,10.316,137.508,1.29722,138.805,-0.109629,-0,-0.00695744,
