today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:57:33 2019,10323281,0,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5402,5560,1238,0,30,10,-0.890643,-0.0957681,-9.5385,0.00851379,0.0532112,-0.0042569,-15.3188,34.0664,34.2246,-5.33444,0.271235,-0.00503441,0.259454,0.25442,0,0,0,
Wed Sep 25 23:57:33 2019,10333282,1088.98,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5380,5538,1234,0,8,28,-0.92895,0.0191536,-9.49062,0.0138349,0.0500185,0.00106422,-15.3188,34.0664,34.2246,-5.59036,0.558629,-0.0249667,0.511336,0.486369,0.000239616,0,0,
Wed Sep 25 23:57:33 2019,10343285,1088.98,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5380,5538,1234,0,8,28,-0.871489,-0.172383,-9.57202,0.0159634,0.0500185,0.0106422,-15.3188,34.0664,34.2246,-5.20219,0.845108,-0.0636067,0.739007,0.675401,0.000237219,-0,-0,
Wed Sep 25 23:57:33 2019,10353286,1088.98,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5390,5538,1240,0,30,10,-0.80924,-0.0526724,-9.38527,0.0266056,0.0393763,0.0148991,-15.3188,34.0664,34.2246,-4.92811,1.13464,-0.118469,0.947457,0.828988,0.000234119,-0,-0,
Wed Sep 25 23:57:33 2019,10363287,1088.98,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5390,5538,1240,0,30,10,-0.995988,-0.110133,-9.57202,0.0127707,0.032991,0.0223487,-15.3188,34.0664,34.2246,-5.94037,1.42294,-0.188039,1.13345,0.94541,0.000231299,-0,-0,
Wed Sep 25 23:57:33 2019,10373288,1088.98,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5392,5550,1234,0,8,30,-1.01514,-0.162806,-9.56723,0.00319267,0.019156,0.0319267,-15.3188,34.0664,34.2246,-6.05677,1.71339,-0.272567,1.3014,1.02883,0.000228525,-0,-0,
Wed Sep 25 23:57:33 2019,10383289,1089.16,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5392,5550,1234,0,8,30,-1.13006,-0.215478,-9.47146,-0.00319267,0.00212845,0.0287341,-15.3188,34.0664,34.2246,-6.80394,2.00474,-0.372342,1.45103,1.07869,0.0002259,-0,-0,
Wed Sep 25 23:57:33 2019,10393290,1089.16,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5546,1238,0,8,30,-1.12049,-0.0143652,-9.62469,0.00212845,-0.0212845,0.0276698,-15.3188,34.0664,34.2246,-6.64037,2.29793,-0.487058,1.58423,1.09717,0.000223441,-0,-0,
Wed Sep 25 23:57:33 2019,10403291,1089.16,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5546,1238,0,8,30,-1.15401,0.0430956,-9.49062,0.00532112,-0.0404405,0.0276698,-15.3188,34.0664,34.2246,-6.93281,2.5899,-0.615684,1.69896,1.08327,0.000221106,-0,-0,
Wed Sep 25 23:57:33 2019,10413292,1089.16,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1226,0,8,30,-1.25935,0.114922,-9.4954,0.0117065,-0.0532112,0.0308625,-15.3188,34.0664,34.2246,-7.5549,2.88004,-0.757538,1.79577,1.03823,0.000218953,-0,-0,
Wed Sep 25 23:57:33 2019,10423293,1088.57,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1226,0,8,30,-1.29287,-0.0191536,-9.50498,0.0170276,-0.052147,0.0234129,-15.3188,34.0664,34.2246,-7.74585,3.16621,-0.912589,1.87379,0.961196,0.000216938,-0,-0,
Wed Sep 25 23:57:33 2019,10433294,1088.57,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5392,5550,1238,0,32,14,-1.25456,-0.158017,-9.42358,0.0117065,-0.0606608,0.0212845,-15.3188,34.0664,34.2246,-7.58321,3.45513,-1.07993,1.94072,0.860796,0.000215008,-0,-0,
Wed Sep 25 23:57:33 2019,10443295,1088.57,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5392,5550,1238,0,32,14,-1.23541,-0.148441,-9.43794,0.00851379,-0.0606608,0.019156,-15.3188,34.0664,34.2246,-7.45751,3.74161,-1.25763,1.99231,0.734684,0.000213134,-0,-0,
Wed Sep 25 23:57:33 2019,10453296,1088.57,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5390,5548,1236,0,8,30,-1.18752,-0.0383072,-9.37569,-0.00106422,-0.0553397,0.0127707,-15.3188,34.0664,34.2246,-7.21864,4.02656,-1.44353,2.03054,0.587012,0.000211254,-0,-0,
Wed Sep 25 23:57:33 2019,10463297,1088.57,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5390,5548,1236,0,8,30,-0.622492,-0.416591,-9.57681,0.0383121,-0.061725,0.00106422,-15.3188,34.0664,34.2246,-3.719,4.31487,-1.63235,2.06106,0.428709,0.000209345,-0,-0,
Wed Sep 25 23:57:33 2019,10473298,1088.57,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5380,5548,1212,8,6,28,-1.30723,0.3304,-9.57681,-0.0478901,-0.0830095,0.0532112,-15.3188,34.0664,34.2246,-7.77284,4.60745,-1.82013,2.08529,0.265156,0.000207463,-0,-0,
Wed Sep 25 23:57:33 2019,10483299,1089.87,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5380,5548,1212,8,6,28,-0.92895,0.268151,-9.24641,-0.0436332,-0.0138349,0.0106422,-15.1406,35.6801,34.7432,-5.73704,4.87411,-2.00868,2.0748,0.0661163,0.000205659,-0,-0,
Wed Sep 25 23:57:33 2019,10493300,1089.87,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5554,1212,8,32,10,-1.61369,-0.100556,-9.87848,0.00638535,0.00851379,-0.00319267,-15.1406,35.6801,34.7432,-9.27758,5.15419,-2.20054,2.0702,-0.130347,0.000203405,-0,-0,
Wed Sep 25 23:57:33 2019,10503301,1089.87,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5554,1212,8,32,10,-0.588974,-0.148441,-9.34696,0.0266056,-0.0266056,0.0266056,-15.1406,35.6801,34.7432,-3.60557,5.45073,-2.39412,2.07392,-0.320201,0.000201671,-0,-0,
Wed Sep 25 23:57:33 2019,10513302,1089.87,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5396,5532,1220,2,30,14,-1.2785,-0.158017,-10.6255,0.00957802,-0.0244772,-0.00106422,-15.1406,35.6801,34.7432,-6.8611,5.7366,-2.58425,2.05929,-0.524956,0.000199451,-0,-0,
Wed Sep 25 23:57:33 2019,10523303,1088.12,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5396,5532,1220,2,30,14,-0.766145,-0.215478,-9.24641,-0.0351194,0.0297983,0.042569,-15.1406,35.6801,34.7432,-4.73663,6.00753,-2.76929,2.02384,-0.745442,0.000197189,-0,-0,
Wed Sep 25 23:57:33 2019,10533304,1088.12,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5532,1212,2,30,32,-0.703895,-0.694318,-10.1801,0.0883306,0.00532112,-0.00532112,-15.1406,35.6801,34.7432,-3.95536,6.30102,-2.94729,2.00535,-0.941944,0.000194753,-0,-0,
Wed Sep 25 23:57:33 2019,10543305,1088.12,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5532,1212,2,30,32,-1.21625,-0.814029,-10.9128,-0.0287341,-0.0180918,0.0255414,-15.1406,35.6801,34.7432,-6.35951,6.5942,-3.11698,1.98056,-1.13642,0.000192472,-0,-0,
Wed Sep 25 23:57:33 2019,10553306,1088.12,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5372,5538,1214,4,30,12,-2.00634,1.01035,-7.64229,-0.122386,-0.00851379,0.0404405,-15.1406,35.6801,34.7432,-14.71,6.87794,-3.29011,1.94137,-1.34874,0.000190329,-0,-0,
Wed Sep 25 23:57:33 2019,10563307,1088.12,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5372,5538,1214,4,30,12,-1.17795,-0.301669,-10.0461,0.126643,0.0649177,-0.00212845,-15.1406,35.6801,34.7432,-6.68766,7.14338,-3.47617,1.88067,-1.5955,0.000188844,-0,-0,
Wed Sep 25 23:57:33 2019,10573308,1088.12,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5370,5580,1168,34,28,12,-0.919373,-0.837971,-10.5919,0.0383121,0.042569,0.019156,-15.1406,35.6801,34.7432,-4.9608,7.43626,-3.6645,1.84429,-1.82021,0.000186465,-0,-0,
Wed Sep 25 23:57:33 2019,10583309,1089.45,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5370,5580,1168,34,28,12,-1.68073,0.383072,-7.01501,-0.0510828,-0.0234129,0.00319267,-15.1406,35.6801,34.7432,-13.4736,7.74164,-3.85137,1.81599,-2.03538,0.000184669,-0,-0,
Wed Sep 25 23:57:33 2019,10593310,1089.45,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5540,1186,24,8,30,-1.37906,0.071826,-8.23605,-0.00319267,0.0106422,0.0159634,-15.1406,35.6801,34.7432,-9.50554,8.01837,-4.04691,1.75582,-2.29108,0.000183081,-0,-0,
Wed Sep 25 23:57:33 2019,10603311,1089.45,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5540,1186,24,8,30,-1.34075,0.301669,-10.2472,0.0904591,0.0649177,0.0042569,-15.1406,35.6801,34.7432,-7.4543,8.2893,-4.24824,1.6886,-2.55964,0.000181132,-0,-0,
Wed Sep 25 23:57:33 2019,10613312,1089.45,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5526,1194,16,28,14,-1.28329,-0.320823,-9.97903,0.0904591,0.0212845,-0.00212845,-13.3594,37.8316,31.2861,-7.32796,8.58828,-4.44639,1.64755,-2.79884,0.000179049,-0,-0,
Wed Sep 25 23:57:33 2019,10623313,1088.51,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5526,1194,16,28,14,-1.01514,0.440533,-8.96868,-0.0319267,-0.0180918,0.0319267,-13.3594,37.8316,31.2861,-6.45768,8.88604,-4.63787,1.6026,-3.03527,0.00017737,-0,-0,
