today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=0, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:46:20 2019,26225553,1041.41,1513,1510,1847,1513,1088,1514,-0.0469513,0.281685,1.79085,-0.281677,-0.5,-1.19209e-07,5388,5538,1058,98,6,10,-4.57293,-1.58017,-5.76045,-0.100037,1.33986,0.0117065,8.72813,33.8871,33.7061,-38.4443,538.198,-36.7942,-0.150751,-36.9449,0.114241,-0,-0.0257726,0.281685,-32.3587,
Thu Sep 26 02:46:20 2019,26235556,1041.37,1513,1510,1842,1513,1088,1514,-0.0469513,0.281685,1.78498,-0.281677,-0.5,-1.19209e-07,5388,5538,1058,98,6,10,-5.05655,-0.555455,-11.722,0.0255414,1.34305,0.0287341,8.72813,33.8871,33.7061,-23.3341,538.483,-36.7056,-0.132784,-36.8384,0.111685,-0,-0.0350634,0.281685,-31.6282,
Thu Sep 26 02:46:20 2019,26245557,1041.37,1513,1510,1842,1513,1088,1514,-0.0469513,0.281685,1.78498,-0.281677,-0.5,-1.19209e-07,5404,5570,1060,96,28,28,-5.51624,0.512359,-7.84819,-0.061725,1.30474,0.0606608,8.72813,33.8871,33.7061,-35.1022,538.781,-36.5994,-0.104551,-36.704,0.109022,-0,-0.0365186,0.281685,-30.8674,
Thu Sep 26 02:46:20 2019,26255558,1041.37,1513,1510,1839,1513,1088,1514,-0.0469513,0.281685,1.78146,-0.281677,-0.5,-1.19209e-07,5404,5570,1060,96,28,28,-5.71256,-1.09176,-7.64229,-0.112808,1.37604,0.0500185,8.72813,33.8871,33.7061,-36.7779,539.047,-36.4871,-0.108291,-36.5954,0.107007,-0,-0.0276372,0.281685,-30.2916,
Thu Sep 26 02:46:20 2019,26265559,1041.37,1513,1510,1839,1513,1088,1514,-0.0469513,0.281685,1.78146,-0.281677,-0.5,-1.19209e-07,5388,5592,1062,88,26,28,-4.85065,-0.938527,-10.7835,-0.0106422,1.50588,0.0297983,8.72813,33.8871,33.7061,-24.2193,539.296,-36.372,-0.127418,-36.4994,0.103959,-0,-0.0417968,0.281685,-29.4209,
Thu Sep 26 02:46:20 2019,26275572,1041.37,1513,1510,1835,1513,1088,1514,-0.0469513,0.281685,1.77676,-0.281677,-0.5,-1.19209e-07,5388,5592,1062,88,26,28,-6.55054,0.756568,-4.72137,-0.0510828,1.42925,0.019156,8.72813,33.8871,33.7061,-54.2175,539.605,-36.2609,-0.0877973,-36.3487,0.101533,-0,-0.0332661,0.281685,-28.7278,
Thu Sep 26 02:46:20 2019,26285573,1041.09,1513,1510,1835,1513,1088,1514,-0.0469513,0.281685,1.77676,-0.281677,-0.5,-1.19209e-07,5402,5570,1046,110,30,28,-4.47716,-0.962469,-11.5975,-0.154313,1.62507,0.0244772,8.72813,33.8871,33.7061,-21.1088,539.835,-36.1675,-0.125858,-36.2934,0.0988349,-0,-0.0370058,0.281685,-27.9569,
Thu Sep 26 02:46:20 2019,26295575,1041.09,1513,1510,1833,1513,1088,1514,-0.0469513,0.281685,1.77441,-0.281677,-0.5,-1.19209e-07,5402,5570,1046,110,30,28,-4.13718,-1.30245,-12.2344,-0.105358,1.71979,-0.00532112,8.72813,33.8871,33.7061,-18.6835,540.094,-36.0542,-0.132561,-36.1867,0.0953168,-0,-0.0482486,0.281685,-26.9517,
Thu Sep 26 02:46:20 2019,26305576,1041.09,1513,1510,1833,1513,1088,1514,-0.0469513,0.281685,1.77441,-0.281677,-0.5,-1.19209e-07,5388,5560,1052,96,28,28,-4.89375,0.493206,-11.0564,0.0117065,1.62188,-0.0361836,8.72813,33.8871,33.7061,-23.875,540.409,-35.8921,-0.0853372,-35.9774,0.0922518,-0,-0.0420342,0.281685,-26.076,
Thu Sep 26 02:46:20 2019,26315577,1041.09,1513,1510,1828,1513,1088,1514,-0.0469513,0.281685,1.76854,-0.281677,-0.5,-1.19209e-07,5388,5560,1052,96,28,28,-3.46202,1.01993,-12.0237,0.00319267,1.5676,-0.052147,8.72813,33.8871,33.7061,-16.0629,540.711,-35.6861,-0.0538283,-35.7399,0.0886864,-0,-0.048897,0.281685,-25.0573,
Thu Sep 26 02:46:20 2019,26325578,1041.09,1513,1510,1828,1513,1088,1514,-0.0469513,0.281685,1.76854,-0.281677,-0.5,-1.19209e-07,5404,5590,1062,90,28,28,-3.45244,0.679953,-6.69419,-0.162826,1.59527,-0.0659819,8.72813,33.8871,33.7061,-27.2818,540.989,-35.4415,-0.0472549,-35.4888,0.08516,-0,-0.0483621,0.281685,-24.0497,
Thu Sep 26 02:46:20 2019,26335579,1041.08,1513,1510,1828,1513,1088,1514,-0.0469513,0.281685,1.76854,-0.281677,-0.5,-1.19209e-07,5404,5590,1062,90,28,28,-0.90022,-2.34632,-14.6334,-0.105358,1.86559,-0.0830095,8.72813,33.8871,33.7061,-3.52031,541.198,-35.1539,-0.107468,-35.2614,0.081682,-0,-0.0476984,0.281685,-23.056,
Thu Sep 26 02:46:20 2019,26345580,1041.08,1513,1510,1825,1513,1088,1514,-0.0469513,0.281685,1.76502,-0.281677,-0.5,-1.19209e-07,5402,5566,1064,100,28,28,-2.21703,0.124498,-12.7228,0.0202203,1.69318,-0.0968444,8.72813,33.8871,33.7061,-9.88492,541.534,-34.7998,-0.0408814,-34.8407,0.0776282,-0,-0.0555948,0.281685,-21.8978,
Thu Sep 26 02:46:20 2019,26355581,1041.08,1513,1510,1825,1513,1088,1514,-0.0469513,0.281685,1.76502,-0.281677,-0.5,-1.19209e-07,5402,5566,1064,100,28,28,-1.8579,0.584185,-11.3437,0.0276698,1.50907,-0.107487,8.72813,33.8871,33.7061,-9.30145,541.874,-34.3751,0.0233745,-34.3518,0.0744716,-0,-0.0432903,0.281685,-20.9959,
Thu Sep 26 02:46:20 2019,26365582,1041.08,1513,1510,1822,1513,1088,1514,-0.0469513,0.281685,1.7615,-0.281677,-0.5,-1.19209e-07,5402,5570,1062,90,28,28,-2.06859,0.732626,-9.22725,-0.105358,1.50588,-0.116,8.72813,33.8871,33.7061,-12.6358,542.161,-33.8956,0.0325821,-33.863,0.0707289,-0,-0.051328,0.281685,-19.9266,
Thu Sep 26 02:46:20 2019,26375583,1041.08,1513,1510,1822,1513,1088,1514,-0.0469513,0.281685,1.7615,-0.281677,-0.5,-1.19209e-07,5402,5570,1062,90,28,28,-1.72861,-1.21625,-11.5736,-0.108551,1.65913,-0.121322,8.72813,33.8871,33.7061,-8.49483,542.404,-33.3695,-0.00208457,-33.3716,0.0676002,-0,-0.0429087,0.281685,-19.0326,
Thu Sep 26 02:46:20 2019,26385584,1041.08,1513,1510,1818,1513,1088,1514,-0.0469513,0.281685,1.75681,-0.281677,-0.5,-1.19209e-07,5390,5556,1076,100,28,28,-1.89621,-0.890643,-14.5232,0.0436332,1.541,-0.125578,8.72813,33.8871,33.7061,-7.43868,542.724,-32.7971,0.0406046,-32.7565,0.0638018,-0,-0.0520919,0.281685,-17.9474,
Thu Sep 26 02:46:20 2019,26395585,1040.8,1513,1510,1818,1513,1088,1514,-0.0469513,0.281685,1.75681,-0.281677,-0.5,-1.19209e-07,5390,5556,1076,100,28,28,-3.47159,0.876278,-10.8409,0.0872664,1.20789,-0.124514,8.72813,33.8871,33.7061,-17.7566,543.106,-32.1884,0.138411,-32.05,0.0613067,-0,-0.034219,0.281685,-17.2345,
Thu Sep 26 02:46:20 2019,26405586,1040.8,1513,1510,1815,1513,1088,1514,-0.0469513,0.281685,1.75329,-0.281677,-0.5,-1.19209e-07,5390,5566,1076,84,28,26,-2.69108,0.818817,-7.14909,-0.042569,1.14511,-0.113872,-11.7563,34.7836,31.459,-20.6275,543.41,-31.5699,0.153348,-31.4166,0.0583214,-0,-0.0409406,0.281685,-16.3816,
Thu Sep 26 02:46:20 2019,26415588,1040.8,1513,1510,1815,1513,1088,1514,-0.0469513,0.281685,1.75329,-0.281677,-0.5,-1.19209e-07,5390,5566,1076,84,28,26,-1.39821,-1.85311,-11.2336,-0.061725,1.1898,-0.104294,-11.7563,34.7836,31.459,-7.09496,543.684,-30.9472,0.136957,-30.8102,0.056177,-0,-0.0294088,0.281685,-15.7689,
Thu Sep 26 02:46:20 2019,26425589,1040.8,1513,1510,1812,1513,1088,1514,-0.0469513,0.281685,1.74977,-0.281677,-0.5,-1.19209e-07,5382,5570,1060,82,28,28,-0.397437,-1.18274,-12.4355,0.0500185,1.07274,-0.0957802,-11.7563,34.7836,31.459,-1.83055,544.004,-30.2951,0.165753,-30.1294,0.0530193,-0,-0.043306,0.281685,-14.8667,
Thu Sep 26 02:46:20 2019,26435592,1040.52,1513,1510,1812,1513,1088,1514,-0.0469513,0.281685,1.74977,-0.281677,-0.5,-1.19209e-07,5382,5570,1060,82,28,28,-1.06781,-0.268151,-9.27035,0.144735,0.765177,-0.0979086,-11.7563,34.7836,31.459,-6.57072,544.378,-29.6005,0.243722,-29.3568,0.0503999,-0,-0.0359225,0.281685,-14.1183,
Thu Sep 26 02:46:20 2019,26445593,1040.52,1513,1510,1812,1513,1088,1514,-0.0469513,0.281685,1.74977,-0.281677,-0.5,-1.19209e-07,5396,5544,1074,84,28,28,-1.12527,0.90022,-7.9679,0.0776884,0.627892,-0.0915233,-11.7563,34.7836,31.459,-8.0385,544.704,-28.8749,0.267454,-28.6074,0.0481402,-0,-0.0309909,0.281685,-13.4727,
Thu Sep 26 02:46:20 2019,26455594,1040.52,1513,1510,1810,1513,1088,1514,-0.0469513,0.281685,1.74742,-0.281677,-0.5,-1.19209e-07,5396,5544,1074,84,28,28,-0.962469,-0.258574,-13.0101,0.0319267,0.542754,-0.0457616,-11.7563,34.7836,31.459,-4.23096,545.015,-28.1273,0.273876,-27.8534,0.0460455,-0,-0.0287266,0.281685,-12.8742,
Thu Sep 26 02:46:20 2019,26465597,1040.52,1513,1510,1810,1513,1088,1514,-0.0469513,0.281685,1.74742,-0.281677,-0.5,-1.19209e-07,5396,5562,1068,82,28,26,-1.36469,-0.679953,-11.6358,0.0627892,0.321396,-0.0297983,-11.7563,34.7836,31.459,-6.68932,545.365,-27.3589,0.316073,-27.0428,0.0443524,-0,-0.0232209,0.281685,-12.3904,
Thu Sep 26 02:46:20 2019,26475599,1040.52,1513,1510,1809,1513,1088,1514,-0.0469513,0.281685,1.74624,-0.281677,-0.5,-1.19209e-07,5396,5562,1068,82,28,26,-0.560243,-1.00556,-9.44752,0.116,0.234129,-0.0276698,-11.7563,34.7836,31.459,-3.3937,545.676,-26.5724,0.316686,-26.2557,0.0430523,-0,-0.017829,0.281685,-12.019,
Thu Sep 26 02:46:20 2019,26485600,1040.52,1513,1510,1809,1513,1088,1514,-0.0469513,0.281685,1.74624,-0.281677,-0.5,-1.19209e-07,5390,5590,1094,86,28,28,0.311246,-1.0343,-7.2688,0.181982,0.127707,-0.0106422,-11.7563,34.7836,31.459,2.45188,545.993,-25.7628,0.321301,-25.4415,0.0420121,-0,-0.014266,0.281685,-11.7218,
Thu Sep 26 02:46:20 2019,26495601,1040.7,1513,1510,1808,1513,1088,1514,-0.0469513,0.281685,1.74507,-0.281677,-0.5,-1.19209e-07,5390,5590,1094,86,28,28,-0.871489,-0.225055,-12.2679,0.236258,-0.112808,0.032991,-11.7563,34.7836,31.459,-4.06337,546.349,-24.9272,0.361114,-24.566,0.0411751,-0,-0.0114792,0.281685,-11.4826,
Thu Sep 26 02:46:20 2019,26505602,1040.7,1513,1510,1808,1513,1088,1514,-0.0469513,0.281685,1.74507,-0.281677,-0.5,-1.19209e-07,5388,5562,1086,84,28,28,-2.20745,0.761356,-9.18895,0.221359,-0.422497,0.0893948,-11.7563,34.7836,31.459,-13.5082,546.724,-24.0865,0.415102,-23.6714,0.0409638,-0,-0.0028976,0.281685,-11.4223,
Thu Sep 26 02:46:20 2019,26515603,1040.7,1513,1510,1807,1513,1088,1514,-0.0469513,0.281685,1.7439,-0.281677,-0.5,-1.19209e-07,5388,5562,1086,84,28,28,-1.35512,0.268151,-6.81869,0.14367,-0.498057,0.116,-11.7563,34.7836,31.459,-11.2403,547.032,-23.2664,0.398787,-22.8676,0.0411598,0,0.0026879,0.281685,-11.4782,
Thu Sep 26 02:46:20 2019,26525607,1040.7,1513,1510,1807,1513,1088,1514,-0.0469513,0.281685,1.7439,-0.281677,-0.5,-1.19209e-07,5384,5562,1086,82,28,28,-0.507571,-1.99198,-9.94073,0.112808,-0.39802,0.15112,-12.2906,34.6043,30.5947,-2.92297,547.29,-22.4648,0.334257,-22.1306,0.0414493,0,0.00397064,0.281685,-11.561,
Thu Sep 26 02:46:20 2019,26535608,1040.7,1513,1510,1806,1513,1088,1514,-0.0469513,0.281685,1.74272,-0.281677,-0.5,-1.19209e-07,5384,5562,1086,82,28,28,-0.723049,-2.14042,-12.7707,0.203267,-0.47358,0.19156,-12.2906,34.6043,30.5947,-3.24051,547.598,-21.6657,0.321984,-21.3438,0.0419236,0,0.00650523,0.281685,-11.6965,
Thu Sep 26 02:46:20 2019,26545609,1042.19,1513,1510,1806,1513,1088,1514,-0.0469513,0.281685,1.74272,-0.281677,-0.5,-1.19209e-07,5382,5590,1088,82,8,10,-1.01514,-0.0909797,-9.08839,0.296919,-0.686425,0.208588,-12.2906,34.6043,30.5947,-6.37333,547.945,-20.8677,0.347259,-20.5204,0.0426475,0,0.00992766,0.281685,-11.9033,
Thu Sep 26 02:46:20 2019,26555612,1042.19,1513,1510,1806,1513,1088,1514,-0.0469513,0.281685,1.74272,-0.281677,-0.5,-1.19209e-07,5382,5590,1088,82,8,10,-1.83875,0.828394,-4.27604,0.245836,-0.906719,0.222423,-12.2906,34.6043,30.5947,-23.2683,548.295,-20.0957,0.371088,-19.7246,0.04385,0,0.0164904,0.281685,-12.2469,
Thu Sep 26 02:46:20 2019,26565613,1042.19,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5390,5576,1080,76,26,26,-0.852336,-0.368707,-5.60243,0.107487,-0.842866,0.268185,-12.2906,34.6043,30.5947,-8.65047,548.563,-19.3716,0.313611,-19.058,0.0453202,0,0.0201628,0.281685,-12.6669,
Thu Sep 26 02:46:20 2019,26575614,1042.19,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5390,5576,1080,76,26,26,-0.703895,-0.785298,-9.15064,0.052147,-0.72048,0.275634,-12.2906,34.6043,30.5947,-4.39871,548.815,-18.6783,0.243843,-18.4345,0.0464962,0,0.0161282,0.281685,-13.0029,
Thu Sep 26 02:46:20 2019,26585615,1042.19,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5388,5554,1080,86,28,28,-0.311246,-1.35512,-11.6023,0.162826,-0.743893,0.251157,-12.2906,34.6043,30.5947,-1.53666,549.108,-17.9914,0.219001,-17.7724,0.0478074,0,0.0179826,0.281685,-13.3776,
Thu Sep 26 02:46:20 2019,26595616,1042.07,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5388,5554,1080,86,28,28,-0.675165,1.09654,-6.47871,0.208588,-0.868407,0.230937,-12.2906,34.6043,30.5947,-5.94949,549.43,-17.3075,0.223153,-17.0844,0.0490374,0,0.0168685,0.281685,-13.729,
Thu Sep 26 02:46:20 2019,26605617,1042.07,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5394,5578,1080,88,28,30,-1.41737,0.287304,-5.77481,0.119193,-0.916297,0.207524,-12.2906,34.6043,30.5947,-13.7901,549.73,-16.6422,0.205053,-16.4371,0.0503845,0,0.0184745,0.281685,-14.1139,
Thu Sep 26 02:46:20 2019,26615618,1042.07,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5394,5578,1080,88,28,30,-0.718261,0.0670376,-6.25844,-0.0276698,-0.803489,0.176661,-12.2906,34.6043,30.5947,-6.54701,549.984,-16.0084,0.14371,-15.8647,0.051584,0,0.0164506,0.281685,-14.4566,
Thu Sep 26 02:46:20 2019,26625619,1042.07,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5384,5578,1068,88,28,26,-0.550666,-1.08697,-9.52892,-0.080881,-0.602351,0.147927,-12.2906,34.6043,30.5947,-3.30739,550.213,-15.3965,0.0628684,-15.3336,0.0525494,0,0.0132393,0.281685,-14.7324,
Thu Sep 26 02:46:20 2019,26635620,1041.59,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5384,5578,1068,88,28,26,-0.0670376,-1.1157,-12.1578,0.0319267,-0.527855,0.0862022,-12.2906,34.6043,30.5947,-0.315925,550.478,-14.7912,0.0233885,-14.7678,0.053398,0,0.0116376,0.281685,-14.9749,
Thu Sep 26 02:46:20 2019,26645621,1041.59,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5572,1080,84,28,26,-0.656011,1.01035,-8.92558,0.0670461,-0.625764,0.0170276,-12.2906,34.6043,30.5947,-4.20356,550.793,-14.1892,0.0343555,-14.1548,0.054021,0,0.00854393,0.281685,-15.1529,
Thu Sep 26 02:46:20 2019,26655622,1041.59,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5572,1080,84,28,26,-1.92015,0.766145,-5.99029,-0.0297983,-0.682168,-0.0383121,-10.5094,36.0387,30.249,-17.7729,551.096,-13.6098,0.0328473,-13.577,0.0546218,0,0.00824057,0.281685,-15.3246,
Thu Sep 26 02:46:20 2019,26665628,1041.59,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5402,5546,1086,84,26,26,-1.09176,0.0143652,-5.35344,-0.169212,-0.467194,-0.0915233,-10.5094,36.0387,30.249,-11.5266,551.32,-13.0767,-0.0429365,-13.1196,0.0554049,0,0.0107393,0.281685,-15.5483,
Thu Sep 26 02:46:20 2019,26675667,1041.59,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5402,5546,1086,84,26,26,-0.277727,-1.10133,-8.61913,-0.183047,-0.218166,-0.150056,-10.5094,36.0387,30.249,-1.84556,551.536,-12.5797,-0.121456,-12.7012,0.0556345,0,0.00314859,0.281685,-15.6139,
Thu Sep 26 02:46:20 2019,26685668,1042.01,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5382,5550,1064,82,6,12,-0.023942,-1.1971,-10.8888,-0.080881,-0.061725,-0.222423,-10.5094,36.0387,30.249,-0.12598,551.777,-12.092,-0.167515,-12.2595,0.0555544,-0,-0.00109877,0.281685,-15.591,
Thu Sep 26 02:46:20 2019,26695671,1042.01,1513,1510,1804,1513,1088,1514,-0.0469513,0.281685,1.74038,-0.281677,-0.5,-1.19209e-07,5382,5550,1064,82,6,12,-1.14922,0.92895,-8.81545,-0.0106422,-0.145799,-0.282019,-10.5094,36.0387,30.249,-7.42742,552.088,-11.6091,-0.143109,-11.7522,0.0552229,-0,-0.00454587,0.281685,-15.4963,
Thu Sep 26 02:46:20 2019,26705672,1042.01,1513,1510,1804,1513,1088,1514,-0.0469513,0.281685,1.74038,-0.281677,-0.5,-1.19209e-07,5394,5558,1086,86,28,28,-1.76213,1.38864,-9.49062,-0.100037,-0.188368,-0.323524,-10.5094,36.0387,30.249,-10.5184,552.386,-11.1475,-0.13159,-11.279,0.0549702,-0,-0.00346609,0.281685,-15.4241,
Thu Sep 26 02:46:20 2019,26715673,1042.01,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5394,5558,1086,86,28,28,-0.756568,-0.11971,-7.53216,-0.210716,0.032991,-0.367157,-10.5094,36.0387,30.249,-5.73584,552.609,-10.7152,-0.19288,-10.9081,0.0544818,-0,-0.00669763,0.281685,-15.2845,
Thu Sep 26 02:46:20 2019,26725674,1042.01,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5576,1086,68,26,28,-0.47884,-1.13964,-7.83383,-0.174533,0.229872,-0.410791,-10.5094,36.0387,30.249,-3.49784,552.84,-10.3034,-0.241519,-10.5449,0.0536922,-0,-0.0108291,0.281685,-15.0589,
Thu Sep 26 02:46:20 2019,26735675,1041.62,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5576,1086,68,26,28,-0.833182,-0.445322,-7.61835,-0.0606608,0.284148,-0.42569,-10.5094,36.0387,30.249,-6.24136,553.111,-9.9055,-0.24605,-10.1515,0.052789,-0,-0.0123866,0.281685,-14.8009,
Thu Sep 26 02:46:20 2019,26745676,1041.62,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5380,5550,1078,86,26,28,-1.51314,0.0622492,-8.81545,-0.0681104,0.258606,-0.361836,-10.5094,36.0387,30.249,-9.73968,553.404,-9.52833,-0.227355,-9.75568,0.0517968,-0,-0.0136072,0.281685,-14.5174,
Thu Sep 26 02:46:20 2019,26755677,1041.62,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5380,5550,1078,86,26,28,-2.4756,0.00957681,-8.30788,-0.142606,0.25435,-0.282019,-10.5094,36.0387,30.249,-16.5932,553.692,-9.18717,-0.21519,-9.40236,0.050902,-0,-0.012272,0.281685,-14.2617,
Thu Sep 26 02:46:20 2019,26765678,1041.62,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5404,5550,1080,92,8,12,-2.2314,-0.857124,-8.03015,-0.112808,0.339488,-0.179854,-10.5094,36.0387,30.249,-15.5294,553.954,-8.89549,-0.227843,-9.12334,0.0504428,-0,-0.00629668,0.281685,-14.1306,
Thu Sep 26 02:46:20 2019,26775679,1041.62,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5404,5550,1080,92,8,12,-2.56658,-1.28329,-7.09641,-0.0148991,0.37035,-0.0489543,-10.5094,36.0387,30.249,-19.8837,554.232,-8.65876,-0.223607,-8.88237,0.0496384,-0,-0.0110322,0.281685,-13.9007,
Thu Sep 26 02:46:20 2019,26785680,1041.62,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5394,5572,1086,90,8,14,-3.1364,-0.560243,-5.48751,0.0148991,0.303304,0.116,-10.5094,36.0387,30.249,-29.7503,554.537,-8.48973,-0.192154,-8.68188,0.0495551,-0,-0.00114258,0.281685,-13.8769,
Thu Sep 26 02:46:20 2019,26795681,1041.72,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5394,5572,1086,90,8,14,-3.23696,-1.62327,-9.89284,-0.0244772,0.292662,0.282019,-10.5094,36.0387,30.249,-18.1182,554.827,-8.39502,-0.178029,-8.57305,0.0495022,-0,-0.000725006,0.281685,-13.8618,
Thu Sep 26 02:46:20 2019,26805682,1041.72,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5588,1084,86,26,28,-3.41892,-1.04866,-9.5385,-0.0404405,0.237322,0.396956,-10.5094,36.0387,30.249,-19.7194,555.129,-8.35756,-0.152225,-8.50979,0.0492169,-0,-0.00391356,0.281685,-13.7803,
Thu Sep 26 02:46:20 2019,26815683,1041.72,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5588,1084,86,26,28,-3.12683,-1.20189,-9.70131,0.0159634,0.244772,0.441653,-10.5094,36.0387,30.249,-17.8647,555.414,-8.36292,-0.145252,-8.50817,0.0493528,0,0.00186475,0.281685,-13.8191,
Thu Sep 26 02:46:20 2019,26825684,1041.72,1513,1510,1804,1513,1088,1514,-0.0469513,0.281685,1.74038,-0.281677,-0.5,-1.19209e-07,5400,5594,1092,88,30,28,-2.82037,-0.320823,-8.34619,0.0979086,0.223487,0.435268,-10.5094,36.0387,30.249,-18.6713,555.706,-8.4062,-0.130388,-8.53659,0.0491597,-0,-0.00264862,0.281685,-13.7639,
Thu Sep 26 02:46:20 2019,26835685,1041.27,1513,1510,1804,1513,1088,1514,-0.0469513,0.281685,1.74038,-0.281677,-0.5,-1.19209e-07,5400,5594,1092,88,30,28,-2.9736,0.339977,-6.27281,0.080881,0.175597,0.431011,-10.5094,36.0387,30.249,-25.3631,556.006,-8.49011,-0.109032,-8.59914,0.0492783,0,0.00162643,0.281685,-13.7978,
Thu Sep 26 02:46:20 2019,26845686,1041.27,1513,1510,1804,1513,1088,1514,-0.0469513,0.281685,1.74038,-0.281677,-0.5,-1.19209e-07,5390,5592,1074,86,28,26,-2.92093,0.0670376,-11.1618,0.0212845,0.172404,0.446974,-10.5094,36.0387,30.249,-14.6649,556.294,-8.61417,-0.101348,-8.71552,0.0492904,0,0.000165619,0.281685,-13.8013,
Thu Sep 26 02:46:20 2019,26855687,1041.27,1513,1510,1804,1513,1088,1514,-0.0469513,0.281685,1.74038,-0.281677,-0.5,-1.19209e-07,5390,5592,1074,86,28,26,-2.62883,-0.440533,-10.975,-0.019156,0.164955,0.408662,-10.5094,36.0387,30.249,-13.4702,556.583,-8.7595,-0.0927127,-8.85221,0.0490108,-0,-0.00383363,0.281685,-13.7214,
Thu Sep 26 02:46:20 2019,26865688,1041.27,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5578,1080,86,28,28,-3.33273,0,-11.2097,0.0404405,0.160698,0.334166,-10.5094,36.0387,30.249,-16.5577,556.87,-8.9143,-0.0853772,-8.99968,0.0490283,0,0.000239594,0.281685,-13.7264,
Thu Sep 26 02:46:20 2019,26875689,1041.27,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5400,5578,1080,86,28,28,-2.38462,0.545878,-9.53371,0.0862022,0.104294,0.258606,-10.5094,36.0387,30.249,-14.043,557.173,-9.07952,-0.0640605,-9.14358,0.0488496,-0,-0.00245091,0.281685,-13.6753,
Thu Sep 26 02:46:20 2019,26885690,1041.27,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5384,5598,1076,78,28,28,-3.81157,0.636858,-7.79073,0.0297983,0.0478901,0.188368,-10.5094,36.0387,30.249,-26.0699,557.475,-9.26315,-0.0443747,-9.30753,0.0488665,0,0.000231857,0.281685,-13.6802,
Thu Sep 26 02:46:20 2019,26895691,1041.32,1513,1510,1805,1513,1088,1514,-0.0469513,0.281685,1.74155,-0.281677,-0.5,-1.19209e-07,5384,5598,1076,78,28,28,-2.82995,-0.282516,-10.8122,-0.0744957,0.0681104,0.131964,-10.5094,36.0387,30.249,-14.6674,557.756,-9.47252,-0.0471293,-9.51965,0.0490185,0,0.00208484,0.281685,-13.7236,
