today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=0, kded(D)=0.00048,signal, mad_pitch
Thu Sep 26 02:46:20 2019,7571559,1041.05,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5406,5546,1234,0,28,28,-0.469264,-0.0622492,-9.21289,-0.21923,1.92412,-0.0255414,41.6813,34.425,20.3965,-2.91587,3.74597,-5.84494,2.05618,-3.78875,-0.00476597,-0,-0.0385375,0.281685,1.64339,
Thu Sep 26 02:46:20 2019,7581560,1041.05,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,28,28,-0.0861913,0.177171,-9.46188,-0.180918,1.88581,-0.0138349,-16.0312,35.1422,35.9531,-0.521911,4.04342,-6.21242,2.10213,-4.11029,-0.00749586,-0,-0.0374385,0.281685,2.42336,
Thu Sep 26 02:46:20 2019,7591561,1042.74,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,28,28,0.0335188,0.114922,-9.46667,-0.134092,1.83792,-0.0127707,-16.0312,35.1422,35.9531,0.202868,4.34362,-6.52878,2.13886,-4.38991,-0.0109479,-0,-0.0473425,0.281685,3.40966,
Thu Sep 26 02:46:20 2019,7601562,1042.74,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,28,28,0.387861,0.201113,-9.1267,-0.0968444,1.81131,-0.0106422,-16.0312,35.1422,35.9531,2.43346,4.63772,-6.79141,2.15857,-4.63284,-0.0143449,-0,-0.0465866,0.281685,4.38022,
Thu Sep 26 02:46:20 2019,7611563,1042.74,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1232,0,28,28,0.761356,0.0335188,-9.43794,-0.0606608,1.77406,-0.0276698,-16.0312,35.1422,35.9531,4.61205,4.93487,-6.99695,2.17136,-4.82559,-0.0176847,-0,-0.0458038,0.281685,5.33446,
Thu Sep 26 02:46:20 2019,7621564,1042.74,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,8,12,0.775721,0.153229,-9.26556,-0.0606608,1.73043,-0.0170276,-16.0312,35.1422,35.9531,4.7857,5.23385,-7.14309,2.17663,-4.96646,-0.0210627,-0,-0.0463263,0.281685,6.29959,
Thu Sep 26 02:46:20 2019,7631565,1041.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,8,12,0.588974,0.0814029,-9.63427,-0.0287341,1.68999,0.00744957,-16.0312,35.1422,35.9531,3.49832,5.53192,-7.23316,2.17235,-5.06081,-0.0243576,-0,-0.045188,0.281685,7.24101,
Thu Sep 26 02:46:20 2019,7641566,1041.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,8,12,0.718261,-0.502782,-9.52892,-0.0117065,1.65806,0.0340552,-16.0312,35.1422,35.9531,4.31063,5.82754,-7.27308,2.1579,-5.11518,-0.0274561,-0,-0.0424933,0.281685,8.12629,
Thu Sep 26 02:46:20 2019,7651567,1041.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5410,5548,1236,0,28,28,1.0343,-0.584185,-9.44752,-0.0691746,1.62507,0.052147,-16.0312,35.1422,35.9531,6.24775,6.12347,-7.26482,2.13683,-5.12799,-0.0304539,-0,-0.0411123,0.281685,8.98279,
Thu Sep 26 02:46:20 2019,7661568,1041.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,28,28,1.01993,0.225055,-9.70609,-0.0979086,1.57505,0.0798168,-16.0312,35.1422,35.9531,5.99871,6.42428,-7.20831,2.11415,-5.09417,-0.0334116,-0,-0.0405627,0.281685,9.82785,
Thu Sep 26 02:46:20 2019,7671569,1041.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5536,1234,0,28,28,1.14922,0.311246,-9.54808,-0.0266056,1.55164,0.0798168,-16.0312,35.1422,35.9531,6.86317,6.71747,-7.1057,2.07812,-5.02758,-0.036315,-0,-0.0398189,0.281685,10.6574,
Thu Sep 26 02:46:20 2019,7681570,1041.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,28,28,1.47483,0.191536,-9.29429,0.0212845,1.49204,0.0585323,-16.0312,35.1422,35.9531,9.01659,7.02102,-6.95786,2.04722,-4.91064,-0.0391072,-0,-0.038293,0.281685,11.4552,
Thu Sep 26 02:46:20 2019,7691571,1041.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,28,28,1.53229,0.220267,-9.91678,0.0436332,1.44522,0.0457616,-16.0312,35.1422,35.9531,8.78359,7.32091,-6.76453,2.00773,-4.7568,-0.0418692,-0,-0.0378777,0.281685,12.2443,
Thu Sep 26 02:46:20 2019,7701572,1041.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5534,1234,0,28,28,1.54665,0.0143652,-9.72525,0.0510828,1.39945,0.0148991,-24.225,34.7836,30.7676,9.03636,7.6205,-6.52848,1.96372,-4.56476,-0.0444948,-0,-0.0360083,0.281685,12.9945,
Thu Sep 26 02:46:20 2019,7711573,1041.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5372,5536,1234,0,26,26,1.69509,-0.215478,-9.69652,0.0595966,1.34624,-0.0223487,-24.225,34.7836,30.7676,9.91596,7.92222,-6.25314,1.91807,-4.33506,-0.0469941,-0,-0.0342761,0.281685,13.7086,
Thu Sep 26 02:46:20 2019,7721574,1041.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1240,0,26,28,1.69031,-0.335188,-9.5385,0.0478901,1.29623,-0.052147,-24.225,34.7836,30.7676,10.049,8.22303,-5.94086,1.86819,-4.07267,-0.0493873,-0,-0.0328213,0.281685,14.3923,
Thu Sep 26 02:46:20 2019,7731575,1040.25,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1240,0,26,28,1.68073,0.047884,-9.24641,0.042569,1.24834,-0.0659819,-24.225,34.7836,30.7676,10.3022,8.52323,-5.59465,1.81492,-3.77973,-0.0516691,-0,-0.0312932,0.281685,15.0443,
Thu Sep 26 02:46:20 2019,7741576,1040.25,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,28,28,1.80044,0.325611,-9.165,0.071303,1.19832,-0.0744957,-24.225,34.7836,30.7676,11.1141,8.82404,-5.21732,1.7599,-3.45742,-0.0538052,-0,-0.0292953,0.281685,15.6546,
Thu Sep 26 02:46:20 2019,7751577,1040.25,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,28,28,2.0638,0.220267,-9.16022,0.141542,1.14298,-0.0830095,-24.225,34.7836,30.7676,12.6968,9.12637,-4.80968,1.70437,-3.10531,-0.0558049,-0,-0.0274249,0.281685,16.2259,
Thu Sep 26 02:46:20 2019,7761578,1040.25,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5546,1234,0,28,28,1.94888,-0.023942,-9.165,0.150056,1.08977,-0.0904591,-24.225,34.7836,30.7676,12.0048,9.4281,-4.37274,1.64655,-2.72619,-0.0577591,-0,-0.0268,0.281685,16.7843,
Thu Sep 26 02:46:20 2019,7771579,1040.25,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1234,0,28,30,2.01592,-0.416591,-9.25598,0.150056,1.05358,-0.0968444,-24.225,34.7836,30.7676,12.2869,9.72494,-3.91019,1.58276,-2.32743,-0.059613,-0,-0.025425,0.281685,17.314,
Thu Sep 26 02:46:20 2019,7781580,1040.25,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1232,0,28,28,2.2697,-0.584185,-9.51935,0.134092,1.00782,-0.0872664,-24.225,34.7836,30.7676,13.4107,10.0245,-3.42501,1.52104,-1.90397,-0.0613258,-0,-0.0234899,0.281685,17.8033,
Thu Sep 26 02:46:20 2019,7791581,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1232,0,28,28,2.40857,-0.373495,-9.55287,0.0872664,0.962059,-0.080881,-24.225,34.7836,30.7676,14.1511,10.3241,-2.91787,1.45882,-1.45905,-0.0629759,-0,-0.0226298,0.281685,18.2748,
Thu Sep 26 02:46:20 2019,7801582,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1232,0,28,28,2.42772,-0.177171,-9.63906,0.0893948,0.91949,-0.0776884,-24.225,34.7836,30.7676,14.1367,10.6228,-2.3901,1.3955,-0.994595,-0.0645865,-0,-0.0220879,0.281685,18.735,
Thu Sep 26 02:46:20 2019,7811583,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5538,1234,0,28,26,2.5618,-0.565032,-9.82102,0.0659819,0.885435,-0.0627892,-24.225,34.7836,30.7676,14.6197,10.919,-1.84433,1.32997,-0.514355,-0.0660735,-0,-0.0203937,0.281685,19.1598,
Thu Sep 26 02:46:20 2019,7821584,1041.22,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,28,28,2.41814,-0.723049,-9.96946,0.0170276,0.842866,-0.0468259,-24.225,34.7836,30.7676,13.6341,11.2177,-1.28417,1.26732,-0.0168474,-0.067495,-0,-0.019495,0.281685,19.566,
Thu Sep 26 02:46:20 2019,7831585,1041.32,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,28,28,2.37026,-0.325611,-9.7875,0.00319267,0.817324,-0.0266056,-30.2813,32.9906,26.2734,13.6134,11.5115,-0.714386,1.20054,0.486157,-0.068781,-0,-0.0176368,0.281685,19.9334,
Thu Sep 26 02:46:20 2019,7841586,1041.32,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1234,0,26,30,2.67672,-0.205901,-9.81623,0.00744957,0.780076,-0.0170276,-30.2813,32.9906,26.2734,15.2528,11.8087,-0.137371,1.13812,1.00074,-0.0699519,-0,-0.016057,0.281685,20.2679,
Thu Sep 26 02:46:20 2019,7851587,1041.32,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5412,5534,1234,0,26,30,2.53785,-0.0191536,-9.63906,-0.0127707,0.736443,-0.0212845,-30.2813,32.9906,26.2734,14.7506,12.1076,0.446683,1.07845,1.52513,-0.0710911,-0,-0.0156237,0.281685,20.5934,
Thu Sep 26 02:46:20 2019,7861588,1041.32,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,28,28,2.62883,-0.378284,-9.4954,-0.00106422,0.709838,-0.0276698,-30.2813,32.9906,26.2734,15.4749,12.4017,1.03626,1.01511,2.05137,-0.0721815,-0,-0.0149546,0.281685,20.905,
Thu Sep 26 02:46:20 2019,7871589,1041.32,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,28,28,2.61926,-0.679953,-9.48583,-0.0266056,0.681104,-0.0372479,-30.2813,32.9906,26.2734,15.4361,12.6964,1.62952,0.953912,2.58343,-0.0731679,-0,-0.013528,0.281685,21.1868,
Thu Sep 26 02:46:20 2019,7881590,1041.32,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1234,0,28,28,2.46124,-0.507571,-9.36133,-0.0681104,0.657691,-0.0489543,-30.2813,32.9906,26.2734,14.7306,12.9896,2.22385,0.892853,3.1167,-0.0741017,-0,-0.0128061,0.281685,21.4536,
Thu Sep 26 02:46:20 2019,7891591,1040.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1234,0,28,28,2.56658,-0.158017,-9.14106,-0.0862022,0.635342,-0.0734315,-30.2813,32.9906,26.2734,15.6834,13.2825,2.81645,0.833322,3.64977,-0.0749546,-0,-0.0116971,0.281685,21.6973,
