today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.006, kiei(I)=1e-09, kded(D)=0.0008,
Thu Sep 26 01:42:19 2019,7926727,0,1513,1511,1692,1513,1088,1514,-0.0469513,0.211266,1.60892,-0.281677,-0.5,-1.19209e-07,5396,5540,1234,0,26,28,0.277727,0.0814029,-9.60554,-0.0117065,-0.304368,0.00638535,-19.95,34.425,31.8047,1.65615,0.373674,0.001563,0.357444,0.359007,1.50901e+31,1.25751e+22,2.01202e+32,
Thu Sep 26 01:42:19 2019,7936728,1067.05,1513,1511,1692,1513,1088,1514,-0.0469513,0.211266,1.60892,-0.281677,-0.5,-1.19209e-07,5396,5540,1234,0,26,28,0.215478,0.071826,-9.51935,0.0351194,-0.296919,0.0042569,-19.95,34.425,31.8047,1.29672,0.658019,0.00733704,0.597712,0.605049,0.280239,-1.25751e+22,-2.01202e+32,
Thu Sep 26 01:42:19 2019,7946735,1067.05,1513,1511,1692,1513,1088,1514,-0.0469513,0.211266,1.60892,-0.281677,-0.5,-1.19209e-07,5396,5540,1234,0,26,28,0.00957681,0.205901,-9.65821,0.00851379,-0.257542,0.0159634,-19.95,34.425,31.8047,0.0568129,0.933218,0.0166569,0.806556,0.823213,0.278948,-1.07628e-12,-0.0172205,
Thu Sep 26 01:42:19 2019,7956736,1067.05,1513,1511,1692,1513,1088,1514,-0.0469513,0.211266,1.60892,-0.281677,-0.5,-1.19209e-07,5390,5544,1234,0,28,28,0.0287304,0.134075,-9.97903,0.0287341,-0.238386,0.0308625,-19.95,34.425,31.8047,0.164959,1.21421,0.0266085,1.00015,1.02676,0.277301,-1.37266e-12,-0.0219626,
Thu Sep 26 01:42:19 2019,7966737,1067.05,1513,1511,1692,1513,1088,1514,-0.0469513,0.211266,1.60892,-0.281677,-0.5,-1.19209e-07,5390,5544,1234,0,28,28,-0.0622492,0.148441,-9.81144,0.00744957,-0.229872,0.0404405,-19.95,34.425,31.8047,-0.363512,1.49825,0.0356359,1.17643,1.21207,0.275701,-1.33276e-12,-0.0213242,
Thu Sep 26 01:42:19 2019,7976738,1067.05,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5402,5548,1234,0,28,28,-0.124498,-0.177171,-9.77313,0.0202203,-0.211781,0.0446974,-19.95,34.425,31.8047,-0.729844,1.77955,0.0425423,1.33066,1.37321,0.274017,-1.40392e-12,-0.0224628,
Thu Sep 26 01:42:19 2019,7986739,1066.18,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5402,5556,1234,0,28,28,-0.296881,-0.320823,-9.73482,0.0244772,-0.202203,0.0393763,-19.95,34.425,31.8047,-1.7468,2.06328,0.045332,1.4691,1.51443,0.272317,-1.41666e-12,-0.0226666,
Thu Sep 26 01:42:19 2019,7996740,1066.18,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5402,5556,1234,0,28,28,-0.531513,-0.0670376,-9.43315,0.019156,-0.174533,0.0159634,-19.95,34.425,31.8047,-3.22493,2.34183,0.0406841,1.58527,1.62595,0.270628,-1.40717e-12,-0.0225146,
Thu Sep 26 01:42:19 2019,8006741,1066.18,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5550,1234,0,26,28,-0.555455,0.100556,-9.2895,0.0415047,-0.141542,-0.00106422,-19.95,34.425,31.8047,-3.42186,2.61886,0.0253125,1.68412,1.70944,0.268909,-1.43265e-12,-0.0229224,
Thu Sep 26 01:42:19 2019,8016748,1066.18,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5550,1234,0,26,28,-0.684742,0.0622492,-9.57202,0.0351194,-0.124514,-0.00957802,-19.95,34.425,31.8047,-4.09173,2.90046,-0.00221223,1.77259,1.77038,0.26715,-1.4658e-12,-0.0234528,
Thu Sep 26 01:42:19 2019,8026749,1066.87,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5550,1234,0,26,28,-0.531513,-0.316035,-9.71088,0.00638535,-0.113872,-0.0202203,-19.95,34.425,31.8047,-3.13289,3.18389,-0.0412987,1.8486,1.8073,0.265404,-1.45502e-12,-0.0232803,
Thu Sep 26 01:42:19 2019,8036750,1066.87,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5394,5546,1234,0,28,28,-0.584185,-0.368707,-9.4954,-0.00851379,-0.105358,-0.0170276,-19.95,34.425,31.8047,-3.52057,3.46793,-0.0900052,1.91176,1.82175,0.263643,-1.46751e-12,-0.0234802,
Thu Sep 26 01:42:19 2019,8046751,1066.87,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5394,5546,1234,0,28,28,-0.627281,-0.00957681,-9.55287,0.0244772,-0.104294,-0.0159634,-19.95,34.425,31.8047,-3.75689,3.75411,-0.14738,1.96437,1.81699,0.26189,-1.4607e-12,-0.0233713,
Thu Sep 26 01:42:19 2019,8056752,1066.87,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5402,5536,1234,0,28,28,-0.766145,0.0574608,-9.47625,0.00957802,-0.0936517,-0.0106422,-19.95,34.425,31.8047,-4.62225,4.03754,-0.214098,2.00247,1.78837,0.260085,-1.50419e-12,-0.0240671,
Thu Sep 26 01:42:19 2019,8066753,1066.87,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5404,5540,1234,0,8,10,-0.723049,0.0191536,-9.57681,-0.00638535,-0.0681104,-0.0042569,-19.95,34.425,31.8047,-4.31764,4.3167,-0.290684,2.02569,1.73501,0.258224,-1.55041e-12,-0.0248065,
Thu Sep 26 01:42:19 2019,8076754,1066.87,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5404,5540,1234,0,8,10,-0.459687,-0.244209,-9.74919,-0.00744957,-0.0734315,0.00212845,-19.95,34.425,31.8047,-2.69957,4.6047,-0.374723,2.04775,1.67303,0.256336,-1.5741e-12,-0.0251855,
Thu Sep 26 01:42:19 2019,8086755,1066.83,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5404,5540,1234,0,8,10,-0.45011,-0.0383072,-9.63906,0.0127707,-0.0798168,0.0148991,-19.7719,33.5285,32.6689,-2.67357,4.89301,-0.461899,2.06049,1.5986,0.254388,-1.62329e-12,-0.0259726,
Thu Sep 26 01:42:19 2019,8096756,1066.83,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5396,5554,1234,0,26,28,-0.766145,-0.0191536,-9.47625,0.00744957,-0.0702388,0.0266056,-19.7719,33.5285,32.6689,-4.62225,5.17675,-0.551879,2.06,1.50812,0.252403,-1.65358e-12,-0.0264572,
Thu Sep 26 01:42:19 2019,8106757,1066.83,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5538,1204,10,30,28,-0.842759,0.35913,-9.31344,-0.0319267,-0.0478901,0.0170276,-19.7719,33.5285,32.6689,-5.17053,5.45682,-0.648257,2.04828,1.40002,0.250414,-1.65762e-12,-0.0265219,
Thu Sep 26 01:42:19 2019,8116758,1066.83,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5538,1204,10,30,28,-0.957681,-0.153229,-9.38048,0.0787526,-0.0564039,-0.0287341,-19.7719,33.5285,32.6689,-5.8293,5.74574,-0.75362,2.03827,1.28465,0.248419,-1.66294e-12,-0.0266071,
Thu Sep 26 01:42:19 2019,8126762,1064.98,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5390,5548,1208,6,28,26,-0.651223,-0.201113,-9.47625,-0.0170276,-0.113872,-0.0287341,-19.7719,33.5285,32.6689,-3.93128,6.04868,-0.866777,2.03484,1.16806,0.246515,-1.58607e-12,-0.0253772,
Thu Sep 26 01:42:19 2019,8136763,1064.98,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5390,5548,1208,6,28,26,-0.440533,-0.0670376,-9.29429,-0.00851379,-0.106422,-0.0159634,-19.7719,33.5285,32.6689,-2.71369,6.33303,-0.982529,2.00623,1.0237,0.244632,-1.5694e-12,-0.0251105,
Thu Sep 26 01:42:19 2019,8146764,1064.98,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5390,5548,1208,6,28,26,-0.253785,0.201113,-9.79707,0.0297983,-0.0670461,-0.00212845,-19.7719,33.5285,32.6689,-1.48387,6.60823,-1.09497,1.96372,0.868756,0.242612,-1.6835e-12,-0.026936,
Thu Sep 26 01:42:19 2019,8156765,1064.98,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5544,1212,4,26,28,0.0766145,-0.21069,-9.9934,0.0510828,-0.0979086,0.00638535,-19.7719,33.5285,32.6689,0.43925,6.90355,-1.19866,1.93667,0.738003,0.24056,-1.70988e-12,-0.0273581,
Thu Sep 26 01:42:19 2019,8166766,1064.98,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5400,5544,1212,4,26,28,-0.105345,-0.679953,-9.57681,0.0468259,-0.106422,0.0180918,-19.7719,33.5285,32.6689,-0.630229,7.19247,-1.29019,1.89847,0.608285,0.238537,-1.68543e-12,-0.0269669,
Thu Sep 26 01:42:19 2019,8176767,1064.98,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5390,5556,1218,2,28,26,-0.320823,-0.229843,-10.0221,0.0287341,-0.0979086,0.0393763,-19.7719,33.5285,32.6689,-1.8335,7.47651,-1.37157,1.85169,0.480123,0.236557,-1.6503e-12,-0.0264047,
Thu Sep 26 01:42:19 2019,8186768,1066.47,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5388,5558,1214,0,28,28,-0.311246,0.205901,-9.3326,0,-0.129835,0.0383121,-19.7719,33.5285,32.6689,-1.91013,7.77213,-1.44672,1.81298,0.366265,0.234593,-1.63694e-12,-0.0261911,
Thu Sep 26 01:42:19 2019,8196769,1066.47,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5388,5558,1214,0,28,28,0.100556,0.0670376,-9.8258,-0.0159634,-0.154313,0.0489543,-19.7719,33.5285,32.6689,0.58634,8.06562,-1.5148,1.76867,0.253875,0.232659,-1.61118e-12,-0.0257788,
Thu Sep 26 01:42:19 2019,8206770,1066.47,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5396,5550,1218,0,28,28,-0.277727,-0.253785,-9.34217,-0.00638535,-0.152184,0.0340552,-19.7719,33.5285,32.6689,-1.70281,8.35149,-1.57368,1.71416,0.140485,0.230669,-1.65873e-12,-0.0265396,
Thu Sep 26 01:42:19 2019,8216771,1066.47,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5396,5550,1218,0,28,28,-0.536301,-0.972046,-9.2081,0.0627892,-0.167083,0.0255414,-19.7719,33.5285,32.6689,-3.33328,8.64224,-1.62742,1.66248,0.0350616,0.228826,-1.53547e-12,-0.0245676,
Thu Sep 26 01:42:19 2019,8226772,1064.7,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5396,5550,1218,0,28,28,-0.311246,-0.45011,-10.0078,0.00957802,-0.164955,0.0223487,-19.7719,33.5285,32.6689,-1.78135,8.92811,-1.68003,1.60425,-0.0757819,0.227241,-1.32103e-12,-0.0211365,
Thu Sep 26 01:42:19 2019,8236773,1064.7,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5390,5548,1218,0,28,28,-0.215478,0.277727,-10.2855,-0.0170276,-0.175597,0.0127707,-19.7719,33.5285,32.6689,-1.20016,9.21764,-1.72947,1.54841,-0.181061,0.22558,-1.38403e-12,-0.0221445,
Thu Sep 26 01:42:19 2019,8246774,1064.7,1513,1511,1692,1513,1088,1940,-0.0469513,0.211266,1.60892,-0.281677,-0.5,0.5,5390,5548,1218,0,28,28,-0.828394,0.220267,-9.29908,0.0478901,-0.185175,-0.0138349,-19.7719,33.5285,32.6689,-5.09067,9.50686,-1.77693,1.49118,-0.285753,0.223818,-1.46845e-12,-0.0234952,
