today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],Filter accY,Filter accX,Filter accY,Filter gyroY, Filter gyroX, Filter gyroZ,Pitch(acc),Pitch(gyro), Comp Filter,P,I,D,
Thu Sep 26 00:39:28 2019,14055508,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5540,1234,0,28,14,-0.378284,-0.148441,-9.5385,-0.0127707,-0.102166,-0.0042569,-20.4844,34.6043,29.9033,-0.000357007,-0.000140091,-0.00900201,-0.012216,-0.0977279,-0.004072,-0.027997,-2.27108,-2.29908,7.58689e+30,0,1.64383e+32,
Thu Sep 26 00:39:28 2019,14065509,1089.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5540,1234,0,28,14,-0.507571,-0.196325,-9.44273,-0.0244772,-0.0957802,-0.0042569,-20.4844,34.6043,29.9033,-0.00187536,-0.000733214,-0.0441207,-0.0223297,-0.0829458,-0.00371057,-0.0797563,-2.43391,-2.51367,0.0707793,0,-1.64383e+32,
Thu Sep 26 00:39:28 2019,14075512,1089.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5548,1234,0,28,12,-0.402226,-0.129287,-9.60075,-0.0127707,-0.0776884,-0.00106422,-20.4844,34.6043,29.9033,-0.00495226,-0.00190583,-0.111974,-0.00910367,-0.0579088,-0.000311862,-0.120108,-2.53236,-2.65247,0.0703962,0,-0.00830018,
Thu Sep 26 00:39:28 2019,14085513,1089.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5548,1234,0,28,12,-0.47884,-0.105345,-9.57202,-0.0212845,-0.061725,-0.00106422,-20.4844,34.6043,29.9033,-0.00943912,-0.00350034,-0.209706,-0.0163092,-0.0368169,-0.000254802,-0.147245,-2.57722,-2.72446,0.0697223,0,-0.0146015,
Thu Sep 26 00:39:28 2019,14095514,1089.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5554,1234,0,28,10,-0.430956,-0.0909797,-9.59117,-0.0212845,-0.0446974,0.00319267,-20.4844,34.6043,29.9033,-0.0151992,-0.00535284,-0.334519,-0.0146969,-0.0163605,0.00387037,-0.162479,-2.60149,-2.76397,0.0690873,0,-0.0137583,
Thu Sep 26 00:39:28 2019,14105515,1089.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5554,1234,0,28,10,-0.258574,-0.00957681,-9.61511,-0.00957802,-0.0383121,0.00851379,-20.4844,34.6043,29.9033,-0.0219217,-0.00730789,-0.483675,-0.00196809,-0.00776075,0.00864836,-0.16939,-2.59506,-2.76445,0.0684206,0,-0.0144446,
Thu Sep 26 00:39:28 2019,14115516,1088.43,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5402,5554,1234,0,28,10,-0.277727,-0.0574608,-9.44273,0.0042569,-0.0234129,0.0148991,-20.4844,34.6043,29.9033,-0.0291471,-0.00922737,-0.654441,0.0117224,0.00828145,0.0140057,-0.16924,-2.55012,-2.71936,0.0677019,0,-0.0155715,
Thu Sep 26 00:39:28 2019,14125517,1088.43,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5544,1234,0,8,30,-0.244209,-0.0335188,-9.29429,0.00638535,-0.0117065,0.00957802,-20.4844,34.6043,29.9033,-0.0366471,-0.011098,-0.843893,0.0130072,0.0198751,0.0076568,-0.161174,-2.48658,-2.64776,0.0669627,0,-0.016017,
Thu Sep 26 00:39:28 2019,14135518,1088.43,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,8,28,-0.196325,-0.0574608,-9.50498,0.0223487,-0.00106422,0.00851379,-20.4844,34.6043,29.9033,-0.0442798,-0.0129395,-1.04948,0.0273677,0.0293904,0.00589059,-0.147061,-2.41599,-2.56305,0.0662067,0,-0.0163787,
Thu Sep 26 00:39:28 2019,14145519,1088.43,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1234,0,8,28,-0.272939,-0.071826,-9.31344,0.0404405,0.00319267,0.0138349,-20.4844,34.6043,29.9033,-0.0519552,-0.0147836,-1.26914,0.0424405,0.0318782,0.0103602,-0.129508,-2.34422,-2.47373,0.0654285,0,-0.0168616,
Thu Sep 26 00:39:28 2019,14155520,1088.98,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1238,0,28,30,-0.268151,-0.0957681,-9.17937,0.0468259,0.00744957,0.0212845,-20.4844,34.6043,29.9033,-0.0597358,-0.0166953,-1.50056,0.0448741,0.0340342,0.0164469,-0.110626,-2.27969,-2.39032,0.064635,0,-0.017193,
Thu Sep 26 00:39:28 2019,14165521,1088.98,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1238,0,28,30,-0.282516,-0.138864,-9.31823,0.0351194,0.0127707,0.019156,-20.4844,34.6043,29.9033,-0.06766,-0.0187611,-1.74155,0.0296256,0.0368964,0.0127923,-0.0903058,-2.22485,-2.31515,0.0638418,0,-0.0171844,
Thu Sep 26 00:39:28 2019,14175522,1088.98,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5536,1238,0,28,30,-0.258574,-0.0526724,-9.16022,0.0446974,0.0202203,0.0351194,-20.4844,34.6043,29.9033,-0.0756857,-0.0209827,-1.99039,0.035921,0.0414122,0.0267059,-0.067872,-2.17766,-2.24553,0.0630518,0,-0.0171175,
Thu Sep 26 00:39:28 2019,14185523,1088.98,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1234,0,28,10,-0.378284,-0.292093,-9.34696,0.0510828,0.0234129,0.0383121,-20.4844,34.6043,29.9033,-0.0838554,-0.0234425,-2.24547,0.0384919,0.0413159,0.0271203,-0.0441721,-2.13868,-2.18285,0.0622392,0,-0.0176073,
Thu Sep 26 00:39:28 2019,14195524,1088.98,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1234,0,28,10,-0.464475,-0.287304,-9.23683,0.0351194,0.0319267,0.0319267,-20.4844,34.6043,29.9033,-0.0924106,-0.0264769,-2.5054,0.019321,0.0461617,0.0182351,-0.0191116,-2.11238,-2.13149,0.0614457,0,-0.0171914,
Thu Sep 26 00:39:28 2019,14205525,1088.98,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5548,1234,0,8,30,-0.215478,-0.181959,-9.48104,0.0202203,0.0361836,0.0234129,-20.4844,34.6043,29.9033,-0.101327,-0.0301432,-2.76898,0.0027243,0.0463496,0.00800015,0.00739093,-2.09572,-2.08833,0.0606629,0,-0.0169601,
Thu Sep 26 00:39:28 2019,14215526,1090.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5544,1234,0,6,30,-0.162806,-0.153229,-9.68694,0.0202203,0.0415047,0.0106422,-20.4844,34.6043,29.9033,-0.110102,-0.0341433,-3.03547,0.00177979,0.0473644,-0.00546719,0.034238,-2.07731,-2.04307,0.0598591,0,-0.0174159,
Thu Sep 26 00:39:28 2019,14225527,1090.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5544,1234,0,6,30,-0.0670376,-0.234632,-9.83059,0.0223487,0.0415047,0.00532112,-20.4844,34.6043,29.9033,-0.118289,-0.038357,-3.30436,0.00294482,0.0430243,-0.0106434,0.0601325,-2.0502,-1.99006,0.0590311,0,-0.0179407,
Thu Sep 26 00:39:28 2019,14235528,1090.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5554,1234,0,8,28,-0.071826,-0.234632,-10.07,0.0170276,0.0478901,-0.00212845,-20.4844,34.6043,29.9033,-0.125682,-0.0428767,-3.57513,-0.00312626,0.0449985,-0.0173755,0.0853492,-2.01339,-1.92804,0.0581751,0,-0.0185466,
