today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:56:46 2019,43931969,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5380,5562,1212,10,6,28,-0.526724,-0.402226,-9.83538,0.0202203,-0.0244772,0.0659819,-15.675,33.7078,31.8047,-3.06549,215.439,-1.00412,-0.00466158,-1.00878,8.94235e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43941970,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5380,5562,1212,10,6,28,-1.06303,-0.555455,-10.0365,-0.0393763,-0.0244772,0.0564039,-15.675,33.7078,31.8047,-6.04601,215.726,-1.18688,-0.00454247,-1.19142,8.85095e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43951971,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5556,1212,2,6,28,-1.25456,-0.148441,-8.96389,0.0138349,-0.00106422,0.0361836,-15.675,33.7078,31.8047,-7.96722,216.006,-1.37144,-0.010825,-1.38227,8.77945e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43961972,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5556,1212,2,6,28,-1.10612,-0.0335188,-9.61511,0.032991,0.00744957,0.00212845,-15.675,33.7078,31.8047,-6.56245,216.29,-1.56209,-0.0124587,-1.57455,8.77056e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43971973,4499.94,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5550,1214,4,30,10,-0.852336,-0.124498,-9.60554,-0.0138349,-0.00532112,0.0340552,-15.675,33.7078,31.8047,-5.0708,216.58,-1.75532,-0.00807765,-1.7634,8.72152e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43981974,4501.68,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5550,1214,4,30,10,-0.818817,0.0430956,-9.64863,0.0457616,0.00851379,-0.00212845,-15.675,33.7078,31.8047,-4.8507,216.862,-1.94585,-0.0113169,-1.95717,8.65062e-05,-0,-0,
Wed Sep 25 23:56:46 2019,43991975,4501.68,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5396,5536,1218,6,6,32,-0.847547,0.3304,-8.26478,-0.0117065,-0.0297983,0.0202203,-15.675,33.7078,31.8047,-5.85518,217.16,-2.13231,4.41428e-05,-2.13227,8.60488e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44001976,4501.68,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5396,5536,1218,6,6,32,-0.68953,0.153229,-8.43238,0.0297983,0.0202203,0.00851379,-15.675,33.7078,31.8047,-4.67478,217.432,-2.31492,-0.0137457,-2.32867,8.54739e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44011977,4501.68,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5546,1210,4,8,30,0.962469,-0.905008,-9.13148,-0.0042569,-0.0308625,0.0042569,-15.675,33.7078,31.8047,6.01683,217.733,-2.48194,0.00138298,-2.48056,8.45925e-05,-0,-0,
Wed Sep 25 23:56:46 2019,44021978,4500.36,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5546,1210,4,8,30,-0.23942,0.881066,-5.40132,0.0649177,-0.0798168,0.0106422,-15.675,33.7078,31.8047,-2.53805,218.034,-2.62085,0.0146256,-2.60622,8.35451e-05,-0,-0,
