today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:09:38 2019,9738830,1082.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1234,0,28,28,-1.09654,-0.0430956,-9.4954,0.0276698,-0.236258,0.0234129,-23.8688,33.7078,29.0391,-6.58743,4.65135,-1.21876,2.01609,0.797326,0.234185,-0,-0.0124799,
Thu Sep 26 01:09:38 2019,9748831,1081.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5396,5550,1234,0,28,28,-1.20668,-0.0766145,-9.27993,0.019156,-0.196881,0.00957802,-23.8688,33.7078,29.0391,-7.40866,4.92655,-1.3942,2.01688,0.622675,0.233512,-0,-0.0134663,
Thu Sep 26 01:09:38 2019,9758832,1081.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1238,0,8,30,-1.05824,-0.100556,-9.05966,0.0234129,-0.153248,0.00744957,-23.8688,33.7078,29.0391,-6.6624,5.20053,-1.57596,2.00882,0.432861,0.232809,-0,-0.0140596,
Thu Sep 26 01:09:38 2019,9768833,1081.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1238,0,8,30,-1.11091,-0.177171,-9.24641,0.0266056,-0.116,0.00212845,-23.8688,33.7078,29.0391,-6.85097,5.47634,-1.76235,1.99562,0.233261,0.232058,-0,-0.0150038,
Thu Sep 26 01:09:38 2019,9778834,1081.92,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,8,28,-1.00556,-0.110133,-9.18895,0.0212845,-0.0755599,0.00212845,-23.8688,33.7078,29.0391,-6.24515,5.75123,-1.95137,1.97512,0.0237542,0.231267,-0,-0.0158193,
Thu Sep 26 01:09:38 2019,9788835,1081.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5550,1234,0,8,28,-0.943315,-0.0143652,-9.27035,0.0148991,-0.0340552,0.00532112,-23.8688,33.7078,29.0391,-5.81021,6.02582,-2.14069,1.94863,-0.192065,0.230403,-0,-0.0172826,
Thu Sep 26 01:09:38 2019,9798836,1081.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1234,0,30,12,-1.03908,0.0047884,-9.17458,0.0138349,0.00319267,0.0127707,-23.8688,33.7078,29.0391,-6.46161,6.30163,-2.3288,1.91819,-0.410611,0.229468,-0,-0.0186974,
Thu Sep 26 01:09:38 2019,9808837,1081.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5534,1234,0,30,12,-1.0726,-0.143652,-9.47625,0.0127707,0.0340552,0.0159634,-23.8688,33.7078,29.0391,-6.45774,6.57926,-2.51591,1.88485,-0.631059,0.228454,-0,-0.0202963,
Thu Sep 26 01:09:38 2019,9818838,1081.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,28,30,-1.0726,-0.124498,-9.47146,0.0159634,0.0755599,0.0223487,-23.8688,33.7078,29.0391,-6.46098,6.85385,-2.702,1.84431,-0.85769,0.227376,-0,-0.0215508,
Thu Sep 26 01:09:38 2019,9828839,1081.77,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,28,30,-1.18274,-0.0814029,-9.65821,0.0148991,0.106422,0.0234129,-23.8688,33.7078,29.0391,-6.98163,7.13149,-2.88696,1.80317,-1.08379,0.22622,-0,-0.0231145,
