today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],Filter accY,Filter accX,Filter accY,Filter gyroY, Filter gyroX, Filter gyroZ,Pitch(acc),Pitch(gyro), Comp Filter,P,I,D,
Thu Sep 26 00:39:58 2019,44315835,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.512359,-0.177171,-9.5385,0.00212845,-0.0180918,0.0106422,-15.8531,35.6801,33.3604,-0.390238,-0.115488,-9.6097,-0.00698172,0.0045636,-0.00164928,-0.0219519,-2.32544,-2.34739,0.022529,0,-0.003896,
Thu Sep 26 00:39:58 2019,44325836,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.612916,-0.0622492,-9.44752,0.0106422,-0.0202203,0.0127707,-15.8531,35.6801,33.3604,-0.39632,-0.115983,-9.60944,0.00175512,0.00227523,0.000568848,-0.0199927,-2.3617,-2.38169,0.0223453,0,-0.00397934,
Thu Sep 26 00:39:58 2019,44335837,1087.03,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,-0.526724,-0.0909797,-9.56244,0.00744957,-0.0202203,0.0127707,-15.8531,35.6801,33.3604,-0.402526,-0.116368,-9.60878,-0.00145514,0.00220874,0.000560323,-0.0187082,-2.3988,-2.41751,0.0221893,0,-0.00338072,
Thu Sep 26 00:39:58 2019,44345838,1087.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5532,1234,0,30,12,-0.584185,-0.0574608,-9.51935,0.00212845,-0.0180918,0.0138349,-15.8531,35.6801,33.3604,-0.408809,-0.116565,-9.60786,-0.0064231,0.00417556,0.00156841,-0.0168792,-2.43644,-2.45332,0.0220186,0,-0.00369735,
Thu Sep 26 00:39:58 2019,44355839,1087.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5536,1234,0,28,10,-0.603339,-0.148441,-9.663,0.00957802,-0.0202203,0.0138349,-15.8531,35.6801,33.3604,-0.415184,-0.11664,-9.60686,0.00127139,0.00188748,0.0014669,-0.0151423,-2.47464,-2.48978,0.0218468,0,-0.00372255,
Thu Sep 26 00:39:58 2019,44365840,1087.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5536,1234,0,28,10,-0.56982,-0.0622492,-9.55765,0.0042569,-0.019156,0.0117065,-15.8531,35.6801,33.3604,-0.421678,-0.116662,-9.60592,-0.00390883,0.00284071,-0.000667518,-0.0137877,-2.51354,-2.52733,0.0216887,0,-0.00342637,
Thu Sep 26 00:39:58 2019,44375841,1087.08,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,28,10,-0.627281,-0.201113,-9.51935,0.00957802,-0.0223487,0.0106422,-15.8531,35.6801,33.3604,-0.428265,-0.116689,-9.60495,0.00154594,-0.000369779,-0.00160003,-0.0130799,-2.55302,-2.5661,0.0215291,0,-0.00345687,
Thu Sep 26 00:39:58 2019,44385842,1087.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5536,1234,0,28,10,-0.574608,-0.148441,-9.45231,0.0106422,-0.0234129,0.0106422,-15.8531,35.6801,33.3604,-0.43494,-0.116852,-9.6037,0.00245931,-0.00127004,-0.00142925,-0.0135496,-2.59309,-2.60664,0.0213733,0,-0.00337777,
Thu Sep 26 00:39:58 2019,44395843,1087.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5544,1234,0,6,30,-0.612916,-0.124498,-9.77313,0.0042569,-0.0202203,0.0138349,-15.8531,35.6801,33.3604,-0.441661,-0.117147,-9.60236,-0.00384021,0.001983,0.00178641,-0.0133454,-2.63347,-2.64681,0.0212345,0,-0.00300674,
Thu Sep 26 00:39:58 2019,44405844,1087.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5544,1234,0,6,30,-0.56982,-0.100556,-9.53371,0.00851379,-0.0255414,0.0170276,-15.8531,35.6801,33.3604,-0.44838,-0.117444,-9.60125,0.0005901,-0.0031919,0.00472205,-0.0136917,-2.67378,-2.68748,0.0211079,0,-0.00274226,
