today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:57:02 2019,59757115,4499.33,1513,1511,1088,1512,1088,1514,-0.0469513,-0.140846,0.9,-0.563385,-0.5,-1.19209e-07,5404,5556,1234,0,30,12,-0.234632,-0.0909797,-9.75398,0.0266056,0.188368,0.0159634,-18.1688,33.3492,32.1504,-1.37798,248.324,-1.13816,-0.077498,-1.21566,-0.000190574,0,0,
Wed Sep 25 23:57:02 2019,59767116,4498.05,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5536,1238,0,28,30,-0.263362,-0.143652,-9.82102,0.0202203,0.183047,0.0223487,-18.1688,33.3492,32.1504,-1.53609,248.612,-0.934291,-0.0696991,-1.00399,0.000105044,0,0,
Wed Sep 25 23:57:02 2019,59777119,4498.05,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5384,5536,1238,0,28,30,-0.277727,-0.162806,-9.63427,-0.00106422,0.173469,0.0276698,-18.1688,33.3492,32.1504,-1.65121,248.901,-0.749976,-0.0611402,-0.811116,0.000103189,-0,-0,
Wed Sep 25 23:57:02 2019,59787120,4498.05,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5540,1240,0,30,10,-0.244209,-0.0430956,-9.663,0,0.159634,0.0180918,-18.1688,33.3492,32.1504,-1.4477,249.191,-0.584427,-0.051903,-0.63633,0.000100276,-0,-0,
Wed Sep 25 23:57:02 2019,59797121,4508.85,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5540,1240,0,30,10,-0.248997,-0.11971,-9.56244,0.00532112,0.133028,0.0117065,-18.1688,33.3492,32.1504,-1.49159,249.485,-0.436438,-0.0397605,-0.476199,9.76986e-05,-0,-0,
Wed Sep 25 23:57:02 2019,59807122,4508.85,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5538,1240,0,28,30,-0.129287,-0.0143652,-9.43315,0.0106422,0.105358,0.00212845,-18.1688,33.3492,32.1504,-0.785224,249.78,-0.304302,-0.0282253,-0.332527,9.52216e-05,-0,-0,
Wed Sep 25 23:57:02 2019,59817123,4508.85,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5538,1240,0,28,30,0.100556,-0.00957681,-9.33739,0.0223487,0.0798168,0.00319267,-18.1688,33.3492,32.1504,0.617008,250.074,-0.184553,-0.0181283,-0.202681,9.28965e-05,-0,-0,
Wed Sep 25 23:57:02 2019,59827124,4508.85,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5554,1234,0,8,30,0.158017,-0.11971,-9.27035,0.0202203,0.0532112,0.00319267,-18.1688,33.3492,32.1504,0.976539,250.368,-0.0729394,-0.00853105,-0.0814704,9.06005e-05,-0,-0,
Wed Sep 25 23:57:02 2019,59837125,4508.85,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5394,5554,1234,0,8,30,0.21069,-0.205901,-9.14106,0.0170276,0.0393763,0.0106422,-18.1688,33.3492,32.1504,1.32036,250.658,0.0331361,-0.00322672,0.0299093,8.84001e-05,-0,-0,
Wed Sep 25 23:57:02 2019,59847126,4508.85,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5400,5556,1238,0,30,12,0.129287,-0.129287,-9.13148,0.00319267,0.0276698,0.0266056,-18.1688,33.3492,32.1504,0.811161,250.948,0.134251,0.00105917,0.13531,8.62632e-05,-0,-0,
