today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 01:19:56 2019,14079878,1080.12,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5392,5546,1238,0,8,28,0.0191536,-0.0526724,-9.38048,0.00319267,0.150056,-0.00212845,-19.0594,33.8871,33.3604,0.11699,4.2542,-0.503595,2.0252,1.52161,0.0555035,-1.46464e-13,-0.0190404,
Thu Sep 26 01:19:56 2019,14089879,1080.12,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5382,5546,1238,0,8,28,0.177171,-0.0383072,-9.44752,0.00532112,0.157505,-0.00851379,-19.0594,33.8871,33.3604,1.07435,4.53854,-0.535907,2.04563,1.50972,0.0545947,-1.51466e-13,-0.0196906,
Thu Sep 26 01:19:56 2019,14099880,1079.41,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5382,5546,1238,0,8,28,0.205901,-0.00957681,-9.55287,0.00106422,0.162826,-0.0170276,-19.0594,33.8871,33.3604,1.23476,4.8235,-0.560146,2.05718,1.49703,0.0536527,-1.57001e-13,-0.0204101,
Thu Sep 26 01:19:56 2019,14109881,1079.41,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5382,5546,1234,0,8,28,0.354342,-0.0287304,-9.68215,0.00106422,0.17134,-0.0212845,-19.0594,33.8871,33.3604,2.09594,5.10754,-0.574889,2.05911,1.48422,0.0526962,-1.59421e-13,-0.0207247,
Thu Sep 26 01:19:56 2019,14119882,1079.41,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5382,5546,1234,0,8,28,0.502782,0.0047884,-9.76834,0.00532112,0.17134,-0.0255414,-19.0594,33.8871,33.3604,2.94645,5.39402,-0.578306,2.05544,1.47713,0.0517257,-1.61742e-13,-0.0210265,
Thu Sep 26 01:19:56 2019,14129883,1079.41,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1240,0,8,28,0.531513,0.0574608,-9.61511,0.0106422,0.174533,-0.0266056,-19.0594,33.8871,33.3604,3.16403,5.67958,-0.568724,2.04344,1.47472,0.0507207,-1.67502e-13,-0.0217753,
Thu Sep 26 01:19:56 2019,14139884,1079.54,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5536,1240,0,8,28,0.474052,-0.023942,-9.61033,0.0117065,0.17134,-0.0212845,-19.0594,33.8871,33.3604,2.82396,5.96698,-0.546392,2.0265,1.48011,0.0497084,-1.68713e-13,-0.0219326,
Thu Sep 26 01:19:56 2019,14149885,1079.54,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1232,0,28,14,0.430956,0.0287304,-9.65342,0.0244772,0.17134,-0.0180918,-19.0594,33.8871,33.3604,2.55615,6.25345,-0.513166,2.00247,1.48931,0.0487056,-1.67144e-13,-0.0217287,
Thu Sep 26 01:19:56 2019,14159886,1079.54,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1232,0,28,14,0.474052,0,-9.68694,0.0212845,0.17134,-0.00106422,-19.0594,33.8871,33.3604,2.80166,6.53993,-0.470692,1.97293,1.50224,0.0476953,-1.6838e-13,-0.0218894,
Thu Sep 26 01:19:56 2019,14169887,1079.54,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5548,1234,0,28,14,0.497994,0.00957681,-9.54808,0.0127707,0.156441,0.00532112,-19.0594,33.8871,33.3604,2.98564,6.83068,-0.419533,1.94253,1.523,0.0466847,-1.68427e-13,-0.0218954,
Thu Sep 26 01:19:56 2019,14179888,1079.54,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5548,1234,0,28,14,0.397437,0.023942,-9.55765,0.00851379,0.147927,0.0127707,-19.0594,33.8871,33.3604,2.38117,7.1196,-0.360611,1.90563,1.54502,0.0456893,-1.6591e-13,-0.0215683,
Thu Sep 26 01:19:56 2019,14189889,1079.54,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5384,5548,1234,0,28,28,0.339977,0.0861913,-9.47625,0.00106422,0.135156,0.0148991,-19.0594,33.8871,33.3604,2.0547,7.40974,-0.296084,1.86585,1.56976,0.0447219,-1.61232e-13,-0.0209602,
Thu Sep 26 01:19:56 2019,14199890,1080.06,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5384,5548,1234,0,28,28,0.186748,0.0526724,-9.62469,0.00212845,0.112808,0.0223487,-19.0594,33.8871,33.3604,1.11157,7.70262,-0.228748,1.82502,1.59627,0.0437965,-1.54229e-13,-0.0200498,
Thu Sep 26 01:19:56 2019,14209891,1080.06,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5384,5546,1234,0,28,10,0.11971,0,-9.62469,0,0.10323,0.0234129,-19.0594,33.8871,33.3604,0.712598,7.99184,-0.161561,1.77727,1.61571,0.0429324,-1.44018e-13,-0.0187224,
Thu Sep 26 01:19:56 2019,14219892,1080.06,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5384,5546,1234,0,28,10,0.071826,0.0670376,-9.79707,0.00319267,0.0862022,0.0180918,-19.0594,33.8871,33.3604,0.42005,8.2832,-0.096684,1.72892,1.63223,0.0421048,-1.37933e-13,-0.0179313,
Thu Sep 26 01:19:56 2019,14229893,1080.06,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5554,1234,0,28,10,0.071826,0.129287,-9.65821,0.00851379,0.0681104,0.00638535,-19.0594,33.8871,33.3604,0.426089,8.57486,-0.0350877,1.67844,1.64335,0.041321,-1.30634e-13,-0.0169824,
Thu Sep 26 01:19:56 2019,14239894,1079.18,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5388,5554,1234,0,28,10,0.0909797,0.11971,-9.71088,0.0202203,0.0564039,0.00106422,-19.0594,33.8871,33.3604,0.53678,8.86469,0.0231137,1.62416,1.64727,0.0405768,-1.24036e-13,-0.0161247,
Thu Sep 26 01:19:56 2019,14249895,1079.18,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,0.00957681,0.129287,-9.7444,0.0340552,0.0319267,-0.00851379,-19.0594,33.8871,33.3604,0.0563104,9.15819,0.0777501,1.57186,1.64961,0.039867,-1.18301e-13,-0.0153792,
Thu Sep 26 01:19:56 2019,14259896,1079.18,1512,1511,1088,1512,1088,1514,-0.0939026,0.211266,0.9,-0.563385,-0.5,-1.19209e-07,5392,5550,1234,0,8,28,0.023942,0.0430956,-9.60554,0.0457616,0.0159634,-0.0148991,-19.0594,33.8871,33.3604,0.142811,9.44924,0.128198,1.51574,1.64394,0.0392241,-1.07149e-13,-0.0139294,
