today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.004, kiei(I)=1e-09, kded(D)=0.0007,
Thu Sep 26 01:44:42 2019,14152371,0,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5402,5546,1234,0,26,28,0.536301,-0.0957681,-9.663,0.042569,-0.323524,0.0180918,-26.8969,32.8113,27.4834,3.17669,0.379162,0.00299801,0.362693,0.365691,1.00753e+31,1.25941e+22,1.76318e+32,
Thu Sep 26 01:44:42 2019,14162372,1067.65,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5540,1234,0,28,26,0.565032,-0.244209,-9.40442,0.00212845,-0.330974,0.0255414,-26.8969,32.8113,27.4834,3.43828,0.667775,0.0149709,0.606578,0.621549,0.135004,-1.25941e+22,-1.76318e+32,
Thu Sep 26 01:44:42 2019,14172375,1067.65,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5540,1234,0,28,26,0.555455,-0.220267,-9.43794,-0.00957802,-0.325653,0.0170276,-26.8969,32.8113,27.4834,3.36817,0.95273,0.0385362,0.823948,0.862484,0.134693,-3.88145e-13,-0.00543404,
Thu Sep 26 01:44:42 2019,14182376,1067.65,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5418,5550,1234,0,28,28,0.636858,-0.191536,-9.70131,-0.0234129,-0.323524,0.0117065,-26.8969,32.8113,27.4834,3.75589,1.2386,0.0731005,1.02061,1.09371,0.134214,-5.99613e-13,-0.00839458,
Thu Sep 26 01:44:42 2019,14192377,1067.65,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5418,5550,1234,0,28,28,0.675165,-0.215478,-9.79707,-0.0234129,-0.308625,0.00957802,-26.8969,32.8113,27.4834,3.94231,1.52081,0.11844,1.19321,1.31165,0.133759,-5.6839e-13,-0.00795746,
Thu Sep 26 01:44:42 2019,14202378,1067.65,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5406,5544,1234,0,28,26,0.703895,-0.0143652,-9.84017,-0.0159634,-0.303304,-0.0042569,-26.8969,32.8113,27.4834,4.09156,1.80577,0.174326,1.34926,1.52358,0.133288,-5.88283e-13,-0.00823597,
Thu Sep 26 01:44:42 2019,14212379,1068.43,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5406,5544,1234,0,28,26,0.684742,-0.0430956,-9.77792,-0.00744957,-0.29479,-0.00319267,-26.8969,32.8113,27.4834,4.00585,2.08981,0.240029,1.48607,1.7261,0.132811,-5.97267e-13,-0.00836174,
Thu Sep 26 01:44:42 2019,14222380,1068.43,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5554,1234,0,28,28,0.751779,-0.071826,-9.90721,-0.00212845,-0.287341,-0.00744957,-26.8969,32.8113,27.4834,4.33941,2.37415,0.314761,1.60595,1.92071,0.132321,-6.11362e-13,-0.00855907,
Thu Sep 26 01:44:42 2019,14232381,1068.43,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5554,1234,0,28,28,0.665588,0.0143652,-9.70131,0.00957802,-0.289469,-0.0042569,-26.8969,32.8113,27.4834,3.92481,2.66124,0.397628,1.7122,2.10982,0.131834,-6.09703e-13,-0.00853584,
Thu Sep 26 01:44:42 2019,14242382,1068.43,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5540,1234,0,28,28,0.646434,-0.110133,-9.63906,0.00638535,-0.290533,0.00638535,-26.8969,32.8113,27.4834,3.83675,2.94802,0.487076,1.80266,2.28974,0.131346,-6.09188e-13,-0.00852863,
Thu Sep 26 01:44:42 2019,14252383,1068.06,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5540,1234,0,28,28,0.56982,-0.11971,-9.5385,0.00212845,-0.288405,0.0244772,-26.8969,32.8113,27.4834,3.41873,3.23389,0.581257,1.87776,2.45901,0.130848,-6.22616e-13,-0.00871662,
Thu Sep 26 01:44:42 2019,14262384,1068.06,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5556,1234,0,28,26,0.627281,-0.148441,-9.54808,-0.0148991,-0.286276,0.0319267,-26.8969,32.8113,27.4834,3.75877,3.51976,0.67886,1.93938,2.61824,0.130329,-6.48746e-13,-0.00908245,
Thu Sep 26 01:44:42 2019,14272385,1068.06,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5556,1234,0,28,26,0.588974,-0.21069,-9.57681,-0.0202203,-0.285212,0.0404405,-26.8969,32.8113,27.4834,3.51926,3.80594,0.779249,1.98874,2.76799,0.129783,-6.82907e-13,-0.0095607,
Thu Sep 26 01:44:42 2019,14282386,1068.06,1513,1511,1088,1513,1088,1514,-0.0469513,0.211266,0.9,-0.281677,-0.5,-1.19209e-07,5410,5536,1234,0,28,28,0.536301,-0.105345,-9.42358,-0.0244772,-0.286276,0.0468259,-22.8,33.3492,31.8047,3.25723,4.09272,0.881429,2.02698,2.90841,0.129218,-7.05929e-13,-0.009883,
