today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.003, kiei(I)=2e-09, kded(D)=0.00047,signal, mad_pitch
Thu Sep 26 02:28:16 2019,8727161,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,26,0.325611,-0.948104,-9.89284,0.0308625,-0.118129,-0.0117065,-18.7031,34.6043,31.6318,1.88515,0.320321,0.00177912,0.306407,0.308187,7.61541e+30,2.53847e+22,1.19308e+32,0.281685,0,
Thu Sep 26 02:28:16 2019,8737162,1041.88,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5554,1234,0,28,26,0.383072,-0.952892,-9.94073,0.0042569,-0.118129,-0,-18.7031,34.6043,31.6318,2.20684,0.6068,0.00904127,0.553247,0.562288,0.113538,-2.53847e+22,-1.19308e+32,0.281685,-37.5644,
Thu Sep 26 02:28:16 2019,8747165,1041.88,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5548,1232,0,28,28,0.584185,-0.837971,-9.90242,-0.0255414,-0.122386,-0.00212845,-18.7031,34.6043,31.6318,3.37621,0.894498,0.024783,0.778188,0.802971,0.11284,-2.32857e-12,-0.0109443,0.281685,-37.3316,
Thu Sep 26 02:28:16 2019,8757166,1041.88,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5548,1232,0,28,28,0.665588,-0.627281,-9.79707,-0.0500185,-0.12345,0.0170276,-18.7031,34.6043,31.6318,3.88656,1.18128,0.0512167,0.9802,1.03142,0.111739,-3.67035e-12,-0.0172506,0.281685,-36.9645,
Thu Sep 26 02:28:16 2019,8767167,1041.88,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5538,1234,0,26,30,0.550666,-0.593762,-9.68694,-0.0553397,-0.127707,0.042569,-18.7031,34.6043,31.6318,3.25355,1.46898,0.0888034,1.16222,1.25102,0.110662,-3.58913e-12,-0.0168689,0.281685,-36.6056,
Thu Sep 26 02:28:16 2019,8777168,1041.88,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5538,1234,0,26,30,0.536301,-0.521936,-9.59596,-0.0595966,-0.140478,0.0627892,-18.7031,34.6043,31.6318,3.19883,1.75912,0.135689,1.32672,1.4624,0.109582,-3.60023e-12,-0.0169211,0.281685,-36.2456,
Thu Sep 26 02:28:16 2019,8787169,1041.99,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5380,5546,1234,0,28,28,0.454898,-0.459687,-9.39485,-0.0606608,-0.142606,0.0840737,-18.7031,34.6043,31.6318,2.7721,2.04621,0.189802,1.46931,1.65911,0.108524,-3.52726e-12,-0.0165781,0.281685,-35.8929,
Thu Sep 26 02:28:16 2019,8797170,1041.99,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5380,5546,1234,0,28,28,0.296881,-0.531513,-9.52413,-0.0681104,-0.155377,0.0925875,-18.7031,34.6043,31.6318,1.78542,2.33635,0.248536,1.59715,1.84569,0.107475,-3.49575e-12,-0.01643,0.281685,-35.5433,
Thu Sep 26 02:28:16 2019,8807171,1041.99,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,28,28,0.181959,-0.445322,-9.41879,-0.0691746,-0.170276,0.0872664,-18.7031,34.6043,31.6318,1.10675,2.62709,0.308371,1.70869,2.01706,0.106459,-3.38486e-12,-0.0159088,0.281685,-35.2048,
Thu Sep 26 02:28:16 2019,8817172,1041.99,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,28,28,0.0287304,-0.632069,-9.38048,-0.0851379,-0.172404,0.0787526,-18.7031,34.6043,31.6318,0.175484,2.91418,0.365897,1.80079,2.16669,0.105475,-3.28262e-12,-0.0154283,0.281685,-34.8766,
Thu Sep 26 02:28:16 2019,8827173,1042.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5550,1234,0,30,28,-0.172383,-0.636858,-9.56723,-0.102166,-0.186239,0.0532112,-18.7031,34.6043,31.6318,-1.03225,3.20462,0.417554,1.88148,2.29903,0.104537,-3.12553e-12,-0.01469,0.281685,-34.564,
Thu Sep 26 02:28:16 2019,8837174,1042.49,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5550,1234,0,30,28,-0.335188,-0.617704,-9.663,-0.121322,-0.200074,0.0319267,-18.3469,34.9629,32.6689,-1.98667,3.49507,0.459588,1.94821,2.40779,0.103653,-2.94537e-12,-0.0138432,0.281685,-34.2695,
