today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Thu Sep 26 00:26:54 2019,11576158,1086.39,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5388,5546,1232,0,8,30,-0.962469,0.0526724,-9.57202,-0.0170276,-0.0276698,0.0212845,-16.0312,35.1422,33.8789,-5.74181,4.59159,-1.50249,2.06689,0.564408,0.000210085,-0,-0,
Thu Sep 26 00:26:54 2019,11586159,1084.1,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5412,5556,1234,0,30,28,-1.03908,0.306458,-9.85453,0.00106422,-0.0234129,0.0159634,-16.0312,35.1422,33.8789,-6.01916,4.87685,-1.65255,2.07581,0.423266,0.00020796,-0,-0,
Thu Sep 26 00:26:54 2019,11596160,1084.1,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5412,5556,1234,0,30,28,-1.09176,-0.268151,-9.38527,-0.00319267,-0.0180918,0.0117065,-16.0312,35.1422,33.8789,-6.6352,5.16181,-1.80666,2.07585,0.269187,0.000205855,-0,-0,
Thu Sep 26 00:26:54 2019,11606161,1084.1,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5380,5550,1204,0,30,10,-1.02472,-0.0574608,-8.65265,0.144735,-0.0723673,-0.00851379,-16.0312,35.1422,33.8789,-6.75399,5.46383,-1.96544,2.08437,0.118938,0.000203714,-0,-0,
Thu Sep 26 00:26:54 2019,11616162,1084.1,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5380,5550,1204,0,30,10,-1.2402,-0.138864,-11.2432,-0.0372479,-0.10323,-0.0159634,-16.0312,35.1422,33.8789,-6.29466,5.75916,-2.12825,2.07789,-0.0503583,0.000201886,-0,-0,
Thu Sep 26 00:26:54 2019,11626163,1084.74,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5372,5538,1208,8,6,30,-0.90022,-0.335188,-10.7021,0.00212845,0.0287341,-0.0393763,-16.0312,35.1422,33.8789,-4.8082,6.00783,-2.29199,2.0195,-0.27249,0.000199932,-0,-0,
Thu Sep 26 00:26:54 2019,11636164,1084.74,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5372,5538,1208,8,6,30,-0.407014,0.110133,-9.2895,0,-0.0542754,-0.00212845,-16.0312,35.1422,33.8789,-2.50878,6.31809,-2.45054,2.01735,-0.433189,0.000198102,-0,-0,
Thu Sep 26 00:26:54 2019,11646165,1084.74,1513,1510,1088,1513,1088,1514,-0.0469513,-0.187798,0.9,-0.281677,-0.5,-1.19209e-07,5380,5546,1214,8,8,28,-0.636858,0.440533,-9.35175,0.032991,-0.0553397,0.0659819,-16.0312,35.1422,33.8789,-3.89585,6.60487,-2.59932,1.98532,-0.614002,0.00019589,-0,-0,
Thu Sep 26 00:26:54 2019,11656166,1084.74,1513,1510,1088,1513,1088,1514,-0.0469513,-0.187798,0.9,-0.281677,-0.5,-1.19209e-07,5380,5546,1214,8,8,28,-1.07739,-0.138864,-10.2472,-0.019156,-0.0180918,0.0446974,-16.0312,35.1422,33.8789,-6.00204,6.88068,-2.74102,1.93801,-0.803016,0.000193434,-0,-0,
Thu Sep 26 00:26:54 2019,11666167,1084.74,1513,1510,1088,1513,1088,1514,-0.0469513,-0.187798,0.9,-0.281677,-0.5,-1.19209e-07,5402,5550,1218,6,30,10,-0.440533,-0.282516,-9.60554,-0.0202203,-0.032991,0.0340552,-16.0312,35.1422,33.8789,-2.62588,7.17143,-2.87783,1.9017,-0.976128,0.000191533,-0,-0,
Thu Sep 26 00:26:54 2019,11676168,1084.74,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5402,5550,1218,6,30,10,-0.675165,0.205901,-9.59596,-0.0127707,-0.0457616,0.0606608,-16.0312,35.1422,33.8789,-4.02466,7.46157,-3.00656,1.86071,-1.14585,0.000189519,-0,-0,
Thu Sep 26 00:26:54 2019,11686169,1086.94,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5382,5560,1214,2,28,14,-1.00078,0.191536,-9.72046,0.00638535,-0.0287341,0.0436332,-16.0312,35.1422,33.8789,-5.87822,7.74317,-3.12862,1.80801,-1.3206,0.000187322,-0,-0,
Thu Sep 26 00:26:54 2019,11696170,1086.94,1513,1511,1088,1513,1088,1514,-0.0469513,-0.140846,0.9,-0.281677,-0.5,-1.19209e-07,5382,5560,1214,2,28,14,-0.972046,-0.0622492,-9.39964,0.0404405,-0.0595966,0.00851379,-16.0312,35.1422,33.8789,-5.90415,8.03849,-3.24896,1.7661,-1.48287,0.000185474,-0,-0,
