today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.003, kiei(I)=3e-09, kded(D)=0.00052,signal, mad_pitch
Thu Sep 26 02:24:08 2019,7029409,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5400,5554,1234,0,28,28,1.31681,-0.0287304,-9.66779,0.00957802,-0.465066,0.0148991,-27.7875,33.7078,27.6562,7.75631,0.419711,0.00732005,0.401481,0.408801,7.42526e+30,3.71263e+22,1.28705e+32,0.281685,0,
Thu Sep 26 02:24:08 2019,7039410,1046.02,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5538,1232,0,26,28,1.17316,-0.0622492,-9.62469,0.00957802,-0.464002,0.0148991,-27.7875,33.7078,27.6562,6.94954,0.705885,0.0351892,0.63959,0.674779,0.192838,-3.71263e+22,-1.28705e+32,0.281685,-63.9977,
Thu Sep 26 02:24:08 2019,7049413,1046.02,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5538,1232,0,26,28,1.01035,-0.0430956,-9.6199,0.00851379,-0.461873,0.00532112,-27.7875,33.7078,27.6562,5.99565,0.991754,0.0866528,0.854758,0.941411,0.192252,-2.929e-12,-0.0101539,0.281685,-63.8024,
Thu Sep 26 02:24:08 2019,7059414,1046.02,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,28,28,1.0343,-0.0191536,-9.53371,0.00851379,-0.457616,0.00957802,-27.7875,33.7078,27.6562,6.1917,1.27701,0.157135,1.04783,1.20497,0.19198,-1.36328e-12,-0.00472603,0.281685,-63.7115,
Thu Sep 26 02:24:08 2019,7069415,1046.02,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5548,1234,0,28,28,0.986411,0.0574608,-9.5385,0.0234129,-0.456552,0.00319267,-27.7875,33.7078,27.6562,5.90418,1.56319,0.243951,1.22142,1.46537,0.191709,-1.35246e-12,-0.00468854,0.281685,-63.6213,
Thu Sep 26 02:24:08 2019,7079427,1046.02,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,28,28,0.933739,0.0430956,-9.44273,0.0308625,-0.454424,0.00212845,-27.7875,33.7078,27.6562,5.6473,1.84906,0.344786,1.37535,1.72013,0.191433,-1.38119e-12,-0.00478812,0.281685,-63.5293,
Thu Sep 26 02:24:08 2019,7089428,1043.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,28,28,0.852336,-0.0574608,-9.40921,0.0297983,-0.446974,0.00212845,-27.7875,33.7078,27.6562,5.17603,2.1334,0.456867,1.50954,1.96641,0.191157,-1.38073e-12,-0.00478653,0.281685,-63.4372,
Thu Sep 26 02:24:08 2019,7099429,1043.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,6,14,0.92895,-0.0909797,-9.50977,0.0297983,-0.439525,0.00212845,-27.7875,33.7078,27.6562,5.57917,2.41775,0.578062,1.62664,2.2047,0.190869,-1.43824e-12,-0.00498589,0.281685,-63.3413,
Thu Sep 26 02:24:08 2019,7109430,1043.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5388,5550,1234,0,6,14,0.823605,-0.0766145,-9.61511,0.0308625,-0.424625,0.00638535,-27.7875,33.7078,27.6562,4.89586,2.69996,0.706812,1.7256,2.43241,0.190589,-1.39898e-12,-0.00484981,0.281685,-63.2481,
Thu Sep 26 02:24:08 2019,7119431,1043.41,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5534,1232,0,28,28,0.775721,-0.114922,-9.55287,0.0319267,-0.417176,0.0042569,-27.7875,33.7078,27.6562,4.64241,2.9843,0.84084,1.81168,2.65252,0.190308,-1.40682e-12,-0.00487698,0.281685,-63.1543,
Thu Sep 26 02:24:08 2019,7129432,1044.75,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5534,1232,0,28,28,0.737414,-0.0670376,-9.44273,0.0276698,-0.404405,-0.00106422,-27.7875,33.7078,27.6562,4.46536,3.26712,0.977901,1.88215,2.86005,0.190018,-1.44997e-12,-0.00502655,0.281685,-63.0576,
Thu Sep 26 02:24:08 2019,7139433,1044.75,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1234,0,28,28,0.861913,-0.181959,-9.53371,0.032991,-0.393763,0.00532112,-27.7875,33.7078,27.6562,5.16589,3.55055,1.11731,1.94011,3.05741,0.189722,-1.48098e-12,-0.00513406,0.281685,-62.9589,
Thu Sep 26 02:24:08 2019,7149434,1044.75,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5538,1234,0,28,28,0.761356,-0.0430956,-9.74919,0.0340552,-0.386313,0.00744957,-27.7875,33.7078,27.6562,4.46541,3.8349,1.25883,1.98669,3.24552,0.189412,-1.54879e-12,-0.00536913,0.281685,-62.8556,
