today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.0035, kiei(I)=7e-10, kded(D)=0.00043,signal, mad_pitch
Thu Sep 26 02:35:45 2019,8146166,0,1512,1510,1088,1512,1088,1514,-0.0939026,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5404,5550,1238,0,26,28,-0.0814029,-0.6608,-9.56244,0.019156,-0.0542754,0.00319267,-22.6219,33.8871,30.9404,-0.487734,0.302028,-0.000460302,0.288909,0.288449,8.61844e+30,8.61844e+21,1.05884e+32,0.281685,0,
Thu Sep 26 02:35:45 2019,8156167,1042,1512,1510,1088,1512,1088,1514,-0.0939026,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5400,5546,1240,0,28,28,-0.181959,-0.469264,-9.50498,0.0148991,-0.0510828,-0.00319267,-22.6219,33.8871,30.9404,-1.09671,0.587592,-0.00283538,0.536427,0.533592,0.126263,-8.61844e+21,-1.05884e+32,0.281685,-35.7936,
Thu Sep 26 02:35:45 2019,8166170,1042,1512,1510,1088,1512,1088,1514,-0.0939026,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5400,5546,1240,0,28,28,0.0957681,-0.713472,-9.69173,0.019156,-0.0500185,-0.0117065,-22.6219,33.8871,30.9404,0.566146,0.873767,-0.00699397,0.761469,0.754475,0.125461,-8.02582e-13,-0.00986029,0.281685,-35.5643,
Thu Sep 26 02:35:45 2019,8176171,1042,1512,1510,1088,1512,1088,1514,-0.0939026,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5406,5554,1238,0,28,28,-0.0143652,-0.804452,-9.67736,0.0159634,-0.0553397,-0.00744957,-22.6219,33.8871,30.9404,-0.0850506,1.16177,-0.0108194,0.966261,0.955441,0.124184,-1.27685e-12,-0.015687,0.281685,-35.1994,
Thu Sep 26 02:35:45 2019,8186172,1042,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5406,5554,1238,0,28,28,-0.134075,-0.588974,-9.73004,-0.0170276,-0.0542754,-0.0170276,-22.6219,33.8871,30.9404,-0.789459,1.44794,-0.0146502,1.14825,1.1336,0.122987,-1.19678e-12,-0.0147033,0.281685,-34.8575,
Thu Sep 26 02:35:45 2019,8196173,1042,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5540,1236,0,28,28,-0.0191536,-0.45011,-9.69173,-0.0117065,-0.0500185,-0.0148991,-22.6219,33.8871,30.9404,-0.113233,1.7332,-0.0197774,1.30957,1.28979,0.121807,-1.17971e-12,-0.0144935,0.281685,-34.5204,
Thu Sep 26 02:35:45 2019,8206174,1044.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5540,1236,0,28,28,-0.0191536,-0.545878,-9.65342,-0.00212845,-0.0574681,-0.00212845,-21.0188,36.218,33.1875,-0.113682,2.02182,-0.0254603,1.45544,1.42998,0.120608,-1.19913e-12,-0.0147322,0.281685,-34.1778,
Thu Sep 26 02:35:45 2019,8216175,1044.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5388,5538,1234,0,30,26,-0.181959,-0.746991,-9.38527,-0.00744957,-0.0489543,0.0042569,-21.0188,36.218,33.1875,-1.1107,2.30586,-0.0319338,1.57904,1.54711,0.119399,-1.20924e-12,-0.0148564,0.281685,-33.8323,
Thu Sep 26 02:35:45 2019,8226176,1044.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5388,5538,1234,0,30,26,-0.0191536,-0.617704,-9.55765,-0.0042569,-0.0446974,-0.00319267,-21.0188,36.218,33.1875,-0.114821,2.59112,-0.0400487,1.68735,1.6473,0.118233,-1.16575e-12,-0.0143221,0.281685,-33.4993,
Thu Sep 26 02:35:45 2019,8236177,1044.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5410,5556,1236,0,28,28,-0.00957681,-0.756568,-9.55765,0.0148991,-0.0404405,0.0042569,-21.0188,36.218,33.1875,-0.0574106,2.87638,-0.048642,1.78008,1.73144,0.117054,-1.17905e-12,-0.0144855,0.281685,-33.1624,
Thu Sep 26 02:35:45 2019,8246178,1041.78,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5410,5556,1236,0,28,28,-0.201113,-0.866701,-9.64384,0.00638535,-0.042569,-0,-21.0188,36.218,33.1875,-1.19468,3.16347,-0.0576655,1.85996,1.8023,0.115852,-1.2026e-12,-0.0147749,0.281685,-32.8188,
Thu Sep 26 02:35:45 2019,8256179,1041.78,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5550,1232,0,28,28,-0.172383,-0.694318,-9.48104,-0.00851379,-0.0372479,-0.0159634,-21.0188,36.218,33.1875,-1.04163,3.44842,-0.0689967,1.92399,1.855,0.114683,-1.16845e-12,-0.0143553,0.281685,-32.4849,
Thu Sep 26 02:35:45 2019,8266180,1041.78,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5550,1232,0,28,28,-0.071826,-0.593762,-9.65821,-0.00851379,-0.0340552,-0.0170276,-21.0188,36.218,33.1875,-0.426089,3.73399,-0.0826001,1.9759,1.8933,0.113519,-1.16374e-12,-0.0142974,0.281685,-32.1525,
Thu Sep 26 02:35:45 2019,8276181,1041.78,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5392,5548,1234,0,26,28,-0.258574,-0.627281,-9.56244,-0.0148991,-0.0351194,-0.00957802,-21.0188,36.218,33.1875,-1.54893,4.02077,-0.0979848,2.01711,1.91912,0.112327,-1.1924e-12,-0.0146495,0.281685,-31.8118,
Thu Sep 26 02:35:45 2019,8286182,1041.78,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5392,5548,1234,0,26,28,-0.191536,-0.445322,-9.46667,-0.0266056,-0.0244772,-0.0117065,-21.0188,36.218,33.1875,-1.15909,4.3042,-0.116112,2.04399,1.92788,0.111147,-1.18051e-12,-0.0145035,0.281685,-31.4745,
Thu Sep 26 02:35:45 2019,8296183,1041.78,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5404,5554,1234,0,28,28,-0.177171,-0.454898,-9.50977,-0.0127707,-0.0234129,-0.00106422,-21.0188,36.218,33.1875,-1.06732,4.59037,-0.136917,2.06349,1.92658,0.109965,-1.1814e-12,-0.0145144,0.281685,-31.1369,
Thu Sep 26 02:35:45 2019,8306184,1042.21,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5404,5554,1234,0,28,28,-0.172383,-0.565032,-9.38048,0.00319267,-0.0266056,0.0106422,-21.0188,36.218,33.1875,-1.05279,4.87777,-0.159539,2.07472,1.91518,0.108754,-1.21074e-12,-0.0148748,0.281685,-30.791,
Thu Sep 26 02:35:45 2019,8316185,1042.21,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5550,1238,0,28,26,-0.277727,-0.665588,-9.48583,0.00532112,-0.0234129,0.0042569,-21.0188,36.218,33.1875,-1.67704,5.16333,-0.184214,2.07541,1.89119,0.10755,-1.20425e-12,-0.014795,0.281685,-30.4469,
Thu Sep 26 02:35:45 2019,8326186,1042.21,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5550,1238,0,28,26,-0.205901,-0.627281,-9.59596,0.019156,-0.0212845,0.00638535,-21.0188,36.218,33.1875,-1.22921,5.4492,-0.211415,2.06849,1.85708,0.106374,-1.17642e-12,-0.0144532,0.281685,-30.1108,
Thu Sep 26 02:35:45 2019,8336187,1042.21,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5392,5538,1234,0,26,28,-0.282516,-0.641646,-9.90242,0.0244772,-0.0234129,0.0127707,-21.9094,34.9629,33.3604,-1.63421,5.73629,-0.240952,2.05552,1.81457,0.105183,-1.19062e-12,-0.0146276,0.281685,-29.7706,
Thu Sep 26 02:35:45 2019,8346188,1044.14,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5392,5538,1234,0,26,28,-0.35913,-0.54109,-9.56723,0.0223487,-0.0212845,0.00744957,-21.9094,34.9629,33.3604,-2.14973,6.02216,-0.273342,2.03473,1.76139,0.103989,-1.19413e-12,-0.0146708,0.281685,-29.4295,
Thu Sep 26 02:35:45 2019,8356189,1044.14,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5536,1234,0,28,26,-0.287304,-0.0909797,-9.36612,-0.0234129,-0.0138349,0.0106422,-21.9094,34.9629,33.3604,-1.75699,6.30651,-0.309207,2.00657,1.69736,0.102828,-1.16079e-12,-0.0142611,0.281685,-29.0978,
Thu Sep 26 02:35:45 2019,8366190,1044.14,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5536,1234,0,28,26,-0.148441,-0.885855,-9.8689,0.0883306,-0.0319267,0.0319267,-21.9094,34.9629,33.3604,-0.861735,6.59817,-0.347014,1.98022,1.63321,0.101644,-1.18459e-12,-0.0145535,0.281685,-28.7593,
Thu Sep 26 02:35:45 2019,8376191,1044.14,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5412,5538,1234,0,28,26,-0.627281,-1.49398,-9.55765,0.0212845,-0.0319267,0.0372479,-21.9094,34.9629,33.3604,-3.75501,6.88465,-0.387127,1.94368,1.55656,0.100461,-1.18273e-12,-0.0145307,0.281685,-28.4214,
Thu Sep 26 02:35:45 2019,8386192,1044.14,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5412,5538,1234,0,28,26,-0.368707,0.148441,-9.42837,-0.0649177,-0.019156,-0.00319267,-21.9094,34.9629,33.3604,-2.23948,7.16747,-0.432384,1.89941,1.46703,0.0993875,-1.07342e-12,-0.0131877,0.281685,-28.1147,
Thu Sep 26 02:35:45 2019,8396193,1044.14,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5358,5538,1232,0,28,26,0.373495,-0.0383072,-9.84017,0.122386,-0.0287341,0.00532112,-21.9094,34.9629,33.3604,2.17369,7.45669,-0.477882,1.85786,1.37997,0.098284,-1.10345e-12,-0.0135567,0.281685,-27.7995,
Thu Sep 26 02:35:45 2019,8406194,1043.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5358,5538,1232,0,28,26,-0.344765,-1.69509,-9.45231,0.0702388,-0.052147,0.0287341,-21.9094,34.9629,33.3604,-2.08889,7.74988,-0.517692,1.81661,1.29892,0.0969756,-1.30847e-12,-0.0160755,0.281685,-27.4256,
Thu Sep 26 02:35:45 2019,8416195,1043.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5546,1234,0,28,26,-0.713472,-1.2402,-9.31823,-0.0117065,-0.0297983,0.00744957,-21.9094,34.9629,33.3604,-4.37844,8.02995,-0.558188,1.75947,1.20128,0.0958613,-1.11424e-12,-0.0136892,0.281685,-27.1073,
Thu Sep 26 02:35:45 2019,8426196,1043.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5546,1234,0,28,26,0.507571,-0.0622492,-10.0221,-0.0297983,-0.0244772,-0.00532112,-21.9094,34.9629,33.3604,2.89927,8.31491,-0.600634,1.70521,1.10458,0.0949083,-9.53039e-13,-0.0117088,0.281685,-26.835,
Thu Sep 26 02:35:45 2019,8436197,1043.03,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5412,5540,1234,0,28,26,0.220267,-0.158017,-9.72046,0.0106422,-0.0744957,0.00851379,-21.9094,34.9629,33.3604,1.29811,8.61572,-0.634641,1.66429,1.02965,0.0936938,-1.21443e-12,-0.0149201,0.281685,-26.488,
Thu Sep 26 02:35:45 2019,8446198,1041.95,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5412,5540,1234,0,28,26,-0.627281,-0.972046,-9.26556,0.0319267,-0.0627892,0.0180918,-21.9094,34.9629,33.3604,-3.87303,8.89884,-0.661831,1.60365,0.94182,0.0924608,-1.23309e-12,-0.0151493,0.281685,-26.1357,
Thu Sep 26 02:35:45 2019,8456199,1041.95,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5548,1234,0,28,26,0.0766145,-0.857124,-9.57681,-0.0372479,-0.0606608,-0.00532112,-21.9094,34.9629,33.3604,0.458357,9.18471,-0.689864,1.54474,0.854871,0.0914544,-1.00633e-12,-0.0123635,0.281685,-25.8482,
Thu Sep 26 02:35:45 2019,8466200,1041.95,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5548,1234,0,28,26,0.378284,-0.292093,-9.71088,-0.00319267,-0.0744957,0.00638535,-21.9094,34.9629,33.3604,2.23081,9.47515,-0.713596,1.48937,0.775773,0.0904225,-1.03193e-12,-0.0126779,0.281685,-25.5533,
Thu Sep 26 02:35:45 2019,8476201,1041.95,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5536,1234,0,28,28,-0.11971,-0.335188,-9.50977,0.0138349,-0.0744957,0.0212845,-21.9094,34.9629,33.3604,-0.721208,9.76163,-0.728654,1.42929,0.70064,0.0892455,-1.17702e-12,-0.0144606,0.281685,-25.217,
Thu Sep 26 02:35:45 2019,8486202,1041.95,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5400,5536,1234,0,28,28,-0.167594,-0.679953,-9.47625,0.0287341,-0.0723673,0.00851379,-21.9094,34.9629,33.3604,-1.01321,10.0475,-0.739894,1.36835,0.628453,0.0881444,-1.10109e-12,-0.0135277,0.281685,-24.9024,
Thu Sep 26 02:35:45 2019,8496203,1041.95,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5414,5556,1234,0,26,28,0.148441,-0.837971,-9.69652,0.00319267,-0.0819453,0.0244772,-21.9094,34.9629,33.3604,0.877053,10.3367,-0.749151,1.31062,0.561469,0.0871369,-1.00749e-12,-0.0123778,0.281685,-24.6146,
Thu Sep 26 02:35:45 2019,8506204,1041.38,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5414,5556,1234,0,26,28,-0.124498,-0.526724,-9.73961,-0.0117065,-0.0872664,0.0266056,-21.9094,34.9629,33.3604,-0.732355,10.6247,-0.754785,1.25169,0.496901,0.0860693,-1.06761e-12,-0.0131164,0.281685,-24.3095,
Thu Sep 26 02:35:45 2019,8516205,1041.38,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5392,5544,1234,0,30,26,-0.105345,-0.842759,-9.73961,0.0223487,-0.0787526,0.019156,-21.9094,34.9629,33.3604,-0.619695,10.9088,-0.758231,1.18924,0.431013,0.0850288,-1.04043e-12,-0.0127824,0.281685,-24.0123,
Thu Sep 26 02:35:45 2019,8526206,1041.38,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5392,5544,1234,0,30,26,-0.105345,-0.708684,-9.91678,-0.0297983,-0.0766241,0.019156,-21.9094,34.9629,33.3604,-0.608624,11.1946,-0.760956,1.12937,0.368412,0.0840253,-1.0035e-12,-0.0123287,0.281685,-23.7256,
Thu Sep 26 02:35:45 2019,8536207,1041.38,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5554,1234,0,28,28,-0.100556,-0.397437,-9.7444,-0.0223487,-0.0702388,0.00744957,-21.9094,34.9629,33.3604,-0.591238,11.4793,-0.762869,1.06915,0.306283,0.0830211,-1.0042e-12,-0.0123373,0.281685,-23.4386,
Thu Sep 26 02:35:45 2019,8546208,1041.63,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5554,1234,0,28,28,-0.047884,-0.684742,-9.78271,0.00744957,-0.061725,0.0170276,-21.9094,34.9629,33.3604,-0.280447,11.7633,-0.763695,1.00943,0.245739,0.0819973,-1.02388e-12,-0.012579,0.281685,-23.1461,
Thu Sep 26 02:35:45 2019,8556209,1041.63,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5548,1238,0,28,28,-0.301669,-0.861913,-9.55765,-0.00532112,-0.0670461,0.0234129,-21.9094,34.9629,33.3604,-1.80784,12.0513,-0.764361,0.954771,0.19041,0.0809602,-1.03711e-12,-0.0127416,0.281685,-22.8498,
Thu Sep 26 02:35:45 2019,8566210,1041.63,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5548,1238,0,28,28,-0.181959,-0.474052,-9.81144,-0.0180918,-0.0532112,0.00744957,-21.9094,34.9629,33.3604,-1.06247,12.3338,-0.766764,0.895898,0.129134,0.0799898,-9.70383e-13,-0.0119218,0.281685,-22.5725,
Thu Sep 26 02:35:45 2019,8576211,1041.63,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5412,5540,1234,0,26,28,-0.0191536,-0.138864,-9.51456,-0.0159634,-0.0500185,-0,-21.9094,34.9629,33.3604,-0.115341,12.6194,-0.769889,0.841564,0.0716753,0.0790085,-9.81324e-13,-0.0120563,0.281685,-22.2922,
Thu Sep 26 02:35:45 2019,8586212,1041.63,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5412,5540,1234,0,26,28,-0.205901,-0.124498,-9.33739,0.0159634,-0.0510828,0.00212845,-21.9094,34.9629,33.3604,-1.26324,12.9062,-0.772255,0.789838,0.0175835,0.0779607,-1.04778e-12,-0.0128727,0.281685,-21.9928,
Thu Sep 26 02:35:45 2019,8596213,1041.63,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5396,5534,1234,0,28,28,-0.426168,-0.565032,-9.34696,0.0276698,-0.042569,0.00744957,-21.9094,34.9629,33.3604,-2.61055,13.1902,-0.776461,0.736901,-0.0395603,0.0769368,-1.02388e-12,-0.0125791,0.281685,-21.7003,
Thu Sep 26 02:35:45 2019,8606214,1042.12,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5396,5534,1234,0,28,28,-0.244209,-0.699107,-9.35175,0,-0.0276698,-0.00638535,-21.9094,34.9629,33.3604,-1.49586,13.4725,-0.78491,0.683931,-0.100979,0.0759645,-9.72285e-13,-0.0119452,0.281685,-21.4225,
Thu Sep 26 02:35:45 2019,8616215,1042.12,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5538,1230,0,28,26,-0.100556,-0.565032,-9.663,0.0223487,-0.0202203,-0.0042569,-21.9094,34.9629,33.3604,-0.596218,13.7568,-0.795528,0.634921,-0.160607,0.0749865,-9.78006e-13,-0.0120155,0.281685,-21.143,
Thu Sep 26 02:35:45 2019,8626216,1042.12,1512,1510,1088,1512,1088,1940,-0.0939026,0.281685,0.9,-0.563385,-0.5,0.5,5394,5538,1230,0,28,26,-0.0861913,-0.593762,-9.5385,0.0255414,-0.0159634,-0.00319267,-21.9094,34.9629,33.3604,-0.517719,14.0421,-0.805266,0.588555,-0.216711,0.073942,-1.04455e-12,-0.012833,0.281685,-20.8446,
