today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P)=0.004, kiei(I)=1e-09, kded(D)=0.0008,
Thu Sep 26 01:46:30 2019,14118318,0,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5394,5548,1240,0,28,28,-0.272939,-0.0335188,-9.44273,0.0319267,-0.147927,0.00957802,-21.0188,32.9906,30.4219,-1.65566,0.328857,-0.00156253,0.314573,0.313011,1.00297e+31,1.25371e+22,2.00593e+32,
Thu Sep 26 01:46:30 2019,14128319,1065.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5358,5538,1234,0,28,26,-0.215478,-0.124498,-9.52892,0.0287341,-0.146863,0.00532112,-21.0188,32.9906,30.4219,-1.29541,0.615031,-0.007334,0.560396,0.553062,0.0981282,-1.25371e+22,-2.00593e+32,
Thu Sep 26 01:46:30 2019,14138322,1065.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5358,5538,1234,0,28,26,-0.205901,-0.114922,-9.5385,0.0351194,-0.136221,0.00319267,-21.0188,32.9906,30.4219,-1.23662,0.898462,-0.017762,0.780589,0.762827,0.0976484,-5.99728e-13,-0.00959564,
Thu Sep 26 01:46:30 2019,14148323,1065.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5366,5536,1234,0,28,26,-0.225055,-0.0383072,-9.55765,0.019156,-0.129835,-0.00319267,-21.0188,32.9906,30.4219,-1.3489,1.18311,-0.0320665,0.980288,0.948222,0.0969569,-8.64372e-13,-0.01383,
Thu Sep 26 01:46:30 2019,14158324,1065.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5366,5536,1234,0,28,26,-0.162806,0.0191536,-9.65342,0.0148991,-0.125578,-0.0106422,-21.0188,32.9906,30.4219,-0.966207,1.46837,-0.0496592,1.1599,1.11024,0.0962921,-8.31041e-13,-0.0132967,
Thu Sep 26 01:46:30 2019,14168325,1065.68,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1234,0,8,12,-0.215478,0.0909797,-9.77792,0.0234129,-0.112808,-0.0106422,-21.0188,32.9906,30.4219,-1.26244,1.75119,-0.0698576,1.31753,1.24768,0.0956155,-8.45718e-13,-0.0135315,
Thu Sep 26 01:46:30 2019,14178326,1066.42,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5392,5538,1234,0,8,12,-0.272939,0.0047884,-9.7875,0.0297983,-0.106422,-0.00744957,-21.0188,32.9906,30.4219,-1.59737,2.03584,-0.092878,1.45855,1.36567,0.09491,-8.8191e-13,-0.0141106,
Thu Sep 26 01:46:30 2019,14188327,1066.42,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5414,5550,1238,0,26,26,-0.306458,-0.0574608,-9.75398,0.0223487,-0.0968444,-0.0127707,-21.0188,32.9906,30.4219,-1.79957,2.31958,-0.119496,1.5812,1.4617,0.0942084,-8.76904e-13,-0.0140305,
Thu Sep 26 01:46:30 2019,14198328,1066.42,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5414,5550,1238,0,26,26,-0.325611,-0.0766145,-9.81144,0.0276698,-0.0904591,-0.0106422,-21.0188,32.9906,30.4219,-1.90077,2.60423,-0.1501,1.68833,1.53823,0.093496,-8.90512e-13,-0.0142482,
Thu Sep 26 01:46:30 2019,14208329,1066.42,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1234,0,28,28,-0.306458,-0.0430956,-9.81144,0.0234129,-0.0776884,-0.00319267,-21.0188,32.9906,30.4219,-1.78904,2.88705,-0.18451,1.77824,1.59373,0.0927533,-9.28345e-13,-0.0148535,
Thu Sep 26 01:46:30 2019,14218330,1066.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5382,5538,1234,0,28,28,-0.272939,-0.0383072,-9.74919,0.0223487,-0.0755599,0.00106422,-21.0188,32.9906,30.4219,-1.60364,3.17292,-0.221983,1.85671,1.63472,0.0919887,-9.55858e-13,-0.0152937,
Thu Sep 26 01:46:30 2019,14228331,1066.2,1513,1510,1088,1513,1088,1514,-0.0469513,0.281685,0.9,-0.281677,-0.5,-1.19209e-07,5390,5550,1234,0,28,28,-0.407014,-0.11971,-9.64384,0.0117065,-0.0649177,0.00851379,-21.0188,32.9906,30.4219,-2.41671,3.45635,-0.26243,1.91917,1.65673,0.0912045,-9.80196e-13,-0.0156831,
Thu Sep 26 01:46:30 2019,14238332,1066.2,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5390,5550,1234,0,28,28,-0.411803,-0.00957681,-9.50498,0.00851379,-0.0585323,0.00851379,-21.0188,32.9906,30.4219,-2.48079,3.741,-0.306866,1.97024,1.66337,0.0904299,-9.68218e-13,-0.0154915,
Thu Sep 26 01:46:30 2019,14248333,1066.2,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5394,5546,1238,0,28,26,-0.488417,-0.047884,-9.68215,0.00957802,-0.0532112,0.00957802,-21.0188,32.9906,30.4219,-2.88785,4.02595,-0.356055,2.00982,1.65377,0.0896501,-9.74741e-13,-0.0155959,
Thu Sep 26 01:46:30 2019,14258334,1066.2,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5394,5546,1238,0,28,26,-0.488417,-0.105345,-9.5816,0.00319267,-0.0489543,0.0148991,-21.0188,32.9906,30.4219,-2.9181,4.31121,-0.410266,2.03875,1.62848,0.0888722,-9.72366e-13,-0.0155579,
Thu Sep 26 01:46:30 2019,14268335,1066.2,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5382,5536,1234,0,28,28,-0.493206,-0.0622492,-9.52892,-0.00106422,-0.0436332,0.0148991,-21.0188,32.9906,30.4219,-2.96292,4.59617,-0.469351,2.05723,1.58788,0.0880876,-9.80835e-13,-0.0156934,
Thu Sep 26 01:46:30 2019,14278336,1066.12,1513,1510,1088,1512,1088,1514,-0.0469513,0.281685,0.9,-0.563385,-0.5,-1.19209e-07,5382,5536,1234,0,28,28,-0.636858,-0.0191536,-9.5816,0.00106422,-0.0404405,0.0106422,-17.6344,33.5285,33.3604,-3.80268,4.88173,-0.533579,2.06695,1.53338,0.0872926,-9.93719e-13,-0.0158995,
