today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt, kpe(P), kiei(I), kded(D)
Wed Sep 25 23:58:05 2019,13143458,1090.7,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5390,5546,1234,0,30,12,-0.493206,-0.0814029,-9.44752,-0.00638535,-0.0287341,0.00212845,-16.9219,36.3973,33.0146,-2.9884,4.5919,-0.738777,2.06896,1.33019,0.000183777,-0,-0,
Wed Sep 25 23:58:05 2019,13153459,1091.17,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1232,0,8,32,-0.383072,-0.0143652,-9.39964,0.00957802,-0.0266056,-0.00638535,-16.9219,36.3973,33.0146,-2.33374,4.87777,-0.826811,2.0783,1.25148,0.000181957,-0,-0,
Wed Sep 25 23:58:05 2019,13163460,1091.17,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5548,1232,0,8,32,-0.0670376,-0.138864,-9.60075,0.0319267,-0.0212845,0.00106422,-16.9219,36.3973,33.0146,-0.400064,5.16272,-0.911846,2.07811,1.16627,0.000180008,-0,-0,
Wed Sep 25 23:58:05 2019,13173461,1091.17,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5402,5528,1218,0,28,10,0.11971,-0.21069,-9.30387,0.0627892,-0.032991,0.0244772,-16.9219,36.3973,33.0146,0.737168,5.45255,-0.988473,2.07477,1.08629,0.000177904,-0,-0,
Wed Sep 25 23:58:05 2019,13183462,1091.17,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5402,5528,1218,0,28,10,0.0622492,0.282516,-9.23204,-0.0234129,-0.0351194,-0.0117065,-16.9219,36.3973,33.0146,0.386325,5.73964,-1.05348,2.06125,1.00777,0.000175712,-0,-0,
Wed Sep 25 23:58:05 2019,13193463,1090.61,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5402,5528,1218,0,28,10,-0.263362,-0.325611,-9.56244,-0.0446974,-0.0127707,0.032991,-16.9219,36.3973,33.0146,-1.5776,6.01972,-1.10905,2.03439,0.925344,0.00017345,-0,-0,
Wed Sep 25 23:58:05 2019,13203464,1090.61,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5366,5534,1218,0,30,10,-0.162806,-0.191536,-9.40442,-0.00744957,-0.0159634,0.0383121,-16.9219,36.3973,33.0146,-0.991784,6.30711,-1.15926,2.00914,0.84988,0.000171314,-0,-0,
Wed Sep 25 23:58:05 2019,13213465,1090.61,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5534,1224,0,8,32,-0.110133,0.0047884,-9.50977,-0.00851379,-0.0138349,-0.0170276,-16.9219,36.3973,33.0146,-0.663517,6.59298,-1.20481,1.97698,0.772176,0.000169084,-0,-0,
Wed Sep 25 23:58:05 2019,13223469,1090.61,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5534,1224,0,8,32,-0.373495,0.0957681,-10.2855,0.0372479,-0.00319267,0.042569,-16.9219,36.3973,33.0146,-2.07966,6.87641,-1.24609,1.93777,0.691676,0.000166857,-0,-0,
Wed Sep 25 23:58:05 2019,13233470,1090.61,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5550,1216,0,30,30,-0.617704,-0.00957681,-9.55287,-0.0276698,-0.00532112,0.00957802,-16.9219,36.3973,33.0146,-3.69969,7.1635,-1.28721,1.89807,0.610863,0.000164811,-0,-0,
Wed Sep 25 23:58:05 2019,13243471,1090.61,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5382,5550,1216,0,30,30,-0.871489,-0.0143652,-9.46188,0.0925875,-0.0042569,-0.00212845,-16.9219,36.3973,33.0146,-5.2624,7.44968,-1.33388,1.85371,0.519824,0.000162813,-0,-0,
Wed Sep 25 23:58:05 2019,13253472,1090.7,1513,1511,1088,1512,1088,1940,-0.0469513,-0.140846,0.9,-0.563385,-0.5,0.5,5388,5536,1218,0,30,10,-1.13006,0.459687,-9.03572,0.0138349,-0.0606608,0.0212845,-16.9219,36.3973,33.0146,-7.12876,7.75231,-1.39171,1.82186,0.430155,0.000161272,-0,-0,
