7463320,8.87E+30,1.27E+22,,0.00E+00,0.281685,0,15,0
7473321,0.0626102,-1.27E+22,,0.00E+00,0.281685,-17.6069,-2.6069,-17.6069
7483324,0.0603071,-3.29E-12,-0.0394811,0.00E+00,0.211266,-16.9489,-1.9489,-16.9489
7493325,0.0566427,-5.23E-12,-0.0628195,0.00E+00,0.211266,-15.9723,-0.9723,-15.9723
7503326,0.0535499,-4.42E-12,-0.0530194,0.00E+00,0.211266,-15.0887,-0.0887,-15.0887
7513327,0.0505425,-4.30E-12,-0.0515553,-1.01E-03,0.211266,-14.2294,0.7706,-14.2294
7523328,0.0476514,-4.13E-12,-0.0495611,-1.91E-03,0.281685,-13.4034,1.5966,-13.4034
7533329,0.0450744,-3.68E-12,-0.0441765,8.98E-04,0.281685,-12.5967,2.4033,-12.5967
7543330,0.0423419,-3.90E-12,-0.0468432,-4.50E-03,0.211266,-11.816,3.184,-11.816
7553331,0.0394916,-4.07E-12,-0.0488632,-9.37E-03,0.211266,-11.072,3.928,-11.072
7563332,0.0370115,-3.54E-12,-0.0425159,-5.50E-03,0.211266,-10.3634,4.6366,-10.3634
7573333,0.0346695,-3.35E-12,-0.0401478,-5.48E-03,0.211266,-9.69431,5.30569,-9.69431
7583334,0.0324841,-3.12E-12,-0.0374649,-4.98E-03,0.211266,-9.06989,5.93011,-9.06989
7593335,0.0304375,-2.92E-12,-0.0350842,-4.65E-03,0.211266,-8.48516,6.51484,-8.48516
7603336,0.0285426,-2.71E-12,-0.0324842,-3.94E-03,0.211266,-7.94375,7.05625,-7.94375
7613337,0.02681,-2.48E-12,-0.0297004,-2.89E-03,0.281685,-7.44875,7.55125,-7.44875
7623338,0.0254459,-1.95E-12,-0.0233855,2.06E-03,0.281685,-6.98857,8.01143,-6.98857
7633339,0.0239508,-2.14E-12,-0.0256306,-1.68E-03,0.281685,-6.56139,8.43861,-6.56139
7643340,0.0226281,-1.89E-12,-0.0226748,-4.67E-05,0.281685,-6.18348,8.81652,-6.18348
7653341,0.0214287,-1.71E-12,-0.0205607,8.68E-04,0.281685,-5.8408,9.1592,-5.8408
7663342,0.0203227,-1.58E-12,-0.0189605,1.36E-03,0.281685,-5.52479,9.47521,-5.52479
7673343,0.0193419,-1.40E-12,-0.0168132,2.53E-03,0.281685,-5.24457,9.75543,-5.24457
7683344,0.0184527,-1.27E-12,-0.0152426,3.21E-03,0.281685,-4.99053,10.00947,-4.99053
7693345,0.0175931,-1.23E-12,-0.0147363,2.86E-03,0.281685,-4.74492,10.25508,-4.74492
7703346,0.0168401,-1.08E-12,-0.0129086,3.93E-03,0.211266,-4.52978,10.47022,-4.52978
7713347,0.0159184,-1.32E-12,-0.0158012,1.17E-04,0.211266,-4.33684,10.66316,-4.33684
7723348,0.0154326,-6.94E-13,-0.00832758,7.11E-03,0.211266,-4.19805,10.80195,-4.19805
7733353,0.0150175,-5.93E-13,-0.00711582,7.90E-03,0.211266,-4.07945,10.92055,-4.07945
7743354,0.0144916,-7.51E-13,-0.00901574,5.48E-03,0.281685,-3.92919,11.07081,-3.92919
7753355,0.0142374,-3.63E-13,-0.00435708,9.88E-03,0.281685,-3.78616,11.21384,-3.78616
7763356,0.0138306,-5.81E-13,-0.00697489,6.86E-03,0.281685,-3.66991,11.33009,-3.66991
7773357,0.0134663,-5.20E-13,-0.0062455,7.22E-03,0.281685,-3.56582,11.43418,-3.56582
7783358,0.0131353,-4.73E-13,-0.00567408,7.46E-03,0.281685,-3.47125,11.52875,-3.47125
7793359,0.0128352,-4.29E-13,-0.00514429,7.69E-03,0.281685,-3.38551,11.61449,-3.38551
7803360,0.0125653,-3.85E-13,-0.00462587,7.94E-03,0.211266,-3.30841,11.69159,-3.30841
7813361,0.0120883,-6.82E-13,-0.00817841,3.91E-03,0.211266,-3.24252,11.75748,-3.24252
7823362,0.0118271,-3.73E-13,-0.00447661,7.35E-03,0.281685,-3.16791,11.83209,-3.16791
7833363,0.011844,2.41E-14,0.000289049,1.21E-02,0.281685,-3.10231,11.89769,-3.10231
7843364,0.011669,-2.50E-13,-0.00300008,8.67E-03,0.281685,-3.05231,11.94769,-3.05231
7853365,0.0114726,-2.81E-13,-0.00336721,8.11E-03,0.281685,-2.99619,12.00381,-2.99619
7863366,0.0112595,-3.04E-13,-0.00365237,7.61E-03,0.281685,-2.93532,12.06468,-2.93532
7873367,0.0110739,-2.65E-13,-0.00318172,7.89E-03,0.281685,-2.88229,12.11771,-2.88229
7883368,0.0109378,-1.94E-13,-0.00233309,8.60E-03,0.281685,-2.8434,12.1566,-2.8434
7893369,0.0108457,-1.32E-13,-0.00157947,9.27E-03,0.281685,-2.81708,12.18292,-2.81708
7903375,0.0107651,-1.15E-13,-0.00138069,9.38E-03,0.211266,-2.79407,12.20593,-2.79407
7913376,0.010425,-4.86E-13,-0.00583026,4.59E-03,0.211266,-2.76732,12.23268,-2.76732
7923377,0.0103508,-1.06E-13,-0.00127287,9.08E-03,0.211266,-2.7461,12.2539,-2.7461
7933378,0.0103097,-5.88E-14,-0.000705113,9.60E-03,0.211266,-2.73435,12.26565,-2.73435
7943379,0.0103027,-9.87E-15,-0.000118432,1.02E-02,0.211266,-2.73238,12.26762,-2.73238
7953380,0.0103188,2.29E-14,0.000275302,1.06E-02,0.211266,-2.73696,12.26304,-2.73696
7963381,0.0103295,1.53E-14,0.000184035,1.05E-02,0.211266,-2.74003,12.25997,-2.74003
7973382,0.0103625,4.70E-14,0.000564466,1.09E-02,0.211266,-2.74944,12.25056,-2.74944
