581736909,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581746910,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581756912,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581766913,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581776914,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581786915,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581796916,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581806917,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581816918,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581826919,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581836920,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581846921,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581856922,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581866923,1505,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581876924,1505,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581886925,1505,1616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581896926,1506,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581906927,1506,1640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581916928,1505,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581926929,1505,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581936930,1505,1628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
