today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:31:09 2019,14836533,0,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5400,5532,1210,0,6,28,0.177171,0.21069,-9.69173,0.00638535,-0.0117065,0.0297983,-23.8688,31.5563,30.4219,1.64417e-40,0.0297983,
Wed Oct  2 06:31:09 2019,14846534,658.273,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5400,5532,1210,0,6,28,0.162806,0.172383,-9.77313,0.00532112,-0.0106422,0.0287341,-23.8688,31.5563,30.4219,-1.90735e-06,0.0287341,
Wed Oct  2 06:31:09 2019,14856543,658.273,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5380,5526,1214,0,30,12,0.177171,0.220267,-9.40442,0.0106422,-0.00851379,0.0308625,-23.8688,31.5563,30.4219,-1.90735e-06,0.0308625,
Wed Oct  2 06:31:09 2019,14866544,658.273,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5380,5526,1214,0,30,12,0.0957681,0.196325,-9.56723,0.00957802,-0.00957802,0.0276698,-23.8688,31.5563,30.4219,-1.90735e-06,0.0276698,
Wed Oct  2 06:31:09 2019,14876545,658.273,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5368,5526,1210,0,28,10,0.244209,0.201113,-9.73961,0.00532112,-0.00638535,0.0308625,-23.8688,31.5563,30.4219,-1.90735e-06,0.0308625,
Wed Oct  2 06:31:09 2019,14886546,658.273,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5368,5526,1210,0,28,10,0.138864,0.129287,-9.60554,0.0042569,0,0.0266056,-23.8688,31.5563,30.4219,-1.90735e-06,0.0266056,
Wed Oct  2 06:31:09 2019,14896559,658.273,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5370,5514,1214,0,28,10,0.234632,0.138864,-9.65821,0.00744957,0,0.0255414,-23.8688,31.5563,30.4219,-1.90735e-06,0.0255414,
Wed Oct  2 06:31:09 2019,14906560,658.837,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5370,5514,1214,0,28,10,0.186748,0.153229,-9.663,0.0106422,0.00212845,0.0266056,-22.6219,31.7355,32.3232,-1.90735e-06,0.0266056,
Wed Oct  2 06:31:09 2019,14916562,658.837,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5362,5528,1210,0,26,10,0.143652,0.205901,-9.67736,0.00744957,0.00212845,0.0266056,-22.6219,31.7355,32.3232,-1.90735e-06,0.0266056,
Wed Oct  2 06:31:09 2019,14926563,658.837,1513,1516,1088,1514,1940,1514,-0.0469513,-0.093895,0.9,-1.90735e-06,0.5,-1.19209e-07,5362,5528,1210,0,26,10,0.134075,0.186748,-9.53371,0.00851379,0.00212845,0.0287341,-22.6219,31.7355,32.3232,-1.90735e-06,0.0287341,
