today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:02:04 2019,7843204,0,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5394,5538,1214,0,28,12,-0.11971,0,-9.4954,0.0117065,-0.0234129,0.0148991,8.72813,13.0887,31.6318,1.64372e-40,0.0148991,
Wed Oct  2 06:02:04 2019,7853205,651.608,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5394,5538,1214,0,28,12,0.023942,-0.0814029,-9.68215,0.0127707,-0.0212845,0.0180918,8.72813,13.0887,31.6318,-0.0234756,0.0180918,
Wed Oct  2 06:02:04 2019,7863208,651.608,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5378,5512,1214,0,28,28,0.0430956,-0.0814029,-9.57681,0.00851379,-0.0234129,0.0159634,8.72813,13.0887,31.6318,-0.0234756,0.0159634,
Wed Oct  2 06:02:04 2019,7873209,651.608,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5378,5512,1214,0,28,28,-0.100556,-0.0526724,-9.5816,0.0148991,-0.0223487,0.0212845,8.72813,13.0887,31.6318,-0.0234756,0.0212845,
Wed Oct  2 06:02:04 2019,7883210,651.608,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5374,5520,1210,0,6,28,-0.110133,-0.0814029,-9.65342,0.0127707,-0.0223487,0.0170276,8.72813,13.0887,31.6318,-0.0234756,0.0170276,
Wed Oct  2 06:02:04 2019,7893211,651.608,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5374,5520,1210,0,6,28,-0.0383072,-0.0957681,-9.65821,0.0148991,-0.019156,0.019156,8.72813,13.0887,31.6318,-0.0234756,0.019156,
Wed Oct  2 06:02:04 2019,7903212,654.701,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5378,5528,1212,0,6,28,-0.0766145,-0.177171,-9.63427,0.0138349,-0.0223487,0.0212845,8.72813,13.0887,31.6318,-0.0234756,0.0212845,
Wed Oct  2 06:02:04 2019,7913213,654.701,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5378,5528,1212,0,6,28,-0.0191536,-0.110133,-9.64863,0.0170276,-0.019156,0.0180918,8.72813,13.0887,31.6318,-0.0234756,0.0180918,
Wed Oct  2 06:02:04 2019,7923214,654.701,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5372,5528,1210,0,28,12,-0.0814029,-0.162806,-9.81144,0.0127707,-0.0255414,0.0202203,8.72813,13.0887,31.6318,-0.0234756,0.0202203,
Wed Oct  2 06:02:04 2019,7933215,654.701,1513,1516,1537,1513,1940,1514,-0.0469513,-0.093895,1.427,-0.0234756,0.5,-1.19209e-07,5372,5528,1210,0,28,12,-0.134075,-0.0574608,-9.70131,0.00851379,-0.0223487,0.0212845,8.72813,13.0887,31.6318,-0.0234756,0.0212845,
