today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Sun Feb 18 05:28:22 2018,7191025,751.68,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3984,1196,0,8,30,0.105345,0.0814029,-10.3525,0.00957802,-0.0170276,0.0148991,-19.5322,41.4516,46.7602,0.055,0.0148991,
Sun Feb 18 05:28:22 2018,7201026,751.68,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3978,1196,0,30,12,0.0861913,0.258574,-10.4962,0.0106422,-0.00957802,0.0138349,-19.5322,41.4516,46.7602,0.055,0.0138349,
Sun Feb 18 05:28:22 2018,7211027,751.775,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3978,1196,0,30,12,0.110133,0.110133,-10.4627,0.0127707,-0.00744957,0.0106422,-19.5322,41.4516,46.7602,0.055,0.0106422,
Sun Feb 18 05:28:22 2018,7221028,751.775,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3988,1200,0,30,14,0.0957681,0.143652,-10.4435,0.0106422,-0.00851379,0.00957802,-19.5322,41.4516,46.7602,0.055,0.00957802,
Sun Feb 18 05:28:22 2018,7231029,751.775,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,5000,3988,1200,0,30,14,0.0861913,0.191536,-10.4196,0.00744957,-0.00851379,0.0117065,-19.5322,41.4516,46.7602,0.055,0.0117065,
Sun Feb 18 05:28:22 2018,7241030,751.775,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4996,3974,1192,0,8,32,0.138864,0.0957681,-10.4291,0.0106422,-0.00957802,0.0117065,-19.5322,41.4516,46.7602,0.055,0.0117065,
Sun Feb 18 05:28:22 2018,7251031,751.775,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4996,3974,1192,0,8,32,0.0430956,0.110133,-10.4531,0.0042569,-0.0117065,0.0138349,-19.5322,43.1859,49.0898,0.055,0.0138349,
Sun Feb 18 05:28:22 2018,7261032,751.775,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3976,1196,0,30,14,0.105345,0.129287,-10.4004,0.0138349,-0.0127707,0.0148991,-19.5322,43.1859,49.0898,0.055,0.0148991,
Sun Feb 18 05:28:22 2018,7271033,751.732,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4990,3976,1196,0,30,14,0.11971,0.181959,-10.3334,0.00532112,-0.0148991,0.00744957,-19.5322,43.1859,49.0898,0.055,0.00744957,
Sun Feb 18 05:28:22 2018,7281034,751.732,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0.055,0.5,-1.19209e-07,4992,3980,1194,0,8,30,0.114922,0.105345,-10.5153,0.0106422,-0.0117065,0.00957802,-19.5322,43.1859,49.0898,0.055,0.00957802,
