today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Thu Sep 20 23:04:32 2018,14904920,0,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5378,5538,1028,0,28,28,-0.59855,0.0335188,-9.4571,0.00212845,-0.0383121,0.00212845,19.7227,64.6078,12.1406,1.64137e-40,0.00212845,
Thu Sep 20 23:04:32 2018,14914921,951.206,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5372,5544,1026,2,28,28,-0.56982,-0.0383072,-9.50019,0.00319267,-0.0372479,0.00212845,19.7227,64.6078,12.1406,0,0.00212845,
Thu Sep 20 23:04:32 2018,14924924,951.206,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5372,5544,1026,2,28,28,-0.59855,0.0430956,-9.60554,0.0042569,-0.0415047,-0.00212845,19.7227,64.6078,12.1406,0,-0.00212845,
Thu Sep 20 23:04:32 2018,14934925,951.206,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5372,5538,1028,0,30,30,-0.545878,0.0335188,-9.57202,-0.00212845,-0.0383121,0.0042569,19.7227,64.6078,12.1406,0,0.0042569,
Thu Sep 20 23:04:32 2018,14944926,951.206,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5372,5538,1028,0,30,30,-0.579397,0.110133,-9.64384,0.00212845,-0.0361836,0.00106422,19.7227,64.6078,12.1406,0,0.00106422,
Thu Sep 20 23:04:32 2018,14954927,951.206,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5372,5538,1028,0,30,30,-0.497994,-0.100556,-9.28471,0.00532112,-0.0361836,0.00106422,19.7227,64.6078,12.1406,0,0.00106422,
Thu Sep 20 23:04:32 2018,14964928,950.12,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5374,5520,1028,0,30,28,-0.550666,0.0670376,-9.42837,0.00106422,-0.0415047,-0.00106422,19.7227,64.6078,12.1406,0,-0.00106422,
Thu Sep 20 23:04:32 2018,14974929,950.12,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5528,1028,0,8,14,-0.612916,0.023942,-9.60075,0.00319267,-0.0415047,0.00212845,19.7227,64.6078,12.1406,0,0.00212845,
Thu Sep 20 23:04:32 2018,14984930,950.12,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5528,1028,0,8,14,-0.560243,0.0191536,-9.57202,0.00106422,-0.0404405,-0,19.7227,64.6078,12.1406,0,-0,
Thu Sep 20 23:04:32 2018,14994931,950.12,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5368,5516,1028,0,28,28,-0.555455,-0.0191536,-9.46667,-0.00212845,-0.0372479,0.00319267,19.902,65.1492,14.0484,0,0.00319267,
