today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:22:09 2018,8647936,777.66,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5014,3510,1126,0,18,32,-0.023942,0.124498,-10.3477,0.0202203,-0.019156,0.00319267,22.9893,36.2484,46.4273,0,0.00319267,
Sun Feb 18 06:22:09 2018,8657937,777.564,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5014,3510,1126,0,18,32,0.0047884,-0.00957681,-10.3956,0.0148991,-0.0170276,0.0042569,22.9893,36.2484,46.4273,0,0.0042569,
Sun Feb 18 06:22:09 2018,8667940,777.564,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5008,3502,1132,0,28,14,-0.00957681,0.0335188,-10.3238,0.0106422,-0.00851379,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8677941,777.564,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5008,3502,1132,0,28,14,0.023942,0.023942,-10.2424,0.0042569,-0.0106422,0.00532112,22.9893,36.2484,46.4273,0,0.00532112,
Sun Feb 18 06:22:09 2018,8687942,777.564,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3504,1130,0,30,30,-0.00957681,0.0957681,-10.3382,0.0117065,-0.0117065,0.00851379,22.9893,36.2484,46.4273,0,0.00851379,
Sun Feb 18 06:22:09 2018,8697943,777.564,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3504,1130,0,30,30,-0.047884,0.0622492,-10.3669,0.00744957,-0.0159634,0.00851379,22.9893,36.2484,46.4273,0,0.00851379,
Sun Feb 18 06:22:09 2018,8707944,777.564,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5016,3504,1130,0,30,30,-0.071826,0.0861913,-10.3765,0.0148991,-0.00744957,0.00638535,22.9893,36.2484,46.4273,0,0.00638535,
Sun Feb 18 06:22:09 2018,8717945,777.955,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5000,3504,1128,0,8,30,-0.0143652,0.134075,-10.2185,0.0170276,-0.0117065,0.00744957,22.9893,36.2484,46.4273,0,0.00744957,
Sun Feb 18 06:22:09 2018,8727946,777.955,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5014,3502,1126,0,30,30,-0.0957681,0.0861913,-10.4004,0.0159634,-0.00744957,0.00851379,22.9893,36.2484,46.4273,0,0.00851379,
Sun Feb 18 06:22:09 2018,8737947,777.955,1514,1514,1088,1514,1940,1514,-7.62939e-06,7.62939e-06,0.9,0,0.5,-1.19209e-07,5014,3502,1126,0,30,30,0.00957681,0.138864,-10.4627,0.0223487,-0.00957802,0.00957802,22.9893,36.2484,46.4273,0,0.00957802,
