today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:35:46 2019,12632445,659.784,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1212,0,28,10,0.234632,0.201113,-9.663,0.0478901,-0.0127707,0.032991,-22.6219,28.1496,31.6318,-0.0117378,0.032991,
Wed Oct  2 06:35:46 2019,12642446,659.784,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1212,0,28,10,0.335188,0.167594,-9.54808,0.0510828,-0.0106422,0.0319267,-22.6219,28.1496,31.6318,-0.0117378,0.0319267,
Wed Oct  2 06:35:46 2019,12652447,658.542,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5526,1210,0,8,28,0.287304,0.129287,-10.6877,0.0202203,-0.0255414,0.0446974,-22.6219,28.1496,31.6318,-0.0117378,0.0446974,
Wed Oct  2 06:35:46 2019,12662448,658.542,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1214,0,6,26,0.268151,0.0335188,-10.1801,-0.0042569,-0.0372479,0.0383121,-22.6219,28.1496,31.6318,-0.0117378,0.0383121,
Wed Oct  2 06:35:46 2019,12672449,658.542,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1214,0,6,26,0.186748,0.114922,-10.003,-0.0223487,-0.0266056,0.042569,-22.6219,28.1496,31.6318,-0.0117378,0.042569,
Wed Oct  2 06:35:46 2019,12682450,658.542,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5528,1210,0,8,28,0.201113,0.11971,-9.71088,-0.0127707,-0.032991,0.0404405,-22.6219,28.1496,31.6318,-0.0117378,0.0404405,
Wed Oct  2 06:35:46 2019,12692451,658.542,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5528,1210,0,8,28,0.153229,0.225055,-8.94474,0.00638535,-0.0117065,0.0361836,-22.6219,28.1496,31.6318,-0.0117378,0.0361836,
Wed Oct  2 06:35:46 2019,12702452,658.542,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5528,1210,0,8,28,0.148441,0.292093,-8.7532,0.0372479,-0.00638535,0.0361836,-22.6219,28.1496,31.6318,-0.0117378,0.0361836,
Wed Oct  2 06:35:46 2019,12712453,659.532,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5370,5512,1214,0,8,28,0.253785,0.21069,-9.40442,0.0393763,-0.0148991,0.0404405,-22.6219,28.1496,31.6318,-0.0117378,0.0404405,
Wed Oct  2 06:35:46 2019,12722454,659.532,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5522,1208,0,30,12,0.23942,0.0430956,-9.78271,0.0255414,-0.0202203,0.042569,-22.6219,28.1496,31.6318,-0.0117378,0.042569,
Wed Oct  2 06:35:46 2019,12732455,659.532,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5374,5522,1208,0,30,12,0.320823,0.0622492,-10.3573,0.00744957,-0.0202203,0.0446974,-22.6219,28.1496,31.6318,-0.0117378,0.0446974,
