today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS_FILT
Sun Feb 18 06:59:00 2018,8556858,779.467,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2862,1006,0,8,30,0.0526724,0.114922,-10.4387,0.0106422,-0.0170276,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8566859,779.467,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2840,1006,0,32,30,0.00957681,0.153229,-10.2759,0.0042569,-0.0148991,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8576860,778.746,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2840,1006,0,32,30,-0.0526724,0.148441,-10.3956,0.0042569,-0.0170276,0.00744957,4.83984,16.65,42.2672,-0.000234753,0.00744957,
Sun Feb 18 06:59:00 2018,8586861,778.746,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2826,1004,0,32,14,-0.0047884,0.11971,-10.2807,0.00106422,-0.0180918,0.0127707,4.83984,16.65,42.2672,-0.000234753,0.0127707,
Sun Feb 18 06:59:00 2018,8596862,778.746,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2826,1004,0,32,14,0.0287304,0.162806,-10.2999,0.00744957,-0.0159634,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8606863,778.746,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2826,1004,0,32,14,0.0143652,0.153229,-10.343,0.00744957,-0.0180918,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
Sun Feb 18 06:59:00 2018,8616864,778.746,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5014,2840,1008,0,8,32,0.0047884,0.172383,-10.3046,0.0117065,-0.0148991,0.0106422,4.83984,16.65,42.2672,-0.000234753,0.0106422,
Sun Feb 18 06:59:00 2018,8626865,778.746,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2838,1002,0,8,32,-0.0287304,0.0383072,-10.3573,0.0127707,-0.0127707,0.0117065,4.83984,16.65,42.2672,-0.000234753,0.0117065,
Sun Feb 18 06:59:00 2018,8636866,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5018,2838,1002,0,8,32,0,0.143652,-10.4818,0.0148991,-0.00744957,0.0148991,4.83984,16.65,42.2672,-0.000234753,0.0148991,
Sun Feb 18 06:59:00 2018,8646867,779.085,1514,1514,1088,1513,1940,1514,-7.62939e-06,7.62939e-06,0.9,-0.000234753,0.5,-1.19209e-07,5016,2840,1006,0,32,14,-0.0143652,0.0957681,-10.2137,0.0127707,-0.00744957,0.0138349,4.83984,16.65,42.2672,-0.000234753,0.0138349,
