today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Wed Oct  2 06:09:38 2019,14038825,0,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5524,1212,0,26,10,0.100556,0.047884,-9.65342,0.0138349,-0.0276698,0.0138349,-6.4125,11.475,32.1504,1.64384e-40,0.0138349,
Wed Oct  2 06:09:38 2019,14048826,657.517,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1210,0,28,10,0.114922,0.0814029,-9.62469,0.0159634,-0.0287341,0.0127707,-6.4125,11.475,32.1504,-0.0117378,0.0127707,
Wed Oct  2 06:09:38 2019,14058830,657.517,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5372,5526,1210,0,28,10,0.0622492,0.162806,-9.65342,0.0117065,-0.0276698,0.0138349,-6.4125,11.475,32.1504,-0.0117378,0.0138349,
Wed Oct  2 06:09:38 2019,14068831,657.517,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,6,28,-0.0191536,0,-9.70131,0.0148991,-0.0308625,0.0138349,-6.4125,11.475,32.1504,-0.0117378,0.0138349,
Wed Oct  2 06:09:38 2019,14078832,657.517,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5532,1210,0,6,28,0.0526724,0.0383072,-9.65821,0.0138349,-0.0297983,0.0148991,-6.4125,11.475,32.1504,-0.0117378,0.0148991,
Wed Oct  2 06:09:38 2019,14088833,657.517,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5392,5520,1212,0,8,28,0.0335188,0.0861913,-9.66779,0.0106422,-0.0287341,0.0127707,-6.4125,11.475,32.1504,-0.0117378,0.0127707,
Wed Oct  2 06:09:38 2019,14098834,655.596,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5392,5520,1212,0,8,28,0.023942,0.0047884,-9.69652,0.0148991,-0.0276698,0.0170276,-6.4125,11.475,32.1504,-0.0117378,0.0170276,
Wed Oct  2 06:09:38 2019,14108835,655.596,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1214,0,28,12,0.00957681,0.0622492,-9.65342,0.0106422,-0.0287341,0.0180918,-6.4125,11.475,32.1504,-0.0117378,0.0180918,
Wed Oct  2 06:09:38 2019,14118836,655.596,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5380,5532,1214,0,28,12,0.0814029,-0.0191536,-9.62469,0.0138349,-0.0276698,0.0148991,-6.4125,11.475,32.1504,-0.0117378,0.0148991,
Wed Oct  2 06:09:38 2019,14128839,655.596,1513,1516,1088,1513,1940,1514,-0.0469513,-0.093895,0.9,-0.0117378,0.5,-1.19209e-07,5378,5528,1214,0,26,12,0.0287304,-0.0143652,-9.61033,0.0117065,-0.0308625,0.0127707,-6.4125,11.475,32.1504,-0.0117378,0.0127707,
