today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Sun Feb 18 05:30:16 2018,8011490,0,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,5002,2962,1038,0,8,30,0.134075,0.0383072,-10.3286,0.0042569,-0.0212845,0.0159634,-12.9639,51.1641,39.4383,1.64563e-40,1.50655e-05,
Sun Feb 18 05:30:16 2018,8021491,757.328,1514,1514,1093,1514,1940,1514,-7.62939e-06,7.62939e-06,0.905868,0.055,0.5,-1.19209e-07,4886,2944,1028,0,8,30,0.114922,0.0526724,-10.252,0.00744957,-0.0170276,0.0138349,-12.9639,51.1641,39.4383,0.055,7.19816e-05,
Sun Feb 18 05:30:16 2018,8031494,757.328,1514,1514,1093,1514,1940,1514,-7.62939e-06,7.62939e-06,0.905868,0.055,0.5,-1.19209e-07,4886,2944,1028,0,8,30,0.162806,0.105345,-10.4196,0.00744957,-0.0106422,0.0106422,-12.9639,51.1641,39.4383,0.055,0.000175012,
Sun Feb 18 05:30:16 2018,8041495,757.328,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4968,2950,1042,0,32,14,0.100556,0.00957681,-10.3908,0.0170276,-0.0106422,0.0127707,-12.9639,51.1641,39.4383,0.055,0.000313822,
Sun Feb 18 05:30:16 2018,8051496,757.328,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4968,2950,1042,0,32,14,0.172383,0.0861913,-10.4866,0.0170276,-0.00851379,0.0127707,-12.9639,51.1641,39.4383,0.055,0.000485852,
Sun Feb 18 05:30:16 2018,8061497,757.328,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4968,2946,1038,0,8,32,0.186748,0.0574608,-10.2903,0.0234129,-0.0106422,0.0138349,-12.9639,51.1641,39.4383,0.055,0.000690642,
Sun Feb 18 05:30:16 2018,8071498,757.302,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4968,2946,1038,0,8,32,0.162806,0.100556,-10.3286,0.0223487,-0.0170276,0.0138349,-12.9639,51.1641,39.4383,0.055,0.000926644,
Sun Feb 18 05:30:16 2018,8081499,757.302,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4972,2948,1042,0,30,14,0.201113,0.0526724,-10.4148,0.0202203,-0.0202203,0.0170276,-12.9639,51.1641,39.4383,0.055,0.00119433,
Sun Feb 18 05:30:16 2018,8091500,757.302,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4972,2948,1042,0,30,14,0.0814029,0.0335188,-10.3334,0.00957802,-0.0212845,0.0127707,-12.9639,51.1641,39.4383,0.055,0.00149201,
Sun Feb 18 05:30:16 2018,8101501,757.302,1514,1514,1092,1514,1940,1514,-7.62939e-06,7.62939e-06,0.904695,0.055,0.5,-1.19209e-07,4968,2948,1042,0,8,30,0.124498,0.0143652,-10.501,0.00319267,-0.0180918,0.0180918,-12.9639,51.1641,39.4383,0.055,0.00181601,
