today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],YAW_CMD, YAW_MEAS
Thu Sep 20 22:24:13 2018,9055816,0,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5374,5546,1028,2,28,28,-0.632069,0.023942,-9.50019,0.00319267,-0.0436332,0.00319267,29.9426,60.818,10.9266,1.64159e-40,0.00319267,
Thu Sep 20 22:24:13 2018,9065817,944.472,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5374,5546,1028,2,28,28,-0.641646,0.11971,-9.57202,0.00212845,-0.0361836,0.0042569,29.9426,60.818,10.9266,0,0.0042569,
Thu Sep 20 22:24:13 2018,9075819,944.472,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5388,5522,1028,2,30,28,-0.555455,0.0574608,-9.50019,0,-0.0383121,-0.00106422,29.9426,60.818,10.9266,0,-0.00106422,
Thu Sep 20 22:24:13 2018,9085820,944.472,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5362,5534,1028,0,30,28,-0.632069,0.0335188,-9.64384,0.0042569,-0.0340552,0.0042569,29.9426,60.818,10.9266,0,0.0042569,
Thu Sep 20 22:24:13 2018,9095821,944.472,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5362,5534,1028,0,30,28,-0.670376,-0.00957681,-9.53371,-0.00106422,-0.0393763,0.00106422,29.9426,60.818,10.9266,0,0.00106422,
Thu Sep 20 22:24:13 2018,9105822,944.472,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5366,5534,1028,0,28,28,-0.493206,0.0287304,-9.60554,-0.00319267,-0.0415047,0.00532112,29.9426,60.818,10.9266,0,0.00532112,
Thu Sep 20 22:24:13 2018,9115823,944.107,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5366,5534,1028,0,28,28,-0.6608,0.100556,-9.53371,-0.00212845,-0.0372479,-0,29.9426,60.818,10.9266,0,-0,
Thu Sep 20 22:24:13 2018,9125824,944.107,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5526,1028,2,28,28,-0.584185,0.0861913,-9.5385,-0.00212845,-0.0340552,0.00638535,29.9426,60.818,10.9266,0,0.00638535,
Thu Sep 20 22:24:13 2018,9135825,944.107,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5526,1028,2,28,28,-0.584185,0.0814029,-9.63427,-0.00319267,-0.0393763,0.00212845,29.9426,60.818,10.9266,0,0.00212845,
Thu Sep 20 22:24:13 2018,9145826,944.107,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5526,1028,2,28,28,-0.526724,0.0766145,-9.63427,0.00212845,-0.0372479,0.00319267,29.9426,60.818,10.9266,0,0.00319267,
Thu Sep 20 22:24:13 2018,9155827,944.133,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5528,1028,0,28,28,-0.59855,0.0287304,-9.63906,0,-0.0404405,0.00532112,29.9426,60.818,10.9266,0,0.00532112,
Thu Sep 20 22:24:13 2018,9165828,944.133,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5370,5528,1028,0,28,28,-0.565032,0.0670376,-9.57202,0.00212845,-0.0436332,0.00638535,29.9426,60.818,10.9266,0,0.00638535,
Thu Sep 20 22:24:13 2018,9175829,944.133,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5372,5528,1028,0,30,28,-0.675165,0.0287304,-9.59596,0.00106422,-0.0383121,0.00319267,29.9426,60.818,10.9266,0,0.00319267,
Thu Sep 20 22:24:13 2018,9185830,944.133,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5368,5538,1028,0,28,28,-0.593762,-0.00957681,-9.55287,0.00212845,-0.0415047,0.00319267,29.9426,60.818,10.9266,0,0.00319267,
Thu Sep 20 22:24:13 2018,9195831,944.133,1517,1514,1088,1514,1940,1514,0.140839,7.62939e-06,0.9,0,0.5,-1.19209e-07,5368,5538,1028,0,28,28,-0.646434,-0.0287304,-9.60075,0.00106422,-0.0361836,0.00319267,29.9426,60.818,10.9266,0,0.00319267,
