Time,Strain
11.258,116.879
11.258,117.817
11.258,117.014
11.259,116.668
11.259,116.388
11.26,117.812
11.261,117.531
11.261,117.704
11.261,117.758
11.262,117.397
11.262,116.544
11.263,117.132
11.264,117.699
11.264,117.44
11.264,117.834
11.265,116.534
11.265,117.37
11.266,116.501
11.267,117.008
11.267,117.731
11.268,118.211
11.268,117.289
11.268,116.49
11.269,117.246
11.27,117.057
11.27,117.801
11.271,116.976
11.271,116.809
11.271,117.542
11.272,117.057
11.273,116.997
11.273,118.222
11.274,117.283
11.274,116.614
11.274,117.478
11.275,117.105
11.275,118.179
11.276,117.931
11.277,117.769
11.277,117.591
11.277,117.736
11.278,117.397
11.278,117.699
11.279,117.693
11.28,117.688
11.28,117.618
11.28,117.483
11.281,118.238
11.281,118.227
11.282,118.621
11.283,118.637
11.283,117.494
11.284,118.475
11.284,117.844
11.284,118.243
11.285,116.668
11.286,117.844
11.286,119.004
11.287,117.451
11.287,118.686
11.287,118.33
11.288,118.119
11.288,117.585
11.289,118.065
11.29,117.839
11.29,117.747
11.29,118.945
11.291,117.251
11.291,118.373
11.292,118.648
11.293,117.672
11.293,118.109
11.293,119.241
11.294,118.573
11.294,118.497
11.295,118.055
11.296,119.376
11.296,118.691
11.296,119.058
11.297,117.796
11.297,118.653
11.298,118.697
11.299,118.421
11.299,119.333
11.3,118.303
11.3,118.966
11.3,119.241
11.301,118.896
11.302,118.465
11.302,117.753
11.303,120.088
11.303,118.54
11.303,118.745
11.304,118.502
11.305,118.486
11.305,119.166
11.306,119.349
11.306,119.042
11.306,119.835
11.307,119.678
11.307,118.448
11.308,119.624
11.309,119.479
11.309,119.581
11.309,118.837
11.31,119.549
11.31,119.63
11.311,118.136
11.312,118.513
11.312,119.533
11.312,119.543
11.313,119.058
11.313,119.587
11.314,119.425
11.315,119.765
11.315,119.15
11.316,118.756
11.316,119.495
11.316,119.619
11.317,118.578
11.318,119.312
11.318,119.441
11.319,118.831
11.319,119.193
11.319,119.279
11.32,118.912
11.32,119.797
11.321,119.597
11.322,118.875
11.322,119.543
11.322,119.786
11.323,119.592
11.323,120.326
11.324,119.279
11.325,119.452
11.325,120.45
11.325,120.061
11.326,119.301
11.326,119.878
11.327,121.351
11.328,119.835
11.328,120.067
11.329,121.086
11.329,120.234
11.329,120.941
11.33,120.714
11.331,120.897
11.331,120.692
11.332,120.45
11.332,120.115
11.332,121.038
11.333,120.002
11.334,120.369
11.334,120.719
11.335,120.568
11.335,119.759
11.335,120.18
11.336,121.739
11.337,119.409
11.337,120.024
11.338,120.439
11.338,120.903
11.338,120.725
11.339,120.455
11.339,120.024
11.34,120.234
11.341,121.156
11.341,120.687
11.341,121.771
11.342,120.628
11.342,120.547
11.343,120.353
11.344,121.394
11.344,120.984
11.345,119.651
11.345,120.369
11.345,119.921
11.346,120.466
11.347,121.108
11.347,121.836
11.348,121.021
11.348,121.539
11.348,121.755
11.349,121.631
11.35,120.725
11.35,121.744
11.351,121.906
11.351,121.048
11.351,121.841
11.352,121.021
11.352,121.674
11.353,121.572
11.354,121.199
11.354,121
11.354,121.313
11.355,121.707
11.355,122.127
11.356,121.394
11.357,122.57
11.357,121.377
11.357,121.734
11.358,122.516
11.358,121.658
11.359,121.69
11.36,121.205
11.36,122.494
11.361,121.485
11.361,121.701
11.361,122.041
11.362,121.734
11.363,121.971
11.363,121.906
11.364,122.014
11.364,122.683
11.364,122.143
11.365,121.216
11.366,122.1
11.366,122.348
11.367,122.44
11.367,122.661
11.367,122.208
11.368,122.494
11.368,122.796
11.369,122.381
11.37,122.365
11.37,120.973
11.37,122.235
11.371,122.338
11.371,122.327
11.372,122.23
11.373,121.324
11.373,122.839
11.373,122.284
11.374,122.85
11.374,122.084
11.375,122.575
11.376,122.473
11.376,123.363
11.377,123.228
11.377,124.414
11.377,122.165
11.378,122.526
11.379,122.742
11.379,122.785
11.38,122.683
11.38,123.395
11.38,122.791
11.381,123.125
11.382,123.535
11.382,122.597
11.383,122.899
11.383,122.208
11.383,122.699
11.384,123.19
11.384,122.677
11.385,121.388
11.386,122.731
11.386,123.589
11.386,122.694
11.387,122.904
11.387,122.758
11.388,121.809
11.389,123.675
11.389,122.597
11.389,122.926
11.39,123.977
11.39,123.816
11.391,123.055
11.392,123.449
11.392,123.228
11.393,122.575
11.393,123.406
11.393,124.231
11.394,123.492
11.395,122.694
11.395,124.085
11.396,123.384
11.396,122.866
11.396,123.956
11.397,123.853
11.398,124.409
11.398,124.242
11.399,123.481
11.399,124.069
11.399,124.069
11.4,123.816
11.4,123.368
11.401,123.945
11.402,123.902
11.402,123.082
11.402,123.783
11.403,123.152
11.403,123.81
11.404,123.508
11.405,123.648
11.405,122.969
11.405,123.174
11.406,124.021
11.406,123.983
11.407,124.247
11.408,124.355
11.408,124.172
11.409,124.058
11.409,123.4
11.409,123.449
11.41,124.139
11.411,125.11
11.411,123.708
11.412,124.592
11.412,124.102
11.412,124.42
11.413,123.832
11.414,124.177
11.414,124.787
11.415,124.576
11.415,124.727
11.415,123.568
11.416,124.258
11.416,125.207
11.417,123.886
11.418,124.533
11.418,124.609
11.418,123.735
11.419,124.614
11.419,125.623
11.42,123.05
11.421,124.177
11.421,123.848
11.421,123.621
11.422,125.558
11.422,124.425
11.423,125.277
11.424,124.846
11.424,125.11
11.425,124.868
11.425,125.628
11.425,124.285
11.426,124.215
11.427,124.193
11.427,125.24
11.428,124.711
11.428,125.046
11.428,124.873
11.429,124.247
11.43,125.078
11.43,125.002
11.431,124.846
11.431,125.634
11.431,124.77
11.432,124.948
11.432,125.251
11.433,124.889
11.434,126.168
11.434,126
11.434,125.213
11.435,125.094
11.435,125.18
11.436,126.135
11.437,125.148
11.437,125.526
11.437,126.043
11.438,125.337
11.438,125.191
11.439,125.348
11.44,125.008
11.44,125.218
11.441,125.957
11.441,124.824
11.441,125.725
11.442,126.119
11.443,126.389
11.443,125.687
11.444,126.729
11.444,125.472
11.444,125.143
11.445,126.173
11.445,125.601
11.446,126.351
11.447,126.292
11.447,126.205
11.447,126.065
11.448,126.054
11.448,126
11.449,125.898
11.45,127.306
11.45,125.693
11.45,125.375
11.451,126.917
11.451,126.572
11.452,125.035
11.453,126.599
11.453,126.464
11.454,125.666
11.454,126.853
11.454,126.54
11.455,126.599
11.456,126.691
11.456,127.764
11.457,125.882
11.457,126.534
11.457,127.074
11.458,126.092
11.459,126.615
11.459,127.548
11.46,126.545
11.46,127.004
11.46,127.824
11.461,125.493
11.462,127.214
11.462,127.327
11.463,127.171
11.463,127.516
11.463,126.982
11.464,126.189
11.464,127.759
11.465,127.295
11.466,125.936
11.466,127.128
11.466,127.468
11.467,127.608
11.467,126.642
11.468,127.376
11.469,126.756
11.469,126.804
11.47,127.753
11.47,126.804
11.47,126.75
11.471,126.664
11.472,127.408
11.472,127.737
11.473,127.133
11.473,127.441
11.473,127.592
11.474,127.338
11.475,127.182
11.475,127.484
11.476,126.987
11.476,126.75
11.476,127.824
11.477,127.559
11.477,126.729
11.478,127.948
11.479,128.708
11.479,127.338
11.479,129.124
11.48,127.732
11.48,127.98
11.481,127.829
11.482,128.325
11.482,128.314
11.482,127.414
11.483,127.942
11.483,127.759
11.484,128.05
11.485,128.573
11.485,127.597
11.486,127.964
11.486,128.768
11.486,126.874
11.487,126.621
11.488,128.482
11.488,128.26
11.489,128.066
11.489,128.331
11.489,127.311
11.49,128.309
11.491,128.789
11.491,127.457
11.492,128.029
11.492,128.714
11.492,128.422
11.493,128.352
11.493,128.859
11.494,128.255
11.495,127.408
11.495,128.557
11.495,127.904
11.496,128.595
11.496,128.39
11.497,129.512
11.498,129.151
11.498,128.875
11.498,128.552
11.499,128.757
11.499,128.525
11.5,128.519
11.501,128.638
11.501,129.496
11.502,129.296
11.502,127.263
11.502,128.681
11.503,127.883
11.504,128.552
11.504,128.196
11.505,128.39
11.505,129.739
11.505,129.167
11.506,128.379
11.507,129.291
11.507,128.002
11.508,128.347
11.508,129.393
11.508,128.514
11.509,130.515
11.509,129.426
11.51,129.447
11.511,128.6
11.511,128.395
11.511,129.145
11.512,130.229
11.512,129.846
11.513,128.018
11.514,128.309
11.514,130.084
11.514,128.099
11.515,130.111
11.515,129.102
11.516,129.48
11.517,128.897
11.517,129.62
11.518,129.809
11.518,128.719
11.518,129.307
11.519,129.528
11.52,129.944
11.52,129.431
11.521,128.865
11.521,129.857
11.521,128.465
11.522,129.102
11.523,129.388
11.523,128.606
11.524,128.643
11.524,129.997
11.524,129.269
11.525,129.949
11.525,129.264
11.526,129.124
11.527,129.534
11.527,130.785
11.527,128.714
11.528,129.339
11.528,130.456
11.529,128.946
11.53,129.997
11.53,130.014
11.53,129.96
11.531,130.769
11.531,130.585
11.532,129.733
11.533,129.792
11.533,129.134
11.534,129.296
11.534,130.461
11.534,130.731
11.535,128.73
11.536,128.854
11.536,130.456
11.537,128.406
11.537,129.356
11.537,130.31
11.538,128.768
11.538,130.321
11.539,129.787
11.54,128.773
11.54,130.057
11.54,129.507
11.541,129.426
11.541,129.167
11.542,128.951
11.543,129.377
11.543,129.496
11.543,130.353
11.544,130.041
11.544,130.37
11.545,130.882
11.546,129.712
11.546,130.122
11.546,129.717
11.547,130.353
11.547,129.771
11.548,131.184
11.549,130.008
11.549,129.323
11.55,131.351
11.55,130.461
11.55,129.393
11.551,130.785
11.552,130.656
11.552,129.118
11.553,130.267
11.553,129.825
11.553,130.03
11.554,130.979
11.555,130.709
11.555,130.499
11.556,130.359
11.556,130.224
11.556,130.558
11.557,130.391
11.557,130.364
11.558,130.974
11.559,130.828
11.559,131.173
11.559,130.785
11.56,131.546
11.56,131.368
11.561,130.526
11.562,131.551
11.562,131.179
11.562,130.602
11.563,131.163
11.563,129.938
11.564,130.882
11.565,131.61
11.565,130.672
11.566,130.731
11.566,130.359
11.566,130.753
11.567,130.03
11.568,131.071
11.568,131.67
11.569,130.181
11.569,130.677
11.569,131.616
11.57,130.753
11.57,131.362
11.571,131.184
11.572,131.61
11.572,130.1
11.572,130.726
11.573,130.699
11.573,131.799
11.574,131.238
11.575,130.785
11.575,131.783
11.575,131.54
11.576,131.422
11.576,132.058
11.577,132.274
11.578,130.602
11.578,131.206
11.579,131.966
11.579,132.241
11.579,131.475
11.58,131.826
11.581,132.403
11.581,130.72
11.582,132.511
11.582,132.495
11.582,132.058
11.583,131.546
11.584,131.341
11.584,131.993
11.585,131.664
11.585,131.405
11.585,131.028
11.586,132.193
11.587,131.848
11.587,131.821
11.588,132.419
11.588,132.495
11.588,131.848
11.589,131.907
11.589,131.454
11.59,131.923
11.591,131.918
11.591,133.142
11.591,132.349
11.592,132.268
11.592,131.351
11.593,132.403
11.594,132.549
11.594,132.587
11.595,131.653
11.595,132.975
11.595,132.139
11.596,132.495
11.597,132.646
11.597,133.498
11.598,132.959
11.598,132.738
11.598,133.029
11.599,133.051
11.6,133.202
11.6,132.446
11.601,133.363
11.601,133.061
11.601,131.88
11.602,132.835
11.602,133.245
11.603,134.043
11.604,131.778
11.604,132.285
11.604,132.738
11.605,132.101
11.605,132.916
11.606,132.36
11.607,132.506
11.607,134.237
11.607,132.749
11.608,132.376
11.608,132.856
11.609,132.188
11.61,132.446
11.61,133.234
11.611,133.606
11.611,132.123
11.611,133.018
11.612,134.162
11.613,132.873
11.613,133.444
11.614,132.986
11.614,132.597
11.614,133.666
11.615,133.72
11.616,134.318
11.616,132.781
11.617,133.714
11.617,133.261
11.617,133.849
11.618,134.248
11.619,132.22
11.619,133.105
11.62,132.927
11.62,133.331
11.62,131.983
11.621,132.581
11.621,133.159
11.622,132.376
11.623,133.612
11.623,133.59
11.623,133.132
11.624,134.205
11.624,133.38
11.625,134.232
11.626,133.331
11.626,132.571
11.627,133.153
11.627,134.351
11.627,133.639
11.628,133.752
11.629,134.156
11.629,132.921
11.63,133.283
11.63,133.137
11.63,132.986
11.631,133.871
11.632,134.2
11.632,133.736
11.633,133.288
11.633,133.8
11.633,133.898
11.634,133.407
11.634,134.421
11.635,134.022
11.636,134.129
11.636,134.146
11.636,134.162
11.637,134.21
11.637,133.676
11.638,134.14
11.639,133.628
11.639,134.367
11.639,134.626
11.64,133.552
11.64,133.924
11.641,133.477
11.642,133.396
11.642,134.275
11.643,133.239
11.643,134.054
11.643,134.356
11.644,134.761
11.645,133.693
11.645,134.642
11.646,134.593
11.646,134.604
11.646,134.173
11.647,134.156
11.648,134.728
11.648,134.307
11.649,134.637
11.649,134.55
11.649,133.536
11.65,134.291
11.65,133.741
11.651,134.674
11.652,134.858
11.652,133.919
11.652,134.874
11.653,135.338
11.653,134.399
11.654,134.307
11.655,134.496
11.655,134.771
11.655,135.462
11.656,134.836
11.656,134.971
11.657,134.55
11.658,134.399
11.658,135.737
11.659,134.275
11.659,134.437
11.659,134.534
11.66,135.117
11.661,136.017
11.661,134.674
11.662,134.863
11.662,135.451
11.662,134.982
11.663,134.566
11.663,134.901
11.664,135.192
11.665,134.388
11.665,135.225
11.665,134.054
11.666,135.02
11.666,135.71
11.667,135.386
11.668,135.467
11.668,135.57
11.668,133.984
11.669,134.69
11.669,135.494
11.67,133.989
11.671,135.78
11.671,135.473
11.671,135.241
11.672,135.397
11.672,135.235
11.673,134.944
11.674,134.388
11.674,135.176
11.675,135.494
11.675,135.818
11.675,136.4
11.676,135.613
11.677,136.994
11.677,136.519
11.678,135.144
11.678,134.664
11.678,135.742
11.679,135.403
11.68,135.888
11.68,135.208
11.681,135.683
11.681,134.593
11.681,135.721
11.682,135.3
11.682,135.235
11.683,135.57
11.684,135.656
11.684,134.653
11.684,136.055
11.685,135.904
11.685,134.178
11.686,136.627
11.687,136.535
11.687,136.174
11.687,136.055
11.688,136.039
11.688,135.521
11.689,136.007
11.69,135.559
11.69,135.985
11.691,136.276
11.691,136.897
11.691,136.568
11.692,135.171
11.693,135.419
11.693,136.174
11.694,136.552
11.694,135.764
11.694,135.92
11.695,136.967
11.695,136.719
11.696,136.082
11.697,136.217
11.697,136.007
11.697,135.942
11.698,136.886
11.698,137.177
11.699,136.017
11.7,136.676
11.7,135.672
11.7,136.935
11.701,136.751
11.701,136.055
11.702,135.516
11.703,136.33
11.703,137.458
11.704,136.622
11.704,136.525
11.704,136.158
11.705,137.42
11.706,136.05
11.706,135.985
11.707,136.395
11.707,136.881
11.707,136.816
11.708,136.298
11.709,136.4
11.709,136.891
11.71,136.573
11.71,137.496
11.71,137.549
11.711,136.125
11.712,136.271
11.712,137.517
11.713,136.622
11.713,137.01
11.713,136.94
11.714,136.762
11.714,137.382
11.715,137.485
11.716,136.541
11.716,137.501
11.716,137.123
11.717,137.539
11.717,137.032
11.718,136.724
11.719,136.384
11.719,136.552
11.72,137.436
11.72,136.708
11.72,137.366
11.721,137.21
11.722,137.398
11.722,136.967
11.723,137.792
11.723,137.398
11.723,137.652
11.724,137.965
11.725,136.724
11.725,137.501
11.726,137.879
11.726,136.314
11.726,136.719
11.727,138.121
11.727,137.118
11.728,136.913
11.729,138.062
11.729,138.569
11.729,137.63
11.73,137.005
11.73,137.544
11.731,137.323
11.732,137.781
11.732,138.256
11.732,137.695
11.733,138.607
11.733,138.461
11.734,136.579
11.735,137.474
11.735,137.463
11.736,136.471
11.736,139.227
11.736,137.603
11.737,137.884
11.738,139.243
11.738,136.244
11.739,137.506
11.739,136.724
11.739,137.814
11.74,137.728
11.741,137.571
11.741,139.335
11.742,137.738
11.742,137.15
11.742,136.557
11.743,137.042
11.744,137.334
11.744,139.621
11.745,136.454
11.745,138.957
11.745,138.396
11.746,137.992
11.746,138.148
11.747,138.369
11.748,138.423
11.748,138.332
11.748,138.483
11.749,137.976
11.749,138.51
11.75,137.889
11.751,138.267
11.751,138.645
11.752,138.132
11.752,138.17
11.752,138.251
11.753,139.324
11.754,138.148
11.754,138.618
11.755,137.997
11.755,138.396
11.755,137.868
11.756,138.515
11.757,139.098
11.757,139.222
11.758,139.022
11.758,138.03
11.758,138.434
11.759,138.127
11.759,137.679
11.76,139.184
11.761,138.893
11.761,137.738
11.761,138.612
11.762,138.003
11.762,138.596
11.763,138.477
11.764,139.065
11.764,139.286
11.764,139.114
11.765,139.011
11.765,138.79
11.766,138.558
11.767,138.353
11.767,138.952
11.768,139.513
11.768,139.637
11.768,137.582
11.769,138.499
11.77,139.589
11.77,138.596
11.771,138.941
11.771,138.882
11.771,138.72
11.772,138.461
11.773,139.804
11.773,139.211
11.774,138.154
11.774,139.837
11.774,138.515
11.775,139.432
11.775,139.513
11.776,139.61
11.777,139.141
11.777,139.788
11.777,138.941
11.778,139.874
11.778,139.022
11.779,139.292
11.78,139.222
11.78,139.788
11.78,138.93
11.781,139.562
11.781,139.017
11.782,139.427
11.783,139.934
11.783,138.65
11.784,139.243
11.784,140.16
11.784,139.616
11.785,139.594
11.786,139.281
11.786,140.344
11.787,139.427
11.787,138.979
11.787,139.103
11.788,139.696
11.788,139.891
11.789,139.27
11.79,140.214
11.79,139.303
11.79,139.653
11.791,139.653
11.791,139.141
11.792,139.999
11.793,139.955
11.793,139.421
11.793,139.518
11.794,141.509
11.794,139.292
11.795,140.268
11.796,139.842
11.796,140.705
11.796,141.234
11.797,140.484
11.797,139.874
11.798,139.562
11.799,140.419
11.799,139.292
11.8,140.365
11.8,139.972
11.8,140.268
11.801,140.824
11.802,140.144
11.802,139.982
11.803,140.657
11.803,140.754
11.803,139.756
11.804,140.781
11.805,139.794
11.805,140.484
11.806,141.32
11.806,140.581
11.806,140.301
11.807,140.533
11.807,139.831
11.808,139.47
11.809,140.15
11.809,138.85
11.809,140.522
11.81,139.669
11.81,141.158
11.811,140.398
11.812,139.955
11.812,141.568
11.812,139.901
11.813,141.568
11.813,140.036
11.814,140.921
11.815,141.714
11.815,141.757
11.816,140.738
11.816,140.829
11.816,139.756
11.817,140.29
11.818,141.466
11.818,141.18
11.819,140.824
11.819,140.015
11.819,141.007
11.82,140.15
11.82,140.872
11.821,140.608
11.822,140.495
11.822,140.473
11.822,140.581
11.823,140.721
11.823,141.266
11.824,140.716
11.825,140.932
11.825,141.455
11.825,141.509
11.826,141.547
11.826,140.872
11.827,141.196
11.828,140.608
11.828,141.52
11.829,141.309
11.829,140.894
11.829,141.994
11.83,141.164
11.831,141.531
11.831,141.806
11.832,141.347
11.832,141.574
11.832,140.759
11.833,140.84
11.834,140.565
11.834,141.752
11.835,140.333
11.835,140.818
11.835,141.342
11.836,142.059
11.837,142.016
11.837,141.304
11.838,141.584
11.838,141.579
11.838,140.899
11.839,141.595
11.839,142.102
11.84,141.417
11.841,141.827
11.841,141.638
11.841,141.191
11.842,140.689
11.842,141.061
11.843,141.887
11.844,141.719
11.844,141.536
11.845,141.676
11.845,141.741
11.845,142.038
11.846,141.994
11.847,142.345
11.847,142.151
11.848,143.23
11.848,142.307
11.848,142.512
11.849,142.307
11.85,142.259
11.85,143.003
11.851,142.372
11.851,142.512
11.851,141.784
11.852,140.824
11.852,142.377
11.853,142.685
11.854,140.883
11.854,142.566
11.854,142.577
11.855,142.858
11.855,142.69
11.856,142.475
11.857,141.941
11.857,141.784
11.857,142.307
11.858,142.318
11.858,143.365
11.859,142.712
11.86,142.561
11.86,142.572
11.861,143.354
11.861,142.259
11.861,142.863
11.862,142.901
11.863,142.75
11.863,142.437
11.864,143.365
11.864,143.025
11.864,142.119
11.865,143.068
11.866,143.143
11.866,141.827
11.867,142.971
11.867,142.793
11.867,143.78
11.868,142.955
11.869,142.912
11.869,142.205
11.87,143.203
11.87,143.203
11.87,142.534
11.871,143.262
11.871,143.003
11.872,142.96
11.873,142.965
11.873,143.235
11.873,143.348
11.874,142.329
11.874,142.216
11.875,142.529
11.876,142.858
11.876,143.98
11.877,143.316
11.877,144.023
11.877,143.613
11.878,142.89
11.879,143.424
11.879,143.419
11.88,142.938
11.88,143.748
11.88,143.23
11.881,142.766
11.882,143.419
11.882,143.187
11.883,143.181
11.883,143.564
11.883,142.895
11.884,142.41
11.884,143.348
11.885,143.721
11.886,143.429
11.886,144.141
11.886,142.669
11.887,142.092
11.887,144.168
11.888,142.987
11.889,143.392
11.889,142.863
11.889,142.162
11.89,142.502
11.89,143.143
11.891,142.199
11.892,142.561
11.892,143.764
11.893,142.965
11.893,143.402
11.893,143.688
11.894,144.212
11.895,143.1
11.895,143.656
11.896,143.909
11.896,144.53
11.896,143.909
11.897,144.503
11.898,143.51
11.898,143.591
11.899,143.661
11.899,142.847
11.899,143.127
11.9,143.413
11.9,143.095
11.901,143.348
11.902,144.249
11.902,143.284
11.902,142.183
11.903,144.503
11.903,142.712
11.904,143.532
11.905,143.338
11.905,143.057
11.905,143.872
11.906,144.438
11.906,143.651
11.907,144.141
11.908,143.478
11.908,144.212
11.909,143.338
11.909,144.195
11.909,144.168
11.91,143.796
11.911,145.949
11.911,143.17
11.912,145.053
11.912,145.112
11.912,144.551
11.913,144.632
11.913,144.174
11.914,144.438
11.915,144.179
11.915,143.613
11.915,143.861
11.916,143.597
11.916,144.746
11.917,144.864
11.918,144.541
11.918,144.88
11.918,143.672
11.919,144.017
11.919,145.905
11.92,144.632
11.921,144.476
11.921,144.794
11.921,144.276
11.922,145.749
11.922,144.309
11.923,144.352
11.924,145.253
11.924,143.839
11.925,144.875
11.925,144.379
11.925,145.129
11.926,144.546
11.927,144.783
11.927,144.659
11.928,144.875
11.928,144.433
11.928,145.415
11.929,144.864
11.93,144.535
11.93,144.222
11.931,145.253
11.931,144.827
11.931,144.352
11.932,145.242
11.932,145.037
11.933,145.145
11.934,145.183
11.934,145.657
11.934,145.571
11.935,145.323
11.935,144.945
11.936,145.323
11.937,145.431
11.937,144.681
11.937,145.026
11.938,144.978
11.938,144.292
11.939,145.301
11.94,144.994
11.94,145.085
11.941,145.668
11.941,145.533
11.941,144.675
11.942,145.458
11.943,144.929
11.943,144.816
11.944,144.568
11.944,146.423
11.944,144.713
11.945,145.317
11.945,145.355
11.946,145.587
11.947,144.951
11.947,145.835
11.947,145.965
11.948,145.819
11.948,145.447
11.949,145.835
11.95,146.17
11.95,146.008
11.95,145.587
11.951,144.185
11.951,145.663
11.952,145.053
11.953,145.851
11.953,145.954
11.954,144.352
11.954,145.517
11.954,145.048
11.955,145.571
11.956,145.814
11.956,146.898
11.957,145.711
11.957,145.199
11.957,146.261
11.958,145.9
11.959,145.555
11.959,146.617
11.96,145.932
11.96,145.62
11.96,146.434
11.961,145.242
11.962,146.148
11.962,146.493
11.963,146.531
11.963,146.92
11.963,145.927
11.964,145.862
11.964,145.593
11.965,146.191
11.966,145.997
11.966,145.911
11.966,146.574
11.967,145.711
11.967,146.218
11.968,146.537
11.969,145.868
11.969,145.458
11.97,147.173
11.97,145.258
11.97,145.528
11.971,145.851
11.972,146.52
11.972,147.071
11.973,146.979
11.973,146.493
11.973,146.186
11.974,146.661
11.975,146.283
11.975,146.553
11.976,145.97
11.976,146.423
11.976,146.294
11.977,147.853
11.977,147.141
11.978,145.663
11.979,146.742
11.979,147.06
11.979,146.828
11.98,146.51
11.98,146.38
11.981,147.119
11.982,147.146
11.982,147.896
11.982,147.934
11.983,147.853
11.983,147.324
11.984,147.696
11.985,146.51
11.985,146.574
11.986,146.191
11.986,146.849
11.986,147.184
11.987,146.132
11.988,147.103
11.988,147.038
11.989,146.461
11.989,147.049
11.989,146.866
11.99,147.373
11.991,146.617
11.991,147.637
11.992,147.373
11.992,147.518
11.992,147.292
11.993,147.437
11.994,147.2
11.994,147.378
11.995,146.04
11.995,148.16
11.995,147.114
11.996,147.335
11.996,147.087
11.997,146.725
11.998,147.615
11.998,146.472
11.998,147.184
11.999,148.004
11.999,147.972
12,156.98
12.001,154.817
12.001,156.436
12.002,156.177
12.002,155.68
12.002,156.295
12.003,156.436
12.004,156.522
12.004,155.238
12.005,156.112
12.005,156.587
12.005,155.017
12.006,156.344
12.007,156.295
12.007,156.419
12.008,156.204
12.008,156.079
12.008,156.997
12.009,156.382
12.009,156.22
12.01,156.792
12.011,156.355
12.011,157.655
12.011,155.745
12.012,156.263
12.012,156.403
12.013,156.619
12.014,156.268
12.014,156.754
12.014,156.112
12.015,155.696
12.015,156.862
12.016,157.018
12.017,157.131
12.017,155.54
12.018,156.128
12.018,156.84
12.018,156.662
12.019,156.662
12.02,156.759
12.02,157.282
12.021,156.581
12.021,155.864
12.021,156.624
12.022,155.594
12.023,156.171
12.023,156.808
12.024,156.813
12.024,157.007
12.024,157.407
12.025,157.158
12.025,157.034
12.026,156.678
12.027,157.218
12.027,157.39
12.027,156.436
12.028,156.382
12.028,157.002
12.029,156.365
12.03,157.067
12.03,157.428
12.03,157.412
12.031,157.487
12.031,156.705
12.032,157.417
12.033,157.87
12.033,157.045
12.034,157.827
12.034,158.491
12.034,156.543
12.035,156.98
12.036,156.872
12.036,157.185
12.037,158.302
12.037,156.738
12.037,158.119
12.038,158.264
12.039,157.779
12.039,156.775
12.04,158.054
12.04,158.227
12.04,156.365
12.041,157.951
12.041,157.315
12.042,156.921
12.043,158.448
12.043,158.097
12.043,158.61
12.044,157.844
12.044,157.552
12.045,157.309
12.046,158.426
12.046,158.146
12.046,157.736
12.047,158.405
12.047,157.741
12.048,157.326
12.049,157.806
12.049,158.2
12.05,157.11
12.05,158.075
12.05,157.703
12.051,158.065
12.052,157.779
12.052,157.007
12.053,157.865
12.053,157.088
12.053,159.138
12.054,158.081
12.055,157.714
12.055,158.356
12.056,157.714
12.056,158.232
12.056,159.084
12.057,157.39
12.057,158.41
12.058,159.171
12.059,158.313
12.059,158.216
12.059,158.572
12.06,157.461
12.06,159.537
12.061,157.757
12.062,159.047
12.062,159.138
12.062,158.016
12.063,157.73
12.063,158.232
12.064,158.777
12.065,158.361
12.065,157.995
12.066,159.144
12.066,159.068
12.066,158.432
12.067,157.649
12.068,158.259
12.068,158.442
12.069,158.183
12.069,159.947
12.069,158.545
12.07,158.318
12.07,159.176
12.071,158.939
12.072,159.198
12.072,159.737
12.072,157.887
12.073,159.117
12.073,159.149
12.074,157.908
12.075,160.104
12.075,159.532
12.075,159.305
12.076,159.834
12.076,158.658
12.077,158.626
12.078,158.836
12.078,158.782
12.079,158.933
12.079,159.586
12.079,159.467
12.08,159.629
12.081,159.408
12.081,158.669
12.082,158.032
12.082,159.359
12.082,160.001
12.083,158.561
12.084,159.354
12.084,159.289
12.085,158.383
12.085,158.852
12.085,159.203
12.086,159.327
12.086,160.039
12.087,159.591
12.088,159.025
12.088,160.341
12.088,159.219
12.089,158.75
12.089,159.057
12.09,160.498
12.091,158.933
12.091,159.678
12.091,160.233
12.092,160.217
12.092,159.084
12.093,160.028
12.094,160.314
12.094,159.575
12.095,160.471
12.095,160.33
12.095,159.483
12.096,159.305
12.097,160.584
12.097,159.899
12.098,159.597
12.098,159.732
12.098,158.604
12.099,160.406
12.1,160.05
12.1,160.012
12.101,159.786
12.101,160.789
12.101,160.481
12.102,160.692
12.102,160.778
12.103,159.699
12.104,160.217
12.104,160.104
12.104,160.395
12.105,159.397
12.105,160.147
12.106,159.656
12.107,160.649
12.107,160.239
12.107,160.627
12.108,160.46
12.108,160.519
12.109,161.264
12.11,159.618
12.11,161.582
12.111,161.442
12.111,161.037
12.111,160.077
12.112,160.471
12.113,161.479
12.113,160.411
12.114,161.048
12.114,161.496
12.114,161.07
12.115,160.508
12.116,160.821
12.116,161.458
12.117,160.535
12.117,160.962
12.117,160.902
12.118,160.638
12.118,160.67
12.119,161.301
12.12,161.431
12.12,160.891
12.12,160.794
12.121,160.859
12.121,161.183
12.122,161.765
12.123,161.49
12.123,160.924
12.123,161.965
12.124,160.913
12.124,161.884
12.125,163.254
12.126,161.889
12.126,160.638
12.127,161.496
12.127,162.677
12.127,161.485
12.128,160.821
12.129,161.782
12.129,161.091
12.13,161.372
12.13,162.585
12.13,161.668
12.131,162.531
12.132,161.479
12.132,161.15
