today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1
Mon Feb  5 11:25:14 2018,4432759,743.251,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1206,0,66,24,0.0814029,0.172383,-10.2807,0.00638535,-0.019156,0.00851379,-29.0391,23.2406,45.5953,-0.453596,
Mon Feb  5 11:25:14 2018,4442760,743.251,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1210,0,16,60,0.124498,0.172383,-10.2424,0.00212845,-0.0148991,0.0117065,-29.0391,23.2406,45.5953,-0.69631,
Mon Feb  5 11:25:14 2018,4452761,743.251,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1210,0,16,60,0.100556,0.162806,-10.228,0.00106422,-0.019156,0.0106422,-29.0391,23.2406,45.5953,-0.563212,
Mon Feb  5 11:25:14 2018,4462762,743.251,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,16,1202,0,16,60,0.124498,0.186748,-10.228,0.00212845,-0.019156,0.00851379,-29.0391,23.2406,45.5953,-0.69727,
Mon Feb  5 11:25:14 2018,4472763,743.251,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,16,1202,0,16,60,0.100556,0.225055,-10.2615,0.00851379,-0.0148991,0.0106422,-29.0391,23.2406,45.5953,-0.561308,
Mon Feb  5 11:25:14 2018,4482764,743.251,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1202,0,62,24,0.0861913,0.253785,-10.228,0.00638535,-0.0138349,0.00638535,-29.0391,23.2406,45.5953,-0.48267,
Mon Feb  5 11:25:14 2018,4492765,743.069,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1202,0,62,24,0.0909797,0.215478,-10.1418,0.00319267,-0.0138349,0.00532112,-29.0391,23.2406,45.5953,-0.513855,
Mon Feb  5 11:25:14 2018,4502766,743.069,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,16,24,0,0.215478,-10.2903,0.0042569,-0.0148991,0.00957802,-29.0391,22.8938,44.9297,-0,
Mon Feb  5 11:25:14 2018,4512767,743.069,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,16,24,0.0383072,0.196325,-10.2568,0.00212845,-0.0148991,0.00851379,-29.0391,22.8938,44.9297,-0.21395,
Mon Feb  5 11:25:14 2018,4522768,743.069,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1210,0,16,60,0.0766145,0.23942,-10.3382,0.00319267,-0.0148991,0.00532112,-29.0391,22.8938,44.9297,-0.424488,
Mon Feb  5 11:25:14 2018,4532769,745.815,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1210,0,16,60,0.100556,0.181959,-10.3382,0.0042569,-0.0148991,0.0106422,-29.0391,22.8938,44.9297,-0.557196,
Mon Feb  5 11:25:14 2018,4542770,745.815,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1212,0,62,60,0.11971,0.196325,-10.2951,0.0042569,-0.0148991,0.00957802,-29.0391,22.8938,44.9297,-0.666079,
Mon Feb  5 11:25:14 2018,4552771,745.815,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1212,0,62,60,0.0526724,0.220267,-10.3621,0.0042569,-0.0159634,0.00532112,-29.0391,22.8938,44.9297,-0.291176,
Mon Feb  5 11:25:14 2018,4562772,745.815,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,62,24,0.153229,0.0909797,-10.4148,0.00212845,-0.0127707,0.0106422,-29.0391,22.8938,44.9297,-0.842879,
Mon Feb  5 11:25:14 2018,4572773,745.815,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,14,1202,0,62,24,0.134075,0.158017,-10.252,0.00212845,-0.0127707,0.00957802,-29.0391,22.8938,44.9297,-0.749183,
Mon Feb  5 11:25:14 2018,4582774,745.815,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1210,0,16,60,0.0335188,0.191536,-10.3334,0.00532112,-0.0170276,0.00638535,-29.0391,22.8938,44.9297,-0.18582,
Mon Feb  5 11:25:14 2018,4592775,741.722,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1210,0,16,60,0.143652,0.158017,-10.2759,-0.00106422,-0.0159634,0.00638535,-29.0391,22.8938,44.9297,-0.800819,
Mon Feb  5 11:25:14 2018,4602776,741.722,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,12,1210,0,62,24,0.0047884,0.21069,-10.228,0.00106422,-0.0127707,0.0117065,-29.0391,22.8938,44.9297,-0.0268182,
Mon Feb  5 11:25:14 2018,4612777,741.722,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,12,1210,0,62,24,0.0430956,0.172383,-10.2951,0.00106422,-0.0148991,0.0106422,-29.0391,22.8938,44.9297,-0.239808,
Mon Feb  5 11:25:14 2018,4622778,741.722,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4902,12,1204,0,16,24,0.110133,0.263362,-10.1418,0.00319267,-0.0148991,0.00744957,-29.0391,22.8938,44.9297,-0.621958,
Mon Feb  5 11:25:14 2018,4632779,747.483,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4902,12,1204,0,16,24,0.0766145,0.292093,-10.2568,-0.00106422,-0.0148991,0.00957802,-29.0391,22.8938,44.9297,-0.427798,
Mon Feb  5 11:25:14 2018,4642780,747.483,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4898,12,1202,0,16,62,0.0430956,0.138864,-10.3046,0.00212845,-0.0138349,0.00957802,-29.0391,22.8938,44.9297,-0.239597,
Mon Feb  5 11:25:14 2018,4652781,747.483,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4898,12,1202,0,16,62,0.124498,0.143652,-10.2951,0.00212845,-0.0159634,0.0106422,-29.0391,22.8938,44.9297,-0.692778,
Mon Feb  5 11:25:14 2018,4662782,747.483,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1208,0,62,24,0.0814029,0.248997,-10.2089,0.00319267,-0.0159634,0.00319267,-29.0391,22.8938,44.9297,-0.456716,
Mon Feb  5 11:25:14 2018,4672783,747.483,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1208,0,62,24,0.0622492,0.138864,-10.2185,0.00638535,-0.0170276,0.00851379,-29.0391,22.8938,44.9297,-0.349001,
Mon Feb  5 11:25:14 2018,4682784,747.483,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1202,0,16,62,0.105345,0.181959,-10.4339,0.00319267,-0.0170276,0.00638535,-29.0391,22.8938,44.9297,-0.578372,
Mon Feb  5 11:25:14 2018,4692785,744.407,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1202,0,16,62,0.0861913,0.220267,-10.2807,0.00106422,-0.0127707,0.00638535,-29.0391,22.8938,44.9297,-0.480234,
Mon Feb  5 11:25:14 2018,4702786,744.407,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1208,0,16,58,-0.00957681,0.225055,-10.2807,0.00106422,-0.0138349,0.00957802,-29.0391,22.8938,44.9297,0.0533601,
Mon Feb  5 11:25:14 2018,4712787,744.407,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1208,0,16,58,-0.023942,0.105345,-10.2328,0.00638535,-0.0170276,0.00744957,-29.0391,22.8938,44.9297,0.134049,
Mon Feb  5 11:25:14 2018,4722788,744.407,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1206,0,16,24,0.0957681,0.23942,-10.2855,0.00212845,-0.019156,0.00638535,-29.0391,22.8938,44.9297,-0.53332,
Mon Feb  5 11:25:14 2018,4732789,745.432,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1206,0,16,24,0.023942,0.153229,-10.252,0.00212845,-0.0127707,0.00851379,-29.0391,22.8938,44.9297,-0.133791,
Mon Feb  5 11:25:14 2018,4742790,745.432,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4898,12,1208,0,66,24,0.0047884,0.158017,-10.2472,-0.0042569,-0.0180918,0.00957802,-29.0391,22.8938,44.9297,-0.0267705,
Mon Feb  5 11:25:14 2018,4752791,745.432,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4898,12,1208,0,66,24,0.0047884,0.244209,-10.3477,-0.00106422,-0.0117065,0.00957802,-29.0391,22.8938,44.9297,-0.0265062,
Mon Feb  5 11:25:14 2018,4762792,745.432,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1204,0,62,22,0.00957681,0.129287,-10.3813,0.00638535,-0.0148991,0.00957802,-29.0391,22.8938,44.9297,-0.0528518,
Mon Feb  5 11:25:14 2018,4772793,745.432,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1204,0,62,22,0.0909797,0.186748,-10.2759,0.00106422,-0.0159634,0.00638535,-29.0391,22.8938,44.9297,-0.507182,
Mon Feb  5 11:25:14 2018,4782794,745.432,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1204,0,62,62,0.0766145,0.148441,-10.2807,0.00319267,-0.0148991,0.00851379,-29.0391,22.8938,44.9297,-0.426931,
Mon Feb  5 11:25:14 2018,4792795,740.453,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1204,0,62,62,0.0622492,0.143652,-10.3286,0.00319267,-0.0127707,0.00744957,-29.0391,22.8938,44.9297,-0.345278,
Mon Feb  5 11:25:14 2018,4802796,740.453,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1212,0,16,24,0.0047884,0.186748,-10.1849,0.00319267,-0.0148991,0.00638535,-29.0391,22.8938,44.9297,-0.0269328,
Mon Feb  5 11:25:14 2018,4812797,740.453,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,14,1212,0,16,24,0.0574608,0.196325,-10.2089,0.00212845,-0.0106422,0.00744957,-29.0391,22.8938,44.9297,-0.322427,
Mon Feb  5 11:25:14 2018,4822798,740.453,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,16,1204,0,62,24,-0.0526724,0.181959,-10.3046,0,-0.0138349,0.0117065,-29.0391,22.8938,44.9297,0.292821,
Mon Feb  5 11:25:14 2018,4832799,743.373,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,16,1204,0,62,24,0.0861913,0.158017,-10.1323,0.00212845,-0.0106422,0.00851379,-29.0391,22.8938,44.9297,-0.487322,
Mon Feb  5 11:25:14 2018,4842800,743.373,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,16,1210,0,16,62,-0.0191536,0.162806,-10.2137,0.00319267,-0.0148991,0.0106422,-29.0391,22.8938,44.9297,0.107433,
Mon Feb  5 11:25:14 2018,4852801,743.373,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,16,1210,0,16,62,0.124498,0.167594,-10.2568,0.00106422,-0.0170276,0.00638535,-29.0391,22.8938,44.9297,-0.69534,
Mon Feb  5 11:25:14 2018,4862802,743.373,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,12,1210,0,16,62,0.0191536,0.191536,-10.3286,0.00106422,-0.0170276,0.00851379,-29.0391,22.8938,44.9297,-0.106232,
Mon Feb  5 11:25:14 2018,4872803,743.373,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4906,12,1210,0,16,62,0.0574608,0.110133,-10.4483,0.00212845,-0.0159634,0.00744957,-29.0391,22.8938,44.9297,-0.31508,
Mon Feb  5 11:25:14 2018,4882804,743.373,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1206,0,64,24,0.148441,0.268151,-10.1849,0.00106422,-0.0159634,0.00744957,-27.6562,22.2,44.2641,-0.83471,
Mon Feb  5 11:25:14 2018,4892805,747.752,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1206,0,64,24,0.00957681,0.172383,-10.3238,0,-0.0138349,0.0117065,-27.6562,22.2,44.2641,-0.0531427,
Mon Feb  5 11:25:14 2018,4902806,747.752,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,16,1204,0,62,62,0.0861913,0.143652,-10.1993,0,-0.0159634,0.00851379,-27.6562,22.2,44.2641,-0.48413,
Mon Feb  5 11:25:14 2018,4912807,747.752,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4904,16,1204,0,62,62,0.023942,0.153229,-10.3382,-0.00319267,-0.0138349,0.00957802,-27.6562,22.2,44.2641,-0.132676,
Mon Feb  5 11:25:14 2018,4922808,747.752,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1210,0,16,60,0.196325,0.220267,-10.3573,0.0042569,-0.0148991,0.00957802,-27.6562,22.2,44.2641,-1.08567,
Mon Feb  5 11:25:14 2018,4932809,745.267,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1210,0,16,60,0.0909797,0.205901,-10.3621,0.00319267,-0.0117065,0.00638535,-27.6562,22.2,44.2641,-0.502947,
Mon Feb  5 11:25:14 2018,4942810,745.267,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1202,0,62,24,0.0526724,0.129287,-10.2711,0.00212845,-0.0180918,0.00532112,-27.6562,22.2,44.2641,-0.293799,
Mon Feb  5 11:25:14 2018,4952811,745.267,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1202,0,62,24,0.0861913,0.153229,-10.1275,0.00319267,-0.0148991,0.00957802,-27.6562,22.2,44.2641,-0.487556,
Mon Feb  5 11:25:14 2018,4962812,745.267,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1204,0,62,24,0.0766145,0.186748,-10.1754,0.00106422,-0.0148991,0.00957802,-27.6562,22.2,44.2641,-0.431323,
Mon Feb  5 11:25:14 2018,4972813,745.267,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,16,1204,0,62,24,0.0143652,0.225055,-10.1658,0.00212845,-0.0170276,0.00319267,-27.6562,22.2,44.2641,-0.0809445,
Mon Feb  5 11:25:14 2018,4982814,745.267,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4874,14,1200,0,16,24,0.0670376,0.172383,-10.2328,0,-0.0127707,0.00638535,-27.6562,22.2,44.2641,-0.3753,
Mon Feb  5 11:25:14 2018,4992815,741.905,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4874,14,1200,0,16,24,0.143652,0.105345,-10.3286,0,-0.0170276,0.00744957,-27.6562,22.2,44.2641,-0.796789,
Mon Feb  5 11:25:14 2018,5002816,741.905,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1208,0,62,62,0.0670376,0.181959,-10.386,0.00212845,-0.0148991,0.00957802,-27.6562,22.2,44.2641,-0.369759,
Mon Feb  5 11:25:14 2018,5012817,741.905,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,16,1208,0,62,62,0.0622492,0.201113,-10.1514,0.00212845,-0.0170276,0.00957802,-27.6562,22.2,44.2641,-0.351269,
Mon Feb  5 11:25:14 2018,5022818,741.905,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1204,0,16,60,0.0766145,0.129287,-10.2903,0.0042569,-0.0202203,0.00744957,-27.6562,22.2,44.2641,-0.426544,
Mon Feb  5 11:25:14 2018,5032819,742.148,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1204,0,16,60,0.0574608,0.220267,-10.2472,0.00532112,-0.0127707,0.00851379,-27.6562,22.2,44.2641,-0.321207,
Mon Feb  5 11:25:14 2018,5042820,742.148,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1204,0,16,24,0.0909797,0.167594,-10.2089,0.0042569,-0.0127707,0.00532112,-27.6562,22.2,44.2641,-0.510527,
Mon Feb  5 11:25:14 2018,5052821,742.148,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,14,1204,0,16,24,0.071826,0.158017,-10.2328,0.00212845,-0.0148991,0.00638535,-27.6562,22.2,44.2641,-0.402115,
Mon Feb  5 11:25:14 2018,5062822,742.148,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,8,1208,0,62,24,0.0909797,0.248997,-10.1993,0.00319267,-0.0170276,0.00957802,-27.6562,22.2,44.2641,-0.510923,
Mon Feb  5 11:25:14 2018,5072823,742.148,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4912,8,1208,0,62,24,0.0047884,0.23942,-10.2903,0.00319267,-0.0138349,0.00851379,-27.6562,22.2,44.2641,-0.0266544,
