0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:24:36 2018,4410850,760.595,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,16,1208,0,64,24,5.27203,-1.5275,-8.74841,0.0574681,-0.0638535,-0.0223487,-52.7197,46.6547,23.1305,-30.6953,-0.434146
Mon Feb  5 12:24:36 2018,4420851,760.595,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1202,0,16,60,5.13317,-1.58017,-8.88728,0.061725,-0.0606608,-0.0266056,-52.7197,46.6547,23.1305,-29.6255,-0.469817
Mon Feb  5 12:24:36 2018,4430852,760.595,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4908,12,1202,0,16,60,5.10923,-1.45567,-8.90164,0.0542754,-0.0489543,-0.042569,-52.7197,46.6547,23.1305,-29.529,-0.501219
Mon Feb  5 12:24:36 2018,4440853,760.595,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1204,0,16,60,4.97515,-1.46046,-8.90643,0.0585323,-0.0361836,-0.0500185,-52.7197,46.6547,23.1305,-28.8653,-0.525609
Mon Feb  5 12:24:36 2018,4450854,761.272,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1204,0,16,60,5.02304,-1.35512,-9.12191,0.0457616,-0.0361836,-0.0574681,-52.7197,46.6547,23.1305,-28.5762,-0.546341
Mon Feb  5 12:24:36 2018,4460855,761.272,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1208,0,62,24,5.04698,-1.34075,-8.99741,0.0361836,-0.0287341,-0.0670461,-52.7197,46.6547,23.1305,-29.022,-0.564939
Mon Feb  5 12:24:36 2018,4470856,761.272,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1208,0,62,24,5.00867,-1.46046,-8.76278,0.032991,-0.0244772,-0.0691746,-52.7197,46.6547,23.1305,-29.4146,-0.580182
Mon Feb  5 12:24:36 2018,4480857,761.272,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1206,0,62,24,5.09965,-1.39343,-8.84418,0.0202203,-0.0138349,-0.0702388,-52.7197,46.6547,23.1305,-29.6652,-0.591158
Mon Feb  5 12:24:36 2018,4490858,761.272,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1206,0,62,24,5.28161,-1.2785,-8.69574,0.00957802,-0.00851379,-0.0595966,-52.7197,46.6547,23.1305,-31.0024,-0.59756
Mon Feb  5 12:24:36 2018,4500859,761.272,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,14,1202,0,62,26,5.35344,-1.17316,-8.79151,0.0106422,0.00319267,-0.0553397,-52.7197,46.6547,23.1305,-31.1144,-0.599085
