today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:08:47 2018,4445761,757.971,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4918,14,1210,0,60,24,0.172383,0.162806,-10.2999,0.00106422,-0.0159634,0.00744957,-35.7803,44.5734,43.432,-0.958716,-0.185671,
Mon Feb  5 12:08:47 2018,4455762,757.971,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,12,1204,0,60,24,-0.0143652,0.215478,-10.3669,0.00744957,-0.0170276,0.00744957,-35.7803,44.5734,43.432,0.0793765,-0.195122,
Mon Feb  5 12:08:47 2018,4465763,757.971,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,12,1204,0,60,24,-0.0143652,0.162806,-10.2807,0.00744957,-0.0170276,0.00106422,-35.7803,44.5734,43.432,0.0800492,-0.204878,
Mon Feb  5 12:08:47 2018,4475764,757.971,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1202,0,16,64,0.0430956,0.138864,-10.2232,0.00106422,-0.019156,0.00744957,-35.7803,44.5734,43.432,-0.241504,-0.215244,
Mon Feb  5 12:08:47 2018,4485765,757.971,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4920,12,1202,0,16,64,0.124498,0.191536,-10.2951,0.00319267,-0.00957802,0.0106422,-35.7803,44.5734,43.432,-0.692726,-0.223475,
Mon Feb  5 12:08:47 2018,4495766,757.971,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,16,62,0.105345,0.143652,-10.2328,0.00212845,-0.019156,0.00851379,-35.7803,44.5734,43.432,-0.58977,-0.231707,
Mon Feb  5 12:08:47 2018,4505767,759.5,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4914,12,1202,0,16,62,0.0191536,0.201113,-10.3573,0.00212845,-0.0180918,0.00851379,-36.9902,45.7875,42.2672,-0.105936,-0.242378,
Mon Feb  5 12:08:47 2018,4515768,759.5,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,12,1204,0,60,62,0.0574608,0.272939,-10.2999,0.00319267,-0.0159634,0.0106422,-36.9902,45.7875,42.2672,-0.319526,-0.252134,
Mon Feb  5 12:08:47 2018,4525769,759.5,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,12,1204,0,60,62,0.158017,0.186748,-10.252,0.00638535,-0.0138349,0.00744957,-36.9902,45.7875,42.2672,-0.882904,-0.260671,
Mon Feb  5 12:08:47 2018,4535770,759.5,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4934,12,1204,0,60,62,0.0766145,0.148441,-10.4004,0.00319267,-0.0170276,0.00957802,-36.9902,45.7875,42.2672,-0.422018,-0.269512,
Mon Feb  5 12:08:47 2018,4545771,759.178,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4924,14,1208,0,60,24,0.0383072,0.186748,-10.2855,0.00212845,-0.0180918,0.00319267,-36.9902,45.7875,42.2672,-0.213356,-0.279573,
