today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2], pitch1, pitch2
Mon Feb  5 12:05:44 2018,4444836,758.657,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1200,0,58,24,0.0430956,0.229843,-10.4435,0.00106422,-0.0138349,0.00319267,-31.8047,41.9719,40.6031,-0.236375,0.0295731,
Mon Feb  5 12:05:44 2018,4454837,758.657,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,20,1202,0,58,62,0.134075,0.23942,-10.4387,0,-0.019156,0.00319267,-31.8047,41.9719,40.6031,-0.735675,0.029878,
Mon Feb  5 12:05:44 2018,4464838,758.657,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,20,1202,0,58,62,0.162806,0.143652,-10.0604,0.00638535,-0.0170276,0.00532112,-31.8047,41.9719,40.6031,-0.927029,0.0317073,
Mon Feb  5 12:05:44 2018,4474839,758.657,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1196,0,16,60,-0.0047884,0.177171,-10.2951,-0.00106422,-0.0117065,0.00851379,-31.8047,41.9719,40.6031,0.0266453,0.0332317,
Mon Feb  5 12:05:44 2018,4484840,758.657,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1196,0,16,60,0.0957681,0.277727,-10.3142,-0.00532112,-0.0106422,0.00957802,-31.8047,41.9719,40.6031,-0.531786,0.0314024,
Mon Feb  5 12:05:44 2018,4494841,758.657,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,14,1194,0,16,24,0.0430956,0.21069,-10.228,0.0042569,-0.0170276,0.00319267,-31.8047,41.9719,40.6031,-0.241362,0.0310975,
Mon Feb  5 12:05:44 2018,4504842,760.03,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4836,14,1194,0,16,24,0.110133,0.100556,-10.3765,0.00744957,-0.0159634,0.0042569,-31.8047,41.9719,40.6031,-0.608072,0.0344512,
Mon Feb  5 12:05:44 2018,4514843,760.03,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1192,0,62,24,0.0430956,0.220267,-10.3525,0.00319267,-0.0148991,0.0117065,-31.8047,41.9719,40.6031,-0.238456,0.0375,
Mon Feb  5 12:05:44 2018,4524844,760.03,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1192,0,62,24,0.0622492,0.263362,-10.1227,0.00319267,-0.0138349,0.00957802,-31.8047,41.9719,40.6031,-0.352216,0.0393292,
Mon Feb  5 12:05:44 2018,4534845,760.03,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4842,16,1192,0,16,26,0.114922,0.148441,-10.3094,0.00638535,-0.0148991,0.00638535,-31.8047,41.9719,40.6031,-0.638597,0.0420731,
