today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG, acc_filt, gyr_filt, com_filt
Thu Sep 19 07:02:46 2019,4399209,951.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,10,20,20,62,0.105345,0.229843,-9.57202,0.0127707,-0.00106422,-0.0106422,-24.9047,39.4699,17.4023,0.630544,5.44341,0.282462,2.07264,2.35511,
Thu Sep 19 07:02:46 2019,4409210,951.015,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,62,0.148441,-0.100556,-9.49062,0.0127707,-0.00532112,-0.0117065,-24.9047,39.4699,17.4023,0.896078,5.73111,0.300968,2.06013,2.3611,
Thu Sep 19 07:02:46 2019,4419211,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,22,8,62,62,0.0814029,-0.105345,-9.65342,0.0042569,-0.00212845,-0.00532112,-24.9047,39.4699,17.4023,0.483138,6.01667,0.319509,2.03886,2.35837,
Thu Sep 19 07:02:46 2019,4429212,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,2,12,18,18,62,0.023942,0.277727,-9.73004,0.00106422,-0.00106422,0.00212845,-24.9047,39.4699,17.4023,0.140984,6.30285,0.337158,2.01229,2.34945,
Thu Sep 19 07:02:46 2019,4439213,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,2,12,18,18,62,0.114922,0.0526724,-9.59117,0.0138349,-0.00319267,-0.00957802,-24.9047,39.4699,17.4023,0.686487,6.58994,0.353404,1.98125,2.33466,
Thu Sep 19 07:02:46 2019,4449214,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,24,10,64,28,0.114922,-0.134075,-9.54329,0.00957802,-0.00106422,-0.00851379,-24.9047,39.4699,17.4023,0.689931,6.8758,0.369016,1.94421,2.31323,
Thu Sep 19 07:02:46 2019,4459215,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5002,0,24,10,64,28,0.143652,0.071826,-9.65821,-0.00319267,-0.00106422,-0.00532112,-23.4609,39.832,17.4023,0.852131,7.16228,0.384662,1.90356,2.28822,
Thu Sep 19 07:02:46 2019,4469216,951.727,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,22,10,22,62,0.11971,0.124498,-9.59117,0,-0.00319267,-0.00851379,-23.4609,39.832,17.4023,0.715088,7.44937,0.400461,1.85976,2.26022,
Thu Sep 19 07:02:46 2019,4479217,949.025,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,22,10,22,62,0.0957681,0.143652,-9.5385,0.00744957,-0.00851379,-0.00319267,-23.4609,39.832,17.4023,0.57524,7.73738,0.416102,1.81353,2.22963,
Thu Sep 19 07:02:46 2019,4489218,949.025,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5008,2,20,8,60,26,0.023942,0.0287304,-9.72046,0.00106422,-0.0042569,-0.0106422,-23.4609,39.832,17.4023,0.141122,8.02264,0.430737,1.76177,2.1925,
Thu Sep 19 07:02:46 2019,4499219,949.025,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5008,2,20,8,60,26,0.354342,-0.0047884,-9.82102,0,-0.00212845,-0.00319267,-23.4609,39.832,17.4023,2.06633,8.30851,0.445262,1.70833,2.15359,
Thu Sep 19 07:02:46 2019,4509220,949.025,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,20,8,62,24,0.339977,0.0814029,-9.59596,-0.0042569,-0.0106422,0.00638535,-23.4609,39.832,17.4023,2.02909,8.59742,0.46282,1.65591,2.11873,
Thu Sep 19 07:02:46 2019,4519221,949.451,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5004,0,20,8,62,24,0.0622492,0.225055,-9.69652,0.00744957,-0.00106422,-0.0319267,-23.4609,39.832,17.4023,0.36782,8.88116,0.483266,1.59673,2.07999,
Thu Sep 19 07:02:46 2019,4529222,949.451,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,5000,0,22,8,60,24,0.263362,0.253785,-9.7444,0.00638535,-0.00744957,-0.0202203,-23.4609,39.832,17.4023,1.54816,9.16947,0.50422,1.54092,2.04514,
