today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],pitchA, pitchG
Thu Sep 19 06:31:22 2019,4415084,946.323,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4938,0,24,20,18,64,0.253785,0.215478,-9.77792,0.00532112,0.00532112,-0.019156,-22.1977,33.133,17.5764,1.48678,6.01454,
Thu Sep 19 06:31:22 2019,4425085,946.323,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,24,8,20,64,0.138864,0.148441,-9.72525,0.0106422,-0.00106422,0.00532112,-22.1977,33.133,17.5764,0.818053,6.30285,
Thu Sep 19 06:31:22 2019,4435086,946.323,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4928,0,24,8,20,64,0.0574608,-0.0574608,-9.52413,0.00106422,-0.00638535,-0.0117065,-22.1977,33.133,17.5764,0.345672,6.59085,
Thu Sep 19 06:31:22 2019,4445087,946.323,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,66,62,0.196325,0.129287,-9.56244,0.00319267,-0.00106422,-0.0148991,-22.1977,33.133,17.5764,1.17616,6.8758,
Thu Sep 19 06:31:22 2019,4455088,946.323,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4940,0,24,8,66,62,0.0909797,0.0909797,-9.75877,0.0159634,-0.00744957,0.00532112,-22.1977,33.133,17.5764,0.534146,7.16411,
Thu Sep 19 06:31:22 2019,4465089,946.323,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4984,0,10,20,18,62,0.0143652,0.0622492,-9.79707,0.00532112,0.00106422,-0.0117065,-22.1977,33.133,17.5764,0.0840114,7.44815,
Thu Sep 19 06:31:22 2019,4475090,946.297,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4984,0,10,20,18,62,0.023942,0.0191536,-9.64863,0.00532112,0.00106422,-0.00638535,-22.1977,33.133,17.5764,0.142173,7.73463,
Thu Sep 19 06:31:22 2019,4485091,946.297,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,0,10,20,22,62,0.181959,0.0814029,-9.64863,0.00638535,-0.00638535,-0.00532112,-22.1977,33.133,17.5764,1.08039,8.02324,
Thu Sep 19 06:31:22 2019,4495092,946.297,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4930,0,10,20,22,62,0.0670376,0.0287304,-9.63427,0.0042569,-0.00532112,-0.00744957,-22.1977,33.133,17.5764,0.398672,8.30942,
Thu Sep 19 06:31:22 2019,4505093,946.297,0,0,0,0,0,0,-71.0798,-71.0798,-0.376995,-426.479,-1.777,-1.777,4936,0,22,8,66,28,0.134075,0.0526724,-9.57681,0.00532112,-0.00638535,-0.00532112,-22.1977,33.133,17.5764,0.802089,8.5962,
