Var1,Var2,Var3
0,0,-1.5
0.002,0,-1.518
0.004,0,-1.536
0.006,-0.00306796157577128,-1.53866019212114
0.008,-0.00613592315154256,-1.54113630654774
0.01,-0.0122718463030851,-1.52808853540094
0.012,-0.0184077694546277,-1.51467260886504
0.014,-0.0245436926061703,-1.50088852694005
0.016,-0.0306796157577128,-1.48673628962596
0.018,-0.0398835004850267,-1.45687608904393
0.02,-0.0490873852123405,-1.42646365537826
0.022,-0.0613592315154256,-1.3801591807501
0.024,-0.0736310778185108,-1.33311839534374
0.026,-0.0859029241215959,-1.28534129915921
0.028,-0.098174770424681,-1.23682789219649
0.03,-0.113514578303537,-1.17223836657672
0.032,-0.125786424606623,-1.12206826036309
0.034,-0.14419419406125,-1.04048222761355
0.036,-0.159534001940107,-0.973131536575592
0.038,-0.174873809818963,-0.904860457064904
0.04,-0.193281579273591,-0.820329181202628
0.042,-0.208621387152447,-0.75003324705193
0.044,-0.227029156607075,-0.663477116549645
0.046,-0.245436926061703,-0.575816519880082
0.048,-0.26384469551633,-0.487051457043241
0.05,-0.279184503395187,-0.412521735917979
0.052,-0.297592272849814,-0.32173181844113
0.054,-0.316000042304442,-0.229837434797003
0.056,-0.33440781175907,-0.136838584985598
0.058,-0.352815581213697,-0.0427352690069148
0.06,-0.371223350668325,0.0524725131390455
0.062,-0.386563158547182,0.133444953573427
0.064,-0.404970928001809,0.230677590359396
0.066,-0.420310735880666,0.313674885433787
0.068,-0.435650543759522,0.397592568980909
0.07,-0.450990351638379,0.482430641000762
0.072,-0.466330159517235,0.568189101493347
0.074,-0.481669967396091,0.654867950458663
0.076,-0.497009775274948,0.742467187896711
0.078,-0.509281621578033,0.815647005928633
0.08,-0.521553467881118,0.889563134738741
0.082,-0.530757352608432,0.948875766448177
0.084,-0.543029198911517,1.02408043912011
0.086,-0.552233083638831,1.08468161469137
0.088,-0.561436968366145,1.14583502334627
0.09,-0.567572891517687,1.19220085720595
0.092,-0.57370881466923,1.23893484645472
0.094,-0.579844737820772,1.28603699109259
0.096,-0.582912699396544,1.31816748324069
0.098,-0.585980660972315,1.35048205308334
0.1,-0.589048622548086,1.38298070062054
0.102,-0.589048622548086,1.40032361797342
0.104,-0.589048622548086,1.41766653532631
0.106,-0.589048622548086,1.43500945267919
0.108,-0.585980660972315,1.43701256215322
0.11,-0.582912699396544,1.4388315939327
0.112,-0.576776776245001,1.42512674013878
0.114,-0.570640853093458,1.41105373095577
0.116,-0.564504929941916,1.39661256638367
0.118,-0.558369006790373,1.38180324642247
0.12,-0.54916512206306,1.35128596319332
0.122,-0.539961237335746,1.32021644688054
0.124,-0.527689391032661,1.27325488960525
0.126,-0.518485506305347,1.24089682943065
0.128,-0.506213660002262,1.19264672829354
0.13,-0.490873852123405,1.12832050849939
0.132,-0.47860200582032,1.07841370811137
0.134,-0.466330159517235,1.02777059694517
0.136,-0.450990351638379,0.961051367121918
0.138,-0.435650543759522,0.893411748825939
0.14,-0.420310735880666,0.824851742057228
0.142,-0.401902966426038,0.74003153893693
0.144,-0.386563158547182,0.66944667752821
0.146,-0.371223350668325,0.597941427646759
0.148,-0.355883542789469,0.525515789292576
0.15,-0.337475773334841,0.436829954586806
0.152,-0.322135965455985,0.362379461592614
0.154,-0.303728196001357,0.271668772246835
0.156,-0.288388388122501,0.195193424612634
0.158,-0.269980618667873,0.102457880626845
0.16,-0.254640810789016,0.023957678352636
0.162,-0.23930100291016,-0.0554629123943052
0.164,-0.220893233455532,-0.151143699492834
0.166,-0.205553425576676,-0.232589144879784
0.168,-0.193281579273591,-0.299615170860609
0.17,-0.177941771394734,-0.382717315498476
0.172,-0.162601963515878,-0.466739848609074
0.174,-0.150330117212793,-0.536342962313547
0.176,-0.134990309333936,-0.622022194675061
0.178,-0.122718463030851,-0.693282007630451
0.18,-0.110446616727766,-0.765278131364025
0.182,-0.101242732000452,-0.822670757996929
0.184,-0.0920388472731385,-0.880615617713471
0.186,-0.0828349625458246,-0.939112710513652
0.188,-0.0736310778185108,-0.998162036397471
0.19,-0.0644271930911969,-1.05776359536493
0.192,-0.0582912699396544,-1.10257757953717
0.194,-0.0521553467881118,-1.1477597190985
0.196,-0.0490873852123405,-1.17797020617007
0.198,-0.0460194236365692,-1.20836477093619
0.2,-0.042951462060798,-1.23894341339685
0.202,-0.0398835004850267,-1.26970613355206
0.204,-0.0398835004850267,-1.28531312352296
0.206,-0.0398835004850267,-1.30092011349386
0.208,-0.042951462060798,-1.3011872955859
0.21,-0.0460194236365692,-1.3012703999834
0.212,-0.0490873852123405,-1.30116942668634
0.214,-0.0521553467881118,-1.30088437569475
0.216,-0.0582912699396544,-1.28507543912975
0.218,-0.0644271930911969,-1.26889834717566
0.22,-0.0705631162427395,-1.25235309983247
0.222,-0.0797670009700533,-1.22009988922134
0.224,-0.0889708856973672,-1.18729444552657
0.226,-0.098174770424681,-1.15393676874815
0.228,-0.107378655151995,-1.1200268588861
0.23,-0.11965050145508,-1.07022490806156
0.232,-0.131922347758165,-1.01968664645883
0.234,-0.14419419406125,-0.968412074077913
0.236,-0.156466040364335,-0.916401190918813
0.238,-0.168737886667421,-0.863653996981527
0.24,-0.184077694546277,-0.7948306843872
0.242,-0.196349540849362,-0.740426791198997
0.244,-0.211689348728218,-0.669946779353753
0.246,-0.227029156607075,-0.598546379035778
0.248,-0.242368964485931,-0.526225590245072
0.25,-0.257708772364788,-0.452984412981634
0.252,-0.269980618667873,-0.394162655124321
0.254,-0.288388388122501,-0.30392497073111
0.256,-0.303728196001357,-0.227922628049478
0.258,-0.316000042304442,-0.166339704773971
0.26,-0.331339850183298,-0.0886806628414223
0.262,-0.346679658062155,-0.0101012324361423
0.264,-0.362019465941011,0.069398586441869
0.266,-0.377359273819868,0.149818793792612
0.268,-0.389631120122953,0.21581958173723
0.27,-0.404970928001809,0.297896488338889
0.272,-0.417242774304894,0.365553975534423
0.274,-0.42951462060798,0.433947773508142
0.276,-0.441786466911065,0.503077882260047
0.278,-0.45405831321415,0.572944301790136
0.28,-0.466330159517235,0.643547032098411
0.282,-0.47860200582032,0.714886073184871
0.284,-0.487805890547634,0.771621617170659
