Var1,Var2,Var3
4.002,0.711767085578938,-3.55883542789469
4.004,0.714835047154709,-3.57417523577354
4.006,0.714835047154709,-3.57417523577354
4.008,0.714835047154709,-3.57417523577354
4.01,0.714835047154709,-3.57417523577354
4.012,0.714835047154709,-3.57417523577354
4.014,0.714835047154709,-3.57417523577354
4.016,0.714835047154709,-3.57417523577354
4.018,0.714835047154709,-3.57417523577354
4.02,0.714835047154709,-3.57417523577354
4.022,0.714835047154709,-3.57417523577354
4.024,0.714835047154709,-3.57417523577354
4.026,0.714835047154709,-3.57417523577354
4.028,0.714835047154709,-3.57417523577354
4.03,0.71790300873048,-3.5895150436524
4.032,0.71790300873048,-3.5895150436524
4.034,0.71790300873048,-3.5895150436524
4.036,0.71790300873048,-3.5895150436524
4.038,0.71790300873048,-3.5895150436524
4.04,0.71790300873048,-3.5895150436524
4.042,0.71790300873048,-3.5895150436524
4.044,0.71790300873048,-3.5895150436524
4.046,0.720970970306251,-3.60485485153126
4.048,0.720970970306251,-3.60485485153126
4.05,0.720970970306251,-3.60485485153126
4.052,0.720970970306251,-3.60485485153126
4.054,0.720970970306251,-3.60485485153126
4.056,0.724038931882023,-3.62019465941011
4.058,0.724038931882023,-3.62019465941011
4.06,0.724038931882023,-3.62019465941011
4.062,0.724038931882023,-3.62019465941011
4.064,0.727106893457794,-3.63553446728897
4.066,0.727106893457794,-3.63553446728897
4.068,0.727106893457794,-3.63553446728897
4.07,0.727106893457794,-3.63553446728897
4.072,0.727106893457794,-3.63553446728897
4.074,0.727106893457794,-3.63553446728897
4.076,0.727106893457794,-3.63553446728897
4.078,0.727106893457794,-3.63553446728897
4.08,0.727106893457794,-3.63553446728897
4.082,0.727106893457794,-3.63553446728897
4.084,0.730174855033565,-3.65087427516783
4.086,0.730174855033565,-3.65087427516783
4.088,0.730174855033565,-3.65087427516783
4.09,0.730174855033565,-3.65087427516783
4.092,0.730174855033565,-3.65087427516783
4.094,0.730174855033565,-3.65087427516783
4.096,0.730174855033565,-3.65087427516783
4.098,0.730174855033565,-3.65087427516783
4.1,0.733242816609336,-3.66621408304668
4.102,0.733242816609336,-3.66621408304668
4.104,0.733242816609336,-3.66621408304668
4.106,0.733242816609336,-3.66621408304668
4.108,0.733242816609336,-3.66621408304668
4.11,0.736310778185108,-3.68155389092554
4.112,0.736310778185108,-3.68155389092554
4.114,0.736310778185108,-3.68155389092554
4.116,0.736310778185108,-3.68155389092554
4.118,0.736310778185108,-3.68155389092554
4.12,0.736310778185108,-3.68155389092554
4.122,0.736310778185108,-3.68155389092554
