time,input,output,voltage
0.324,-0,0.0398835004850267,-0.199417502425133
0.326,-0,0.042951462060798,-0.21475731030399
0.328,-0,0.042951462060798,-0.21475731030399
0.33,-0,0.042951462060798,-0.21475731030399
0.332,-0,0.0460194236365692,-0.230097118182846
0.334,-0,0.0460194236365692,-0.230097118182846
0.336,-0,0.0490873852123405,-0.245436926061703
0.338,-0,0.0490873852123405,-0.245436926061703
0.34,-0,0.0521553467881118,-0.260776733940559
0.342,-0,0.0521553467881118,-0.260776733940559
0.344,-0,0.0521553467881118,-0.260776733940559
0.346,-0,0.0552233083638831,-0.276116541819415
0.348,-0,0.0552233083638831,-0.276116541819415
0.35,-0,0.0582912699396544,-0.291456349698272
0.352,-0,0.0582912699396544,-0.291456349698272
0.354,-0,0.0613592315154256,-0.306796157577128
0.356,-0,0.0613592315154256,-0.306796157577128
0.358,-0,0.0644271930911969,-0.322135965455985
0.36,-0,0.0644271930911969,-0.322135965455985
0.362,-0,0.0674951546669682,-0.337475773334841
0.364,-0,0.0674951546669682,-0.337475773334841
0.366,-0,0.0705631162427395,-0.352815581213697
0.368,-0,0.0705631162427395,-0.352815581213697
0.37,-0,0.0736310778185108,-0.368155389092554
0.372,-0,0.0736310778185108,-0.368155389092554
0.374,-0,0.0766990393942821,-0.38349519697141
0.376,-0,0.0766990393942821,-0.38349519697141
0.378,-0,0.0797670009700533,-0.398835004850267
0.38,-0,0.0797670009700533,-0.398835004850267
0.382,-0,0.0828349625458246,-0.414174812729123
0.384,-0,0.0859029241215959,-0.42951462060798
0.386,-0,0.0859029241215959,-0.42951462060798
0.388,-0,0.0889708856973672,-0.444854428486836
0.39,-0,0.0920388472731385,-0.460194236365692
0.392,-0,0.0920388472731385,-0.460194236365692
0.394,-0,0.0951068088489097,-0.475534044244549
0.396,-0,0.0951068088489097,-0.475534044244549
0.398,-0,0.098174770424681,-0.490873852123405
0.4,-0,0.101242732000452,-0.506213660002262
0.402,-0,0.101242732000452,-0.506213660002262
0.404,-0,0.104310693576224,-0.521553467881118
0.406,-0,0.107378655151995,-0.536893275759974
0.408,-0,0.107378655151995,-0.536893275759974
0.41,-0,0.110446616727766,-0.552233083638831
0.412,-0,0.113514578303537,-0.567572891517687
0.414,-0,0.113514578303537,-0.567572891517687
0.416,-0,0.116582539879309,-0.582912699396544
0.418,-0,0.11965050145508,-0.5982525072754
0.42,-0,0.11965050145508,-0.5982525072754
0.422,-0,0.122718463030851,-0.613592315154256
0.424,-0,0.122718463030851,-0.613592315154256
0.426,-0,0.125786424606623,-0.628932123033113
0.428,-0,0.128854386182394,-0.644271930911969
0.43,-0,0.128854386182394,-0.644271930911969
0.432,-0,0.131922347758165,-0.659611738790826
0.434,-0,0.134990309333936,-0.674951546669682
0.436,-0,0.134990309333936,-0.674951546669682
0.438,-0,0.138058270909708,-0.690291354548539
0.44,-0,0.141126232485479,-0.705631162427395
0.442,-0,0.141126232485479,-0.705631162427395
0.444,-0,0.14419419406125,-0.720970970306251
0.446,-0,0.147262155637022,-0.736310778185108
0.448,-0,0.150330117212793,-0.751650586063964
0.45,-0,0.153398078788564,-0.766990393942821
0.452,-0,0.153398078788564,-0.766990393942821
0.454,-0,0.156466040364335,-0.782330201821677
0.456,-0,0.159534001940107,-0.797670009700533
0.458,-0,0.162601963515878,-0.81300981757939
0.46,-0,0.165669925091649,-0.828349625458246
0.462,-0,0.165669925091649,-0.828349625458246
0.464,-0,0.168737886667421,-0.843689433337103
0.466,-0,0.171805848243192,-0.859029241215959
0.468,-0,0.174873809818963,-0.874369049094815
0.47,-0,0.177941771394734,-0.889708856973672
0.472,-0,0.181009732970506,-0.905048664852528
0.474,-0,0.184077694546277,-0.920388472731385
0.476,-0,0.190213617697819,-0.951068088489098
0.478,-0,0.193281579273591,-0.966407896367954
0.48,-0,0.196349540849362,-0.98174770424681
0.482,-0,0.199417502425133,-0.997087512125667
0.484,-0,0.202485464000905,-1.01242732000452
0.486,-0,0.205553425576676,-1.02776712788338
0.488,-0,0.211689348728218,-1.05844674364109
0.49,-0,0.21475731030399,-1.07378655151995
0.492,-0,0.217825271879761,-1.08912635939881
0.494,-0,0.220893233455532,-1.10446616727766
0.496,-0,0.227029156607075,-1.13514578303537
0.498,-0,0.230097118182846,-1.15048559091423
0.5,-0,0.233165079758617,-1.16582539879309
0.502,-0,0.236233041334389,-1.18116520667194
0.504,-0,0.23930100291016,-1.1965050145508
0.506,-0,0.242368964485931,-1.21184482242966
0.508,-0,0.245436926061703,-1.22718463030851
0.51,-0,0.248504887637474,-1.24252443818737
0.512,-0,0.251572849213245,-1.25786424606623
0.514,-0,0.254640810789016,-1.27320405394508
0.516,-0,0.257708772364788,-1.28854386182394
0.518,-0,0.260776733940559,-1.30388366970279
0.52,-0,0.26384469551633,-1.31922347758165
0.522,-0,0.266912657092102,-1.33456328546051
0.524,-0,0.266912657092102,-1.33456328546051
0.526,-0,0.269980618667873,-1.34990309333936
0.528,-0,0.273048580243644,-1.36524290121822
0.53,-0,0.276116541819415,-1.38058270909708
0.532,-0,0.276116541819415,-1.38058270909708
