today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:21:53 2018,194374854,684.114,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5160,9996,68,18,0,1090,0.148441,0.550666,10.3573,-0.42569,-0.0117065,-0.0106422,17.7504,5.59453,-59.1422,194.375,20,4.17229,1.58277,-2.59831,0.000850632,-0.000350444,-2.98078,0.356079,1.70876,
Sun Sep 23 20:21:53 2018,194384855,684.114,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,20,0,1090,0.105345,0.459687,10.0796,-0.468259,-0.00851379,-0.00638535,17.7504,5.59453,-59.1422,194.385,20,3.99996,1.6,-2.60013,0.000925635,-0.00034791,-2.98077,0.356075,1.8386,
Sun Sep 23 20:21:53 2018,194394856,684.114,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,20,0,1090,0.0574608,0.536301,10.2137,-0.500185,-0.0117065,-0.00212845,17.7504,5.59453,-59.1422,194.395,20,3.80453,1.61955,-2.6019,0.000999095,-0.000345553,-2.98076,0.356072,1.97244,
Sun Sep 23 20:21:53 2018,194404857,684.114,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1090,0.023942,0.349553,10.0796,-0.54169,-0.0170276,0.00957802,17.7504,5.59453,-59.1422,194.405,20,3.5882,1.64118,-2.60362,0.00105211,-0.000345211,-2.98075,0.356068,2.0753,
Sun Sep 23 20:21:53 2018,194414858,682.767,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1090,0.0957681,0.311246,10.1275,-0.581066,-0.00957802,0.0159634,17.7504,5.59453,-59.1422,194.415,20,3.34927,1.66507,-2.60529,0.00111783,-0.000343604,-2.98074,0.356065,2.20751,
Sun Sep 23 20:21:53 2018,194424859,682.767,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5168,9996,48,8,0,1090,0.0430956,0.215478,10.3334,-0.608736,-0.00957802,0.0234129,17.7504,5.59453,-59.1422,194.425,20,3.08853,1.69115,-2.60691,0.00117715,-0.0003426,-2.98073,0.356061,2.33415,
Sun Sep 23 20:21:53 2018,194434860,682.767,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5168,9996,48,8,0,1090,0.00957681,0.143652,10.2089,-0.647048,0,0.0276698,17.9297,9.02344,-59.6625,194.435,20,2.81096,1.7189,-2.60849,0.00121732,-0.000343738,-2.98072,0.356058,2.4265,
Sun Sep 23 20:21:53 2018,194444861,682.767,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,8,0,1090,-0.0047884,-0.047884,10.1466,-0.676847,0.0117065,0.0297983,17.9297,9.02344,-59.6625,194.445,20,2.51037,1.74896,-2.61001,0.00127013,-0.000343315,-2.9807,0.356055,2.55138,
Sun Sep 23 20:21:53 2018,194454862,682.767,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,8,0,1090,-0.0861913,-0.0861913,10.2568,-0.702388,0.00638535,0.0244772,17.9297,9.02344,-59.6625,194.455,20,2.19349,1.78065,-2.61149,0.00130945,-0.000344491,-2.98069,0.356051,2.65147,
Sun Sep 23 20:21:53 2018,194464863,682.767,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,68,18,0,1090,-0.0287304,-0.105345,10.2185,-0.734315,0.00851379,0.0180918,17.9297,9.02344,-59.6625,194.465,20,1.86119,1.81388,-2.61291,0.00134193,-0.000346546,-2.98068,0.356048,2.73942,
Sun Sep 23 20:21:53 2018,194474864,683.792,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,68,18,0,1090,-0.0430956,-0.258574,10.2041,-0.759856,0.00851379,0.00957802,17.9297,9.02344,-59.6625,194.475,20,1.51179,1.84882,-2.61429,0.00138049,-0.000347573,-2.98066,0.356044,2.84701,
Sun Sep 23 20:21:53 2018,194484865,683.792,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,8,0,1076,0.124498,-0.454898,10.5584,-0.782205,-0.00106422,0.00851379,17.9297,9.02344,-59.6625,194.485,20,1.14809,1.88519,-2.61561,0.00141011,-0.000349845,-2.98065,0.356041,2.93607,
Sun Sep 23 20:21:53 2018,194494866,683.792,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,8,0,1076,-0.071826,-0.469264,10.3669,-0.809875,-0.00106422,-0.00638535,17.9297,9.02344,-59.6625,194.495,20,0.772291,1.92277,-2.61688,0.0014351,-0.000352766,-2.98063,0.356037,3.01604,
Sun Sep 23 20:21:53 2018,194504867,683.792,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5174,9996,48,18,2,1076,0.215478,-0.244209,9.56723,-0.818388,0.00212845,-0.0297983,17.9297,9.02344,-59.6625,194.505,20,0.384211,1.96158,-2.61811,0.00146444,-0.000354699,-2.98062,0.356034,3.11232,
Sun Sep 23 20:21:53 2018,194514868,683.097,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5174,9996,48,18,2,1076,-0.407014,-1.15879,10.7069,-0.822645,-0.00212845,-0.0457616,17.9297,9.02344,-59.6625,194.515,20,-0.0135544,2.00135,-2.61928,0.00147383,-0.000360422,-2.9806,0.35603,3.15183,
Sun Sep 23 20:21:53 2018,194524869,683.097,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5158,9996,48,8,0,1080,-0.0670376,-1.30245,11.0756,-0.826902,0.0042569,-0.032991,17.9297,9.02344,-59.6625,194.525,20,-0.406789,2.04068,-2.6204,0.00147892,-0.000366864,-2.98059,0.356026,3.1785,
Sun Sep 23 20:21:53 2018,194534870,683.097,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5158,9996,48,8,0,1080,0.277727,-0.957681,9.91199,-0.81626,0.0170276,-0.00851379,17.9297,9.02344,-59.6625,194.535,20,-0.802151,2.08021,-2.62147,0.00148394,-0.000373309,-2.98058,0.356023,3.20525,
Sun Sep 23 20:21:53 2018,194544871,683.097,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,18,0,1080,0,-0.876278,9.43794,-0.818388,0.0159634,0.00744957,17.9297,9.02344,-59.6625,194.545,20,-1.1999,2.11999,-2.62249,0.00147436,-0.00038292,-2.98056,0.356019,3.18767,
Sun Sep 23 20:21:53 2018,194554872,683.097,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,18,0,1080,-0.0143652,-1.10612,10.7117,-0.790719,0.00212845,0.0372479,17.9297,9.02344,-59.6625,194.555,20,-1.5895,2.15895,-2.62346,0.00147725,-0.000389706,-2.98055,0.356015,3.20786,
Sun Sep 23 20:21:53 2018,194564873,683.097,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1080,0.0574608,-1.8579,10.5824,-0.774755,0.00106422,0.0564039,15.5988,12.0914,-61.9172,194.565,20,-1.97459,2.19746,-2.62438,0.00144991,-0.000402939,-2.98053,0.356011,3.13908,
Sun Sep 23 20:21:53 2018,194574874,682.81,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5152,9996,48,8,0,1080,0.253785,-0.933739,9.80186,-0.764113,0.00212845,0.0415047,15.5988,12.0914,-61.9172,194.575,20,-2.3529,2.23529,-2.62525,0.00143368,-0.000413638,-2.98052,0.356007,3.10495,
Sun Sep 23 20:21:53 2018,194584875,682.81,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,8,0,1078,0.258574,-1.4461,10.2328,-0.732186,0.00957802,0.0202203,15.5988,12.0914,-61.9172,194.585,20,-2.72299,2.2723,-2.62606,0.00142274,-0.000423089,-2.9805,0.356003,3.08638,
Sun Sep 23 20:21:53 2018,194594876,682.81,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,48,8,0,1078,0.411803,-0.909797,9.89763,-0.749214,0.00319267,-0.00106422,15.5988,12.0914,-61.9172,194.595,20,-3.0774,2.30774,-2.62682,0.00138723,-0.000437232,-2.98049,0.355998,3.00382,
Sun Sep 23 20:21:53 2018,194604877,682.81,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,72,8,0,1078,-0.0909797,-0.248997,10.0604,-0.670461,0.00744957,-0.0159634,15.5988,12.0914,-61.9172,194.605,20,-3.43911,2.34391,-2.62753,0.00140726,-0.00044026,-2.98047,0.355994,3.06743,
Sun Sep 23 20:21:53 2018,194614878,683.254,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5150,9996,72,8,0,1078,-0.378284,-2.01592,13.7379,-0.718351,0.042569,-0.0744957,15.5988,12.0914,-61.9172,194.615,20,-3.7749,2.37749,-2.62819,0.00131258,-0.000465447,-2.98046,0.355989,2.84464,
Sun Sep 23 20:21:53 2018,194624879,683.254,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5138,9996,66,18,48,994,-0.837971,-1.45089,7.68539,-0.690682,-0.0212845,-0.153248,15.5988,12.0914,-61.9172,194.625,20,-4.09875,2.40987,-2.62879,0.00137237,-0.000460392,-2.98045,0.355985,2.99889,
Sun Sep 23 20:21:53 2018,194634880,683.254,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5138,9996,66,18,48,994,3.06937,-1.27372,9.98861,-0.384185,0.0180918,-0.110679,15.5988,12.0914,-61.9172,194.635,20,-4.40394,2.44039,-2.62934,0.001339,-0.000473109,-2.98043,0.35598,2.92726,
Sun Sep 23 20:21:53 2018,194644881,683.254,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5082,9996,48,18,110,874,-3.74453,-1.76692,7.52737,-0.452295,-0.0851379,-0.230937,15.5988,12.0914,-61.9172,194.645,20,-4.63077,2.46307,-2.62984,0.000862748,-0.000553122,-2.98043,0.355974,2.02183,
Sun Sep 23 20:21:53 2018,194654882,683.254,1518,1514,1088,1514,1940,1514,0.18779,-7.62939e-06,0.0999999,-2.38419e-07,20,-1.19209e-07,5082,9996,48,18,110,874,3.36146,-10.4339,9.88805,0.346937,-0.19901,-0.256478,15.5988,12.0914,-61.9172,194.655,20,-4.73937,2.47393,-2.63029,0.000985097,-0.000538822,-2.98042,0.355969,2.22867,
