today,microseconds_since_start,msl,rc0,rc1,rc2,rc3,rc4,rc5,rc0_scaled,rc1_scaled,rc2_scaled,rc3_scaled,rc4_scaled,rc5_scaled,adc_array[0],adc_array[1],adc_array[2],adc_array[3],adc_array[4],adc_array[5],a_mpu[0],a_mpu[1],a_mpu[2],g_mpu[0],g_mpu[1],g_mpu[2],m_mpu[0],m_mpu[1],m_mpu[2],time,angDes,angAct,rateDes,rateDes_f,Kp1D,Kp2D,Kp1,Kp2,mRac
Sun Sep 23 20:13:16 2018,10900770,682.784,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5178,9996,74,18,0,1090,-0.0622492,0.42138,10.3956,-0.00744957,-0.0372479,-0.00106422,19.0055,6.13594,-60.7031,10.9008,-1.90735e-06,15.7665,-12.8722,-0.0323002,1.85127e-07,3.19884e-05,2.46859e-09,9.77227e-07,-1.25791e-05,
Sun Sep 23 20:13:16 2018,10910771,682.784,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5178,9996,74,18,0,1090,0.0814029,0.507571,10.0269,-0.00532112,-0.0340552,0.00851379,19.0055,6.13594,-60.7031,10.9108,-1.90735e-06,15.7749,-12.8792,-0.0380484,2.27948e-07,3.94087e-05,4.74807e-09,1.37131e-06,-1.76614e-05,
Sun Sep 23 20:13:16 2018,10920772,682.784,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,74,46,0,1088,0.0335188,0.469264,10.3142,0.00212845,-0.0287341,0.00744957,19.0055,6.13594,-60.7031,10.9208,-1.90735e-06,15.7893,-12.8909,-0.04425,2.07145e-07,5.01827e-05,6.81952e-09,1.87314e-06,-2.41465e-05,
Sun Sep 23 20:13:16 2018,10930773,682.784,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,74,46,0,1088,0.0909797,0.507571,10.0748,0.00106422,-0.0297983,-0,19.0055,6.13594,-60.7031,10.9308,-1.90735e-06,15.8083,-12.9064,-0.0509012,-1.12871e-07,6.84422e-05,5.69081e-09,2.55756e-06,-3.3009e-05,
Sun Sep 23 20:13:16 2018,10940774,682.141,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,48,18,0,1090,0,0.493206,10.2137,0.00106422,-0.0287341,-0.00638535,19.0055,6.13594,-60.7031,10.9408,-1.90735e-06,15.8239,-12.9191,-0.0579983,-6.28558e-08,7.63035e-05,5.06225e-09,3.3206e-06,-4.28992e-05,
Sun Sep 23 20:13:16 2018,10950775,682.141,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5160,9996,48,18,0,1090,0.0335188,0.407014,10.0317,0,-0.0361836,-0.00532112,19.0055,6.13594,-60.7031,10.9508,-1.90735e-06,15.8378,-12.9305,-0.0655376,-7.08793e-08,8.61195e-05,4.35346e-09,4.18179e-06,-5.40727e-05,
Sun Sep 23 20:13:16 2018,10960776,682.141,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5178,9996,74,18,0,1090,-0.0622492,0.517148,10.0461,-0.0042569,-0.0372479,-0.0042569,19.0055,6.13594,-60.7031,10.9608,-1.90735e-06,15.8493,-12.9399,-0.0735154,-0,9.51282e-05,4.35346e-09,5.13308e-06,-6.64216e-05,
Sun Sep 23 20:13:16 2018,10970777,682.141,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5178,9996,74,18,0,1090,0.0909797,0.536301,9.84017,0.0042569,-0.0383121,0.00638535,19.0055,6.13594,-60.7031,10.9708,-1.90735e-06,15.8583,-12.9472,-0.0819278,3.30637e-07,0.000100562,7.65983e-09,6.1387e-06,-7.94793e-05,
Sun Sep 23 20:13:16 2018,10980778,682.949,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5162,9996,72,18,0,1090,0.105345,0.507571,10.0173,-0.00106422,-0.0415047,0.00212845,19.0055,6.13594,-60.7031,10.9808,-1.90735e-06,15.8729,-12.9592,-0.090771,-4.04524e-07,0.000123148,3.61459e-09,7.37018e-06,-9.55115e-05,
Sun Sep 23 20:13:16 2018,10990779,682.949,1518,1514,1524,1514,1088,1514,0.18779,-7.62939e-06,0.816432,-2.38419e-07,-1.90735e-06,-1.19209e-07,5162,9996,72,18,0,1090,-0.0047884,0.474052,10.1323,0.0106422,-0.0446974,-0.00106422,19.0055,6.13594,-60.7031,10.9908,-1.90735e-06,15.8887,-12.972,-0.100041,1.05334e-07,0.000128393,4.66793e-09,8.65411e-06,-0.000112261,
