Time - pot	Amplitude - pot	Time - accel	Amplitude - accel	Time - Force	Amplitude - Force
0.044922	1.12466	0.044922	1.91317	0.044922	4.39243
0.04541	1.1258	0.04541	1.91322	0.04541	4.39289
0.045898	1.12193	0.045898	1.91319	0.045898	4.39411
0.046387	1.11945	0.046387	1.91319	0.046387	4.3939
0.046875	1.12111	0.046875	1.91326	0.046875	4.39284
0.047363	1.12232	0.047363	1.91326	0.047363	4.39275
0.047852	1.1193	0.047852	1.91316	0.047852	4.3938
0.04834	1.12096	0.04834	1.91313	0.04834	4.39426
0.048828	1.12469	0.048828	1.91323	0.048828	4.39269
0.049316	1.12217	0.049316	1.91334	0.049316	4.39322
0.049805	1.12268	0.049805	1.91319	0.049805	4.39319
0.050293	1.12287	0.050293	1.91316	0.050293	4.39319
0.050781	1.12053	0.050781	1.91305	0.050781	4.39316
0.05127	1.1193	0.05127	1.91302	0.05127	4.39339
0.051758	1.12122	0.051758	1.913	0.051758	4.39259
0.052246	1.12076	0.052246	1.91303	0.052246	4.39277
0.052734	1.12252	0.052734	1.91302	0.052734	4.39359
0.053223	1.12161	0.053223	1.91312	0.053223	4.39267
0.053711	1.12061	0.053711	1.91317	0.053711	4.39315
0.054199	1.12301	0.054199	1.91311	0.054199	4.39224
0.054687	1.12074	0.054687	1.91307	0.054687	4.39388
0.055176	1.12186	0.055176	1.91307	0.055176	4.39407
0.055664	1.12196	0.055664	1.91309	0.055664	4.39389
0.056152	1.12261	0.056152	1.91309	0.056152	4.3936
0.056641	1.12867	0.056641	1.91309	0.056641	4.3925
0.057129	1.12953	0.057129	1.91321	0.057129	4.39268
0.057617	1.12771	0.057617	1.9132	0.057617	4.39377
0.058105	1.12436	0.058105	1.91327	0.058105	4.39268
0.058594	1.12411	0.058594	1.91333	0.058594	4.39265
0.059082	1.12455	0.059082	1.91342	0.059082	4.39226
0.05957	1.12556	0.05957	1.91335	0.05957	4.39289
0.060059	1.1254	0.060059	1.91335	0.060059	4.39254
0.060547	1.12415	0.060547	1.9133	0.060547	4.39159
0.061035	1.12842	0.061035	1.91336	0.061035	4.39283
0.061523	1.12506	0.061523	1.91324	0.061523	4.3918
0.062012	1.12465	0.062012	1.91317	0.062012	4.39308
0.0625	1.12341	0.0625	1.91321	0.0625	4.39254
0.062988	1.12062	0.062988	1.91319	0.062988	4.39327
0.063477	1.12245	0.063477	1.91322	0.063477	4.39209
0.063965	1.12325	0.063965	1.91326	0.063965	4.39118
0.064453	1.12393	0.064453	1.91321	0.064453	4.39318
0.064941	1.12336	0.064941	1.91324	0.064941	4.39251
0.06543	1.12339	0.06543	1.9132	0.06543	4.3928
0.065918	1.12332	0.065918	1.91321	0.065918	4.39184
0.066406	1.12249	0.066406	1.91321	0.066406	4.39218
0.066895	1.12452	0.066895	1.91312	0.066895	4.39285
0.067383	1.12252	0.067383	1.9132	0.067383	4.39152
0.067871	1.12274	0.067871	1.91321	0.067871	4.39163
0.068359	1.12271	0.068359	1.91331	0.068359	4.39179
0.068848	1.12339	0.068848	1.91332	0.068848	4.39112
0.069336	1.12547	0.069336	1.91337	0.069336	4.39188
0.069824	1.1231	0.069824	1.91336	0.069824	4.39286
0.070312	1.12349	0.070312	1.91338	0.070312	4.39185
0.070801	1.12511	0.070801	1.91343	0.070801	4.39097
0.071289	1.12434	0.071289	1.91343	0.071289	4.39256
0.071777	1.12379	0.071777	1.91344	0.071777	4.39072
0.072266	1.12374	0.072266	1.91345	0.072266	4.39225
0.072754	1.12644	0.072754	1.91349	0.072754	4.392
