Time - Temperature	Amplitude - Temperature	
0	36.8248	
0.071429	36.9182	
0.142857	36.9901	
0.214286	37.1072	
0.285714	37.1977	
0.357143	37.282	
0.428571	37.3779	
0.5	37.534	
0.571429	37.6959	
0.642857	37.9107	
0.714286	38.0977	
0.785714	38.1779	
0.857143	38.2511	
0.928571	38.3051	
1	38.3616	
1.071428	38.4261	
1.142857	38.5102	
1.214286	38.5347	
1.285714	38.5817	
1.357143	38.6094	
1.428571	38.6476	
1.5	38.7267	
1.571428	38.8167	
1.642857	38.9074	
1.714285	38.9526	
1.785714	38.9894	
1.857143	39.0349	
1.928571	39.0331	
2	39.0607	
2.071428	39.1012	
2.142857	39.1671	
2.214285	39.2145	
2.285714	39.2862	
2.357143	39.3314	
2.428571	39.3558	
2.5	39.3925	
2.571428	39.4475	
2.642857	39.4705	
2.714285	39.4927	
2.785714	39.544	
2.857143	39.5975	
2.928571	39.69	
