Time - Temperature	Amplitude - Temperature	
0	32.0153	
0.071429	31.9116	
0.142857	31.8281	
0.214286	31.7779	
0.285714	31.75	
0.357143	31.7544	
0.428571	32.9015	
0.5	33.6293	
0.571429	33.5225	
0.642857	33.3677	
0.714286	33.2506	
0.785714	33.191	
0.857143	33.2565	
0.928571	33.2071	
1	33.2719	
1.071428	33.2221	
1.142857	33.105	
1.214286	33.0523	
1.285714	33.0435	
1.357143	33.0611	
1.428571	33.0029	
1.5	32.9846	
1.571428	32.9696	
1.642857	32.982	
1.714285	33.0014	
1.785714	33.053	
1.857143	33.1039	
1.928571	33.1595	
2	33.1888	
2.071428	33.1998	
2.142857	33.2254	
2.214285	33.247	
2.285714	33.2792	
2.357143	33.3172	
2.428571	33.348	
2.5	33.4215	
2.571428	33.4885	
2.642857	33.4907	
2.714285	33.498	
2.785714	33.5112	
2.857143	33.5437	
2.928571	33.5386	
