Time - Temperature	Amplitude - Temperature	
0	30.466	
0.071429	30.5406	
0.142857	30.5969	
0.214286	30.689	
0.285714	30.7959	
0.357143	30.8137	
0.428571	30.8971	
0.5	30.9171	
0.571429	30.9193	
0.642857	30.9317	
0.714286	30.9728	
0.785714	31.0214	
0.857143	31.1031	
0.928571	31.1528	
1	31.1737	
1.071428	31.1864	
1.142857	31.1376	
1.214286	31.1501	
1.285714	31.1963	
1.357143	31.2179	
1.428571	31.2063	
1.5	31.2934	
1.571428	31.3266	
1.642857	31.3143	
1.714285	31.2787	
1.785714	31.2665	
1.857143	31.355	
1.928571	31.4012	
2	31.4213	
2.071428	31.4045	
2.142857	31.429	
2.214285	31.5203	
2.285714	31.5747	
2.357143	31.6157	
2.428571	31.6865	
2.5	31.7493	
2.571428	31.7887	
2.642857	31.8202	
2.714285	31.8039	
2.785714	31.805	
2.857143	31.8339	
2.928571	31.8667	
