Time - Temperature	Amplitude - Temperature	
0	43.1331	
0.071429	43.101	
0.142857	42.8388	
0.214286	42.774	
0.285714	42.8134	
0.357143	42.9784	
0.428571	43.071	
0.5	43.311	
0.571429	43.349	
0.642857	43.3751	
0.714286	43.4652	
0.785714	43.641	
0.857143	43.6546	
0.928571	43.5866	
1	43.9128	
1.071428	44.1371	
1.142857	44.1502	
1.214286	44.1342	
1.285714	44.0859	
1.357143	43.9847	
1.428571	43.948	
1.5	43.8994	
1.571428	44.0079	
1.642857	44.2278	
1.714285	44.1848	
1.785714	44.3618	
1.857143	44.467	
1.928571	44.4404	
2	44.4119	
2.071428	44.2869	
2.142857	44.1901	
2.214285	44.2721	
2.285714	44.2978	
2.357143	44.14	
2.428571	44.2813	
2.5	44.5409	
2.571428	44.3448	
2.642857	44.6615	
2.714285	45.1711	
2.785714	45.3651	
2.857143	45.4464	
2.928571	45.2066	
