Time - Temperature	Amplitude - Temperature	
0	93.2421	
0.071429	93.2497	
0.142857	93.2349	
0.214286	93.2574	
0.285714	93.2609	
0.357143	93.2821	
0.428571	93.3877	
0.5	93.3489	
0.571429	93.316	
0.642857	93.31	
0.714286	93.3287	
0.785714	93.2924	
0.857143	93.288	
0.928571	93.318	
1	93.3384	
1.071428	93.3312	
1.142857	93.353	
1.214286	93.3352	
1.285714	93.3169	
1.357143	93.3102	
1.428571	93.3125	
1.5	93.3511	
1.571428	93.3222	
1.642857	93.2963	
1.714285	93.3005	
1.785714	93.3298	
1.857143	93.3088	
1.928571	93.347	
2	93.3324	
2.071428	93.3384	
2.142857	93.2845	
2.214285	93.287	
2.285714	93.2773	
2.357143	93.2666	
2.428571	93.2886	
2.5	93.2789	
2.571428	93.266	
2.642857	93.2641	
2.714285	93.2752	
2.785714	93.2805	
2.857143	93.2657	
2.928571	93.2456	
