Time - Temperature	Amplitude - Temperature	
0	29.2608	
0.071429	29.225	
0.142857	29.2402	
0.214286	29.2188	
0.285714	29.2555	
0.357143	29.3243	
0.428571	29.3787	
0.5	29.3443	
0.571429	29.2239	
0.642857	29.2401	
0.714286	29.2254	
0.785714	29.1888	
0.857143	29.1481	
0.928571	29.1281	
1	29.0801	
1.071428	29.0601	
1.142857	29.024	
1.214286	28.9657	
1.285714	29.133	
1.357143	29.3943	
1.428571	29.5938	
1.5	29.5767	
1.571428	29.7801	
1.642857	29.8536	
1.714285	30.0668	
1.785714	30.3484	
1.857143	30.5405	
1.928571	30.6237	
2	30.6349	
2.071428	30.5894	
2.142857	30.737	
2.214285	30.7455	
2.285714	30.7865	
2.357143	30.8646	
2.428571	30.9053	
2.5	30.9152	
2.571428	30.8476	
2.642857	30.8817	
2.714285	30.9026	
2.785714	30.8351	
2.857143	30.795	
2.928571	30.8206	
