Time - Temperature	Amplitude - Temperature	
0	48.427	
0.071429	48.5456	
0.142857	48.815	
0.214286	49.3507	
0.285714	49.7974	
0.357143	50.1194	
0.428571	50.0468	
0.5	49.8321	
0.571429	49.6097	
0.642857	49.6129	
0.714286	49.4893	
0.785714	49.2139	
0.857143	49.003	
0.928571	48.8714	
1	49.0359	
1.071428	49.1767	
1.142857	49.2031	
1.214286	49.1993	
1.285714	49.1387	
1.357143	49.1232	
1.428571	48.977	
1.5	48.6555	
1.571428	48.311	
1.642857	47.7709	
1.714285	47.379	
1.785714	47.1993	
1.857143	47.2753	
1.928571	47.2295	
2	47.1949	
2.071428	47.2114	
2.142857	46.9978	
2.214285	46.8738	
2.285714	46.8618	
2.357143	46.6547	
2.428571	46.503	
2.5	46.7699	
2.571428	47.3243	
2.642857	47.375	
2.714285	47.5055	
2.785714	47.6081	
2.857143	47.3046	
2.928571	47.0883	
