Time - Temperature	Amplitude - Temperature	
0	56.4225	
0.071429	56.1812	
0.142857	56.1603	
0.214286	57.6911	
0.285714	59.6438	
0.357143	60.1461	
0.428571	60.2372	
0.5	60.0611	
0.571429	60.0033	
0.642857	59.8186	
0.714286	60.0324	
0.785714	60.6805	
0.857143	61.4772	
0.928571	61.4861	
1	60.9943	
1.071428	60.5019	
1.142857	59.8218	
1.214286	60.1038	
1.285714	60.4166	
1.357143	59.1345	
1.428571	57.801	
1.5	57.3281	
1.571428	58.0346	
1.642857	57.4589	
1.714285	57.2782	
1.785714	58.9073	
1.857143	60.022	
1.928571	59.4217	
2	58.9062	
2.071428	58.1689	
2.142857	58.3528	
2.214285	59.1837	
2.285714	60.767	
2.357143	61.7295	
2.428571	63.4511	
2.5	65.3168	
2.571428	67.6545	
2.642857	67.1414	
2.714285	65.6135	
2.785714	64.007	
2.857143	62.6817	
2.928571	61.3306	
