Time - Temperature	Amplitude - Temperature	
0	38.8655	
0.071429	38.9132	
0.142857	38.9682	
0.214286	39.0349	
0.285714	39.0961	
0.357143	39.1649	
0.428571	39.2436	
0.5	39.3397	
0.571429	39.3944	
0.642857	39.5014	
0.714286	39.7173	
0.785714	39.8629	
0.857143	39.9649	
0.928571	40.0468	
1	40.1348	
1.071428	40.176	
1.142857	40.1931	
1.214286	40.2335	
1.285714	40.2753	
1.357143	40.3386	
1.428571	40.3779	
1.5	40.4372	
1.571428	40.546	
1.642857	40.6868	
1.714285	40.7687	
1.785714	40.7679	
1.857143	40.7668	
1.928571	40.8167	
2	40.8778	
2.071428	40.9476	
2.142857	40.9658	
2.214285	40.9658	
2.285714	40.9433	
2.357143	40.9607	
2.428571	40.9902	
2.5	41.0484	
2.571428	41.0254	
2.642857	41.0498	
2.714285	41.1644	
2.785714	41.1822	
2.857143	41.2353	
2.928571	41.2466	
