Time - Temperature	Amplitude - Temperature	
0	46.0808	
0.071429	46.3217	
0.142857	46.3858	
0.214286	46.3514	
0.285714	46.3659	
0.357143	46.4361	
0.428571	46.4608	
0.5	46.5687	
0.571429	46.6683	
0.642857	46.7302	
0.714286	46.8026	
0.785714	46.845	
0.857143	46.8729	
0.928571	46.9239	
1	46.9887	
1.071428	47.0376	
1.142857	47.0865	
1.214286	47.1506	
1.285714	47.1933	
1.357143	47.2284	
1.428571	47.2773	
1.5	47.3251	
1.571428	47.3678	
1.642857	47.3833	
1.714285	47.5346	
1.785714	48.2705	
1.857143	48.2105	
1.928571	47.8711	
2	47.7351	
2.071428	47.9037	
2.142857	48.0043	
2.214285	47.9627	
2.285714	48.0043	
2.357143	47.9345	
2.428571	48.2948	
2.5	48.4535	
2.571428	48.3382	
2.642857	48.2456	
2.714285	48.1855	
2.785714	48.1428	
2.857143	48.1161	
2.928571	48.0868	
