Time - Temperature	Amplitude - Temperature	
0	27.2297	
0.071429	27.3739	
0.142857	27.3343	
0.214286	27.5149	
0.285714	27.5993	
0.357143	27.5631	
0.428571	27.5119	
0.5	27.4535	
0.571429	27.4811	
0.642857	27.4287	
0.714286	27.4114	
0.785714	27.3744	
0.857143	27.404	
0.928571	27.4531	
1	27.4325	
1.071428	27.4529	
1.142857	27.5039	
1.214286	27.5533	
1.285714	27.5976	
1.357143	27.6579	
1.428571	27.6594	
1.5	27.7274	
1.571428	27.811	
1.642857	28.1114	
1.714285	28.3012	
1.785714	28.5413	
1.857143	28.6128	
1.928571	28.5948	
2	28.5813	
2.071428	28.9042	
2.142857	29.1196	
2.214285	29.2661	
2.285714	29.2659	
2.357143	29.1262	
2.428571	29.1562	
2.5	29.3476	
2.571428	29.3939	
2.642857	29.2737	
2.714285	29.1677	
2.785714	29.1587	
2.857143	29.2287	
2.928571	29.3785	
