Time - Temperature	Amplitude - Temperature	
0	42.9745	
0.071429	43.0743	
0.142857	43.2653	
0.214286	43.5071	
0.285714	43.6966	
0.357143	43.8192	
0.428571	43.8791	
0.5	44.017	
0.571429	44.1621	
0.642857	44.2521	
0.714286	44.2891	
0.785714	44.2927	
0.857143	44.4037	
0.928571	44.5002	
1	44.6061	
1.071428	44.7139	
1.142857	44.7781	
1.214286	44.8615	
1.285714	44.9459	
1.357143	44.9804	
1.428571	45.0594	
1.5	45.0504	
1.571428	45.0729	
1.642857	45.1457	
1.714285	45.2324	
1.785714	45.3969	
1.857143	45.5361	
1.928571	45.6688	
2	45.7235	
2.071428	45.7268	
2.142857	45.7866	
2.214285	45.9529	
2.285714	46.1007	
2.357143	46.213	
2.428571	46.3318	
2.5	46.3876	
2.571428	46.4137	
2.642857	46.4474	
2.714285	46.5231	
2.785714	46.6107	
2.857143	46.7049	
2.928571	46.7552	
