Time - Temperature	Amplitude - Temperature	
0	40.5013	
0.071429	40.1503	
0.142857	39.7488	
0.214286	39.51	
0.285714	39.5023	
0.357143	39.3885	
0.428571	39.2409	
0.5	39.3534	
0.571429	39.2665	
0.642857	39.4075	
0.714286	39.7015	
0.785714	40.1168	
0.857143	40.7232	
0.928571	41.1666	
1	41.5311	
1.071428	41.6245	
1.142857	41.5316	
1.214286	41.4634	
1.285714	41.444	
1.357143	41.4025	
1.428571	41.3516	
1.5	41.4045	
1.571428	41.3538	
1.642857	41.2791	
1.714285	41.1704	
1.785714	41.2278	
1.857143	41.2235	
1.928571	41.358	
2	41.5485	
2.071428	41.7626	
2.142857	41.9732	
2.214285	41.9987	
2.285714	42.1833	
2.357143	42.1522	
2.428571	42.1658	
2.5	42.1146	
2.571428	42.2536	
2.642857	42.305	
2.714285	41.9691	
2.785714	41.6436	
2.857143	41.4131	
2.928571	41.2366	
