Time - Temperature	Amplitude - Temperature	
0	95.532	
0.071429	95.5257	
0.142857	95.6752	
0.214286	95.8208	
0.285714	95.7933	
0.357143	95.7729	
0.428571	95.7722	
0.5	95.7631	
0.571429	95.6752	
0.642857	95.7213	
0.714286	95.5366	
0.785714	95.5714	
0.857143	95.5714	
0.928571	95.5567	
1	95.5412	
1.071428	95.5324	
1.142857	95.5591	
1.214286	95.7107	
1.285714	95.5876	
1.357143	95.5141	
1.428571	95.5373	
1.5	95.5197	
1.571428	95.4772	
1.642857	95.5036	
1.714285	95.5081	
1.785714	95.5844	
1.857143	95.6667	
1.928571	95.5556	
2	95.6699	
2.071428	95.7972	
2.142857	95.6966	
2.214285	95.6119	
2.285714	95.6576	
2.357143	95.5662	
2.428571	95.5556	
2.5	95.5053	
2.571428	95.5415	
2.642857	95.5352	
2.714285	95.4726	
2.785714	95.5247	
2.857143	95.5574	
2.928571	95.5451	
