Time - Temperature	Amplitude - Temperature	
0	41.3531	
0.071429	41.4578	
0.142857	41.5531	
0.214286	41.6265	
0.285714	41.6861	
0.357143	41.8311	
0.428571	41.9511	
0.5	42.0877	
0.571429	42.1978	
0.642857	42.3199	
0.714286	42.4416	
0.785714	42.5357	
0.857143	42.584	
0.928571	42.7224	
1	42.8728	
1.071428	42.9712	
1.142857	43.0565	
1.214286	43.058	
1.285714	43.1092	
1.357143	43.2352	
1.428571	43.3553	
1.5	43.4403	
1.571428	43.559	
1.642857	43.584	
1.714285	43.5895	
1.785714	43.6766	
1.857143	43.7931	
1.928571	43.8693	
2	43.9764	
2.071428	44.0682	
2.142857	44.1502	
2.214285	44.2071	
2.285714	44.4008	
2.357143	44.4723	
2.428571	44.543	
2.5	44.645	
2.571428	44.7298	
2.642857	44.7842	
2.714285	44.802	
2.785714	44.8611	
2.857143	44.9818	
2.928571	45.0232	
